# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 97, 2025101200, 03, FNV3,   0,  81N,  317W,  25, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  90,
WP, 29, 2025101200, 03, FNV3,  36, 339N, 1451E,  72,  973, XX,  50, NEQ,   66,   72,   61,   55,     ,     ,  21,
WP, 29, 2025101200, 03, FNV3,  36, 339N, 1451E,  72,  973, XX,  64, NEQ,   25,   27,   21,   21,     ,     ,  21,
WP, 29, 2025101200, 03, FNV3,  42, 344N, 1477E,  73,  972, XX,  34, NEQ,  132,  154,  128,  111,     ,     ,  20,
WP, 29, 2025101200, 03, FNV3,  42, 344N, 1477E,  73,  972, XX,  50, NEQ,   70,   76,   63,   58,     ,     ,  20,
WP, 29, 2025101200, 03, FNV3,  42, 344N, 1477E,  73,  972, XX,  64, NEQ,   27,   28,   22,   22,     ,     ,  20,
WP, 29, 2025101200, 03, FNV3,  48, 347N, 1506E,  72,  974, XX,  34, NEQ,  138,  154,  130,  119,     ,     ,  22,
WP, 29, 2025101200, 03, FNV3,  48, 347N, 1506E,  72,  974, XX,  50, NEQ,   72,   76,   63,   61,     ,     ,  22,
WP, 29, 2025101200, 03, FNV3,  48, 347N, 1506E,  72,  974, XX,  64, NEQ,   25,   26,   21,   21,     ,     ,  22,
WP, 29, 2025101200, 03, FNV3,  54, 350N, 1535E,  65,  978, XX,  34, NEQ,  146,  162,  135,  127,     ,     ,  24,
WP, 29, 2025101200, 03, FNV3,  54, 350N, 1535E,  65,  978, XX,  50, NEQ,   65,   68,   55,   53,     ,     ,  24,
WP, 29, 2025101200, 03, FNV3,  54, 350N, 1535E,  65,  978, XX,  64, NEQ,   15,   17,   12,   12,     ,     ,  24,
WP, 29, 2025101200, 03, FNV3,  60, 351N, 1566E,  60,  982, XX,  34, NEQ,  151,  158,  132,  129,     ,     ,  30,
WP, 29, 2025101200, 03, FNV3,  60, 351N, 1566E,  60,  982, XX,  50, NEQ,   54,   56,   46,   44,     ,     ,  30,
WP, 29, 2025101200, 03, FNV3,  60, 351N, 1566E,  60,  982, XX,  64, NEQ,    7,    7,    5,    5,     ,     ,  30,
WP, 29, 2025101200, 03, FNV3,  66, 354N, 1596E,  50,  990, XX,  34, NEQ,  141,  146,  116,  119,     ,     ,  39,
WP, 29, 2025101200, 03, FNV3,  66, 354N, 1596E,  50,  990, XX,  50, NEQ,   23,   23,   19,   17,     ,     ,  39,
WP, 29, 2025101200, 03, FNV3,  72, 356N, 1631E,  47,  994, XX,  34, NEQ,  120,  118,   98,   98,     ,     ,  52,
WP, 29, 2025101200, 03, FNV3,  72, 356N, 1631E,  47,  994, XX,  50, NEQ,   12,   13,   14,    7,     ,     ,  52,
WP, 29, 2025101200, 03, FNV3,  72, 356N, 1631E,  47,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  52,
WP, 29, 2025101200, 03, FNV3,  78, 360N, 1672E,  43,  996, XX,  34, NEQ,   90,   79,   65,   69,     ,     ,  51,
WP, 29, 2025101200, 03, FNV3,  78, 360N, 1672E,  43,  996, XX,  50, NEQ,    6,    5,    3,    4,     ,     ,  51,
WP, 29, 2025101200, 03, FNV3,  84, 364N, 1714E,  39,  999, XX,  34, NEQ,   48,   41,   29,   33,     ,     ,  57,
WP, 29, 2025101200, 03, FNV3,  84, 364N, 1714E,  39,  999, XX,  50, NEQ,    7,    4,    3,    4,     ,     ,  57,
WP, 29, 2025101200, 03, FNV3,  90, 368N, 1751E,  37, 1001, XX,  34, NEQ,   40,   29,   22,   24,     ,     ,  57,
WP, 29, 2025101200, 03, FNV3,  90, 368N, 1751E,  37, 1001, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  57,
