# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092012, 03, WNV3,   0, 340N,  331W,  45, 1004, XX,  34, NEQ,   40,   40,     ,     ,     ,     ,  30,
AL, 06, 2026092012, 03, WNV3, 114, 306N,  427W,  30, 1010, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  53,
AL, 06, 2026092012, 03, WNV3, 120, 309N,  429W,  29, 1010, XX,  34, NEQ,    7,    2,    1,    1,     ,     ,  52,
AL, 06, 2026092012, 03, WNV3, 126, 311N,  434W,  29, 1010, XX,  34, NEQ,    4,    4,    2,    2,     ,     ,  50,
AL, 06, 2026092012, 03, WNV3, 126, 311N,  434W,  29, 1010, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  50,
AL, 06, 2026092012, 03, WNV3, 126, 311N,  434W,  29, 1010, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  50,
AL, 06, 2026092012, 03, WNV3, 132, 316N,  436W,  30, 1010, XX,  34, NEQ,    4,    3,    3,    3,     ,     ,  43,
AL, 06, 2026092012, 03, WNV3, 132, 316N,  436W,  30, 1010, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  43,
EP, 15, 2026092012, 03, WNV3,   0, 130N, 1450W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  60,
EP, 16, 2026092012, 03, WNV3,   0, 111N, 1252W,  41, 1003, XX,  34, NEQ,   60,     ,     ,   40,     ,     ,  50,
EP, 16, 2026092012, 03, WNV3,   6, 115N, 1261W,  46, 1000, XX,  34, NEQ,   66,   65,   36,   49,     ,     ,  27,
EP, 16, 2026092012, 03, WNV3,   6, 115N, 1261W,  46, 1000, XX,  50, NEQ,    6,    5,    3,    4,     ,     ,  27,
EP, 16, 2026092012, 03, WNV3,  12, 123N, 1272W,  48,  998, XX,  34, NEQ,   72,   66,   32,   49,     ,     ,  29,
EP, 16, 2026092012, 03, WNV3,  12, 123N, 1272W,  48,  998, XX,  50, NEQ,   10,    7,    4,    5,     ,     ,  29,
EP, 16, 2026092012, 03, WNV3,  18, 129N, 1281W,  52,  996, XX,  34, NEQ,   79,   73,   36,   55,     ,     ,  30,
EP, 16, 2026092012, 03, WNV3,  18, 129N, 1281W,  52,  996, XX,  50, NEQ,   20,   13,    8,   11,     ,     ,  30,
EP, 16, 2026092012, 03, WNV3,  18, 129N, 1281W,  52,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
EP, 16, 2026092012, 03, WNV3,  24, 134N, 1288W,  55,  995, XX,  34, NEQ,   82,   79,   44,   62,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3,  24, 134N, 1288W,  55,  995, XX,  50, NEQ,   25,   17,    9,   13,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3,  24, 134N, 1288W,  55,  995, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3,  30, 140N, 1293W,  60,  992, XX,  34, NEQ,   84,   81,   48,   63,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3,  30, 140N, 1293W,  60,  992, XX,  50, NEQ,   32,   23,   13,   19,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3,  30, 140N, 1293W,  60,  992, XX,  64, NEQ,    5,    3,    2,    3,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3,  36, 144N, 1297W,  62,  990, XX,  34, NEQ,   87,   87,   49,   59,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  36, 144N, 1297W,  62,  990, XX,  50, NEQ,   34,   26,   14,   20,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  36, 144N, 1297W,  62,  990, XX,  64, NEQ,    7,    5,    3,    5,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  42, 148N, 1298W,  65,  989, XX,  34, NEQ,   80,   85,   50,   53,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  42, 148N, 1298W,  65,  989, XX,  50, NEQ,   34,   28,   17,   22,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  42, 148N, 1298W,  65,  989, XX,  64, NEQ,   10,    6,    5,    6,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  48, 150N, 1297W,  68,  986, XX,  34, NEQ,   74,   88,   59,   54,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  48, 150N, 1297W,  68,  986, XX,  50, NEQ,   33,   34,   22,   23,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  48, 150N, 1297W,  68,  986, XX,  64, NEQ,   11,    9,    7,    7,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  54, 151N, 1292W,  70,  985, XX,  34, NEQ,   80,   93,   67,   61,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3,  54, 151N, 1292W,  70,  985, XX,  50, NEQ,   35,   36,   26,   26,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3,  54, 151N, 1292W,  70,  985, XX,  64, NEQ,   12,   11,    8,    8,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3,  60, 152N, 1287W,  69,  985, XX,  34, NEQ,   80,   97,   69,   61,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  60, 152N, 1287W,  69,  985, XX,  50, NEQ,   37,   39,   28,   26,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  60, 152N, 1287W,  69,  985, XX,  64, NEQ,   12,   14,    9,    9,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  66, 152N, 1280W,  70,  985, XX,  34, NEQ,   85,   98,   69,   69,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  66, 152N, 1280W,  70,  985, XX,  50, NEQ,   42,   41,   30,   32,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  66, 152N, 1280W,  70,  985, XX,  64, NEQ,   15,   14,   10,   10,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  72, 152N, 1275W,  70,  985, XX,  34, NEQ,   88,   99,   71,   74,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  72, 152N, 1275W,  70,  985, XX,  50, NEQ,   40,   40,   30,   30,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  72, 152N, 1275W,  70,  985, XX,  64, NEQ,   17,   14,   11,   11,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  78, 152N, 1269W,  71,  985, XX,  34, NEQ,   90,   99,   72,   76,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  78, 152N, 1269W,  71,  985, XX,  50, NEQ,   45,   43,   31,   34,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  78, 152N, 1269W,  71,  985, XX,  64, NEQ,   16,   13,    9,    9,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  84, 154N, 1265W,  71,  983, XX,  34, NEQ,   92,  101,   72,   75,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  84, 154N, 1265W,  71,  983, XX,  50, NEQ,   41,   41,   29,   31,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  84, 154N, 1265W,  71,  983, XX,  64, NEQ,   14,   13,   10,   10,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3,  90, 156N, 1259W,  70,  984, XX,  34, NEQ,   87,   96,   70,   73,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  90, 156N, 1259W,  70,  984, XX,  50, NEQ,   41,   40,   29,   30,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  90, 156N, 1259W,  70,  984, XX,  64, NEQ,   14,   11,    9,    9,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  96, 159N, 1255W,  72,  983, XX,  34, NEQ,   88,   95,   67,   69,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  96, 159N, 1255W,  72,  983, XX,  50, NEQ,   39,   40,   28,   29,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3,  96, 159N, 1255W,  72,  983, XX,  64, NEQ,   14,   13,   10,   10,     ,     ,  25,
EP, 16, 2026092012, 03, WNV3, 102, 163N, 1249W,  72,  982, XX,  34, NEQ,   84,   92,   67,   69,     ,     ,  22,
EP, 16, 2026092012, 03, WNV3, 102, 163N, 1249W,  72,  982, XX,  50, NEQ,   39,   39,   28,   29,     ,     ,  22,
EP, 16, 2026092012, 03, WNV3, 102, 163N, 1249W,  72,  982, XX,  64, NEQ,   14,   12,   10,   10,     ,     ,  22,
EP, 16, 2026092012, 03, WNV3, 108, 168N, 1244W,  73,  981, XX,  34, NEQ,   86,   91,   66,   66,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3, 108, 168N, 1244W,  73,  981, XX,  50, NEQ,   37,   38,   27,   27,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3, 108, 168N, 1244W,  73,  981, XX,  64, NEQ,   15,   13,   10,   11,     ,     ,  23,
EP, 16, 2026092012, 03, WNV3, 114, 172N, 1238W,  68,  984, XX,  34, NEQ,   88,   85,   62,   73,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3, 114, 172N, 1238W,  68,  984, XX,  50, NEQ,   35,   34,   25,   28,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3, 114, 172N, 1238W,  68,  984, XX,  64, NEQ,   13,   12,    9,   10,     ,     ,  24,
EP, 16, 2026092012, 03, WNV3, 120, 176N, 1233W,  66,  987, XX,  34, NEQ,   87,   82,   61,   71,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 120, 176N, 1233W,  66,  987, XX,  50, NEQ,   33,   31,   24,   28,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 120, 176N, 1233W,  66,  987, XX,  64, NEQ,   15,   12,   10,   11,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 126, 181N, 1228W,  62,  989, XX,  34, NEQ,   86,   77,   57,   70,     ,     ,  27,
EP, 16, 2026092012, 03, WNV3, 126, 181N, 1228W,  62,  989, XX,  50, NEQ,   33,   30,   22,   27,     ,     ,  27,
EP, 16, 2026092012, 03, WNV3, 126, 181N, 1228W,  62,  989, XX,  64, NEQ,   11,    9,    7,    8,     ,     ,  27,
EP, 16, 2026092012, 03, WNV3, 132, 185N, 1225W,  59,  991, XX,  34, NEQ,   80,   69,   52,   67,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 132, 185N, 1225W,  59,  991, XX,  50, NEQ,   28,   24,   18,   22,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 132, 185N, 1225W,  59,  991, XX,  64, NEQ,    8,    7,    5,    6,     ,     ,  26,
EP, 16, 2026092012, 03, WNV3, 138, 189N, 1224W,  54,  994, XX,  34, NEQ,   74,   61,   46,   64,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 138, 189N, 1224W,  54,  994, XX,  50, NEQ,   24,   20,   15,   18,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 138, 189N, 1224W,  54,  994, XX,  64, NEQ,    5,    4,    3,    3,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 144, 192N, 1223W,  48,  997, XX,  34, NEQ,   61,   49,   38,   51,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 144, 192N, 1223W,  48,  997, XX,  50, NEQ,   14,   12,    9,   11,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 144, 192N, 1223W,  48,  997, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  28,
EP, 16, 2026092012, 03, WNV3, 150, 194N, 1223W,  44,  999, XX,  34, NEQ,   54,   41,   33,   44,     ,     ,  33,
EP, 16, 2026092012, 03, WNV3, 150, 194N, 1223W,  44,  999, XX,  50, NEQ,    8,    6,    5,    7,     ,     ,  33,
EP, 16, 2026092012, 03, WNV3, 150, 194N, 1223W,  44,  999, XX,  64, NEQ,    1,    1,    1,    2,     ,     ,  33,
EP, 16, 2026092012, 03, WNV3, 156, 196N, 1222W,  39, 1001, XX,  34, NEQ,   43,   33,   25,   34,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 156, 196N, 1222W,  39, 1001, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 162, 197N, 1221W,  35, 1002, XX,  34, NEQ,   26,   20,   15,   20,     ,     ,  37,
EP, 16, 2026092012, 03, WNV3, 162, 197N, 1221W,  35, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  37,
EP, 16, 2026092012, 03, WNV3, 168, 197N, 1220W,  31, 1003, XX,  34, NEQ,   13,   13,    8,   10,     ,     ,  41,
EP, 16, 2026092012, 03, WNV3, 168, 197N, 1220W,  31, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
EP, 16, 2026092012, 03, WNV3, 174, 196N, 1217W,  31, 1003, XX,  34, NEQ,   11,    8,    6,    8,     ,     ,  38,
EP, 16, 2026092012, 03, WNV3, 174, 196N, 1217W,  31, 1003, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  38,
EP, 16, 2026092012, 03, WNV3, 180, 193N, 1215W,  28, 1004, XX,  34, NEQ,    5,    5,    4,    4,     ,     ,  41,
EP, 16, 2026092012, 03, WNV3, 180, 193N, 1215W,  28, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
EP, 16, 2026092012, 03, WNV3, 186, 190N, 1211W,  27, 1005, XX,  34, NEQ,    3,    4,    3,    3,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 186, 190N, 1211W,  27, 1005, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 192, 188N, 1205W,  27, 1005, XX,  34, NEQ,    6,    7,    5,    5,     ,     ,  42,
EP, 16, 2026092012, 03, WNV3, 198, 184N, 1196W,  26, 1005, XX,  34, NEQ,    4,    5,    3,    4,     ,     ,  47,
EP, 16, 2026092012, 03, WNV3, 198, 184N, 1196W,  26, 1005, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  47,
EP, 16, 2026092012, 03, WNV3, 204, 181N, 1192W,  27, 1005, XX,  34, NEQ,    3,    3,    3,    3,     ,     ,  44,
EP, 16, 2026092012, 03, WNV3, 204, 181N, 1192W,  27, 1005, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  44,
EP, 16, 2026092012, 03, WNV3, 210, 180N, 1187W,  26, 1004, XX,  34, NEQ,    3,    3,    2,    2,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 210, 180N, 1187W,  26, 1004, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
EP, 16, 2026092012, 03, WNV3, 210, 180N, 1187W,  26, 1004, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  39,
EP, 99, 2026092012, 03, WNV3,   0, 140N, 1059W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
EP, 99, 2026092012, 03, WNV3,   6, 146N, 1052W,  33, 1006, XX,  34, NEQ,    6,   15,    1,    3,     ,     ,  45,
EP, 99, 2026092012, 03, WNV3,  12, 151N, 1048W,  37, 1004, XX,  34, NEQ,   26,   29,   10,   14,     ,     ,  41,
EP, 99, 2026092012, 03, WNV3,  18, 154N, 1044W,  44, 1001, XX,  34, NEQ,   38,   35,   19,   23,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3,  18, 154N, 1044W,  44, 1001, XX,  50, NEQ,    3,    3,    1,    2,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3,  24, 155N, 1039W,  56,  994, XX,  34, NEQ,   44,   48,   33,   35,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3,  24, 155N, 1039W,  56,  994, XX,  50, NEQ,   16,   16,    9,   11,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3,  24, 155N, 1039W,  56,  994, XX,  64, NEQ,    3,    2,    2,    1,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3,  30, 154N, 1034W,  71,  986, XX,  34, NEQ,   45,   50,   40,   39,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  30, 154N, 1034W,  71,  986, XX,  50, NEQ,   22,   21,   16,   18,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  30, 154N, 1034W,  71,  986, XX,  64, NEQ,   10,    8,    7,    7,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  36, 152N, 1030W,  83,  976, XX,  34, NEQ,   51,   63,   53,   47,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  36, 152N, 1030W,  83,  976, XX,  50, NEQ,   25,   28,   23,   21,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  36, 152N, 1030W,  83,  976, XX,  64, NEQ,   13,   13,   11,   11,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  42, 149N, 1025W,  93,  969, XX,  34, NEQ,   49,   59,   55,   46,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3,  42, 149N, 1025W,  93,  969, XX,  50, NEQ,   24,   28,   25,   22,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3,  42, 149N, 1025W,  93,  969, XX,  64, NEQ,   15,   15,   12,   12,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3,  48, 148N, 1022W, 103,  959, XX,  34, NEQ,   55,   67,   59,   52,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  48, 148N, 1022W, 103,  959, XX,  50, NEQ,   26,   32,   29,   24,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  48, 148N, 1022W, 103,  959, XX,  64, NEQ,   17,   18,   15,   15,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  54, 147N, 1021W, 108,  957, XX,  34, NEQ,   64,   72,   61,   58,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  54, 147N, 1021W, 108,  957, XX,  50, NEQ,   31,   33,   29,   27,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  54, 147N, 1021W, 108,  957, XX,  64, NEQ,   19,   18,   15,   16,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3,  60, 149N, 1021W, 108,  955, XX,  34, NEQ,   78,   84,   67,   69,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  60, 149N, 1021W, 108,  955, XX,  50, NEQ,   39,   39,   33,   33,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  60, 149N, 1021W, 108,  955, XX,  64, NEQ,   23,   21,   18,   20,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  66, 151N, 1023W, 112,  952, XX,  34, NEQ,   83,   89,   71,   71,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  66, 151N, 1023W, 112,  952, XX,  50, NEQ,   43,   42,   35,   37,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  66, 151N, 1023W, 112,  952, XX,  64, NEQ,   27,   24,   20,   23,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  72, 154N, 1026W, 114,  949, XX,  34, NEQ,   88,   92,   76,   76,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  72, 154N, 1026W, 114,  949, XX,  50, NEQ,   48,   46,   39,   41,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  72, 154N, 1026W, 114,  949, XX,  64, NEQ,   29,   25,   21,   25,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  78, 158N, 1030W, 115,  949, XX,  34, NEQ,   90,   87,   77,   81,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  78, 158N, 1030W, 115,  949, XX,  50, NEQ,   48,   43,   38,   44,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  78, 158N, 1030W, 115,  949, XX,  64, NEQ,   30,   26,   21,   26,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3,  84, 162N, 1035W, 116,  948, XX,  34, NEQ,   92,   92,   77,   83,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  84, 162N, 1035W, 116,  948, XX,  50, NEQ,   52,   48,   41,   47,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  84, 162N, 1035W, 116,  948, XX,  64, NEQ,   32,   27,   22,   28,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  90, 165N, 1041W, 118,  947, XX,  34, NEQ,   87,   88,   77,   80,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3,  90, 165N, 1041W, 118,  947, XX,  50, NEQ,   49,   45,   40,   45,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3,  90, 165N, 1041W, 118,  947, XX,  64, NEQ,   32,   26,   23,   28,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3,  96, 167N, 1048W, 120,  945, XX,  34, NEQ,   84,   79,   74,   76,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  96, 167N, 1048W, 120,  945, XX,  50, NEQ,   48,   43,   40,   45,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3,  96, 167N, 1048W, 120,  945, XX,  64, NEQ,   31,   26,   22,   28,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 102, 168N, 1056W, 122,  943, XX,  34, NEQ,   85,   78,   70,   78,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 102, 168N, 1056W, 122,  943, XX,  50, NEQ,   47,   40,   36,   44,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 102, 168N, 1056W, 122,  943, XX,  64, NEQ,   31,   25,   21,   28,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 108, 170N, 1064W, 123,  941, XX,  34, NEQ,   90,   82,   72,   84,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3, 108, 170N, 1064W, 123,  941, XX,  50, NEQ,   48,   42,   38,   45,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3, 108, 170N, 1064W, 123,  941, XX,  64, NEQ,   30,   25,   21,   27,     ,     ,  10,
EP, 99, 2026092012, 03, WNV3, 114, 170N, 1073W, 120,  944, XX,  34, NEQ,   90,   83,   72,   83,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3, 114, 170N, 1073W, 120,  944, XX,  50, NEQ,   48,   41,   37,   45,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3, 114, 170N, 1073W, 120,  944, XX,  64, NEQ,   30,   25,   21,   27,     ,     ,  11,
EP, 99, 2026092012, 03, WNV3, 120, 171N, 1083W, 121,  944, XX,  34, NEQ,   89,   83,   74,   84,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 120, 171N, 1083W, 121,  944, XX,  50, NEQ,   48,   41,   38,   45,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 120, 171N, 1083W, 121,  944, XX,  64, NEQ,   30,   25,   21,   27,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 126, 171N, 1092W, 119,  945, XX,  34, NEQ,   92,   79,   71,   87,     ,     ,  13,
