# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026072112, 03, FNV3,   0, 288N,  862W,  51,  996, XX,  34, NEQ,   40,   80,   80,     ,     ,     ,  40,
AL, 02, 2026072112, 03, FNV3,  42, 291N,  915W,  40, 1002, XX,  34, NEQ,   61,   43,   32,   45,     ,     ,  55,
AL, 02, 2026072112, 03, FNV3,  42, 291N,  915W,  40, 1002, XX,  50, NEQ,   10,    7,    5,    6,     ,     ,  55,
AL, 02, 2026072112, 03, FNV3,  48, 291N,  929W,  43, 1000, XX,  34, NEQ,   61,   43,   28,   45,     ,     ,  47,
AL, 02, 2026072112, 03, FNV3,  48, 291N,  929W,  43, 1000, XX,  50, NEQ,   16,    6,    4,    6,     ,     ,  47,
AL, 02, 2026072112, 03, FNV3,  48, 291N,  929W,  43, 1000, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  47,
AL, 02, 2026072112, 03, FNV3,  54, 291N,  943W,  45, 1001, XX,  34, NEQ,   69,   55,   39,   59,     ,     ,  38,
AL, 02, 2026072112, 03, FNV3,  54, 291N,  943W,  45, 1001, XX,  50, NEQ,   20,   10,    7,   10,     ,     ,  38,
AL, 02, 2026072112, 03, FNV3,  54, 291N,  943W,  45, 1001, XX,  64, NEQ,    3,    0,    0,    0,     ,     ,  38,
EP, 06, 2026072112, 03, FNV3,   0, 160N, 1184W,  64,  986, XX,  34, NEQ,  100,  140,  120,   50,     ,     ,  15,
EP, 06, 2026072112, 03, FNV3,   0, 160N, 1184W,  64,  986, XX,  50, NEQ,   65,   40,   20,   30,     ,     ,  15,
EP, 06, 2026072112, 03, FNV3,   0, 160N, 1184W,  64,  986, XX,  64, NEQ,   20,   10,     ,   15,     ,     ,  15,
EP, 06, 2026072112, 03, FNV3,   6, 163N, 1194W,  68,  985, XX,  34, NEQ,  107,   93,   70,   89,     ,     ,  24,
EP, 06, 2026072112, 03, FNV3,   6, 163N, 1194W,  68,  985, XX,  50, NEQ,   36,   24,   17,   24,     ,     ,  24,
EP, 06, 2026072112, 03, FNV3,   6, 163N, 1194W,  68,  985, XX,  64, NEQ,   13,    4,    3,    5,     ,     ,  24,
EP, 06, 2026072112, 03, FNV3,  12, 166N, 1200W,  70,  984, XX,  34, NEQ,  112,   97,   72,   91,     ,     ,  20,
EP, 06, 2026072112, 03, FNV3,  12, 166N, 1200W,  70,  984, XX,  50, NEQ,   42,   33,   23,   32,     ,     ,  20,
EP, 06, 2026072112, 03, FNV3,  12, 166N, 1200W,  70,  984, XX,  64, NEQ,   14,    8,    6,    7,     ,     ,  20,
EP, 06, 2026072112, 03, FNV3,  18, 168N, 1206W,  71,  981, XX,  34, NEQ,  121,  101,   75,  100,     ,     ,  23,
EP, 06, 2026072112, 03, FNV3,  18, 168N, 1206W,  71,  981, XX,  50, NEQ,   42,   32,   22,   32,     ,     ,  23,
EP, 06, 2026072112, 03, FNV3,  18, 168N, 1206W,  71,  981, XX,  64, NEQ,   16,    8,    6,    8,     ,     ,  23,
EP, 06, 2026072112, 03, FNV3,  24, 170N, 1214W,  73,  981, XX,  34, NEQ,  127,  103,   76,  106,     ,     ,  21,
EP, 06, 2026072112, 03, FNV3,  24, 170N, 1214W,  73,  981, XX,  50, NEQ,   50,   39,   28,   39,     ,     ,  21,
EP, 06, 2026072112, 03, FNV3,  24, 170N, 1214W,  73,  981, XX,  64, NEQ,   15,   11,    8,   11,     ,     ,  21,
EP, 06, 2026072112, 03, FNV3,  30, 172N, 1223W,  70,  983, XX,  34, NEQ,  136,  110,   86,  117,     ,     ,  26,
EP, 06, 2026072112, 03, FNV3,  30, 172N, 1223W,  70,  983, XX,  50, NEQ,   54,   42,   32,   43,     ,     ,  26,
EP, 06, 2026072112, 03, FNV3,  30, 172N, 1223W,  70,  983, XX,  64, NEQ,   20,   13,   10,   13,     ,     ,  26,
EP, 06, 2026072112, 03, FNV3,  36, 174N, 1232W,  71,  982, XX,  34, NEQ,  151,  125,   98,  129,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3,  36, 174N, 1232W,  71,  982, XX,  50, NEQ,   56,   43,   32,   44,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3,  36, 174N, 1232W,  71,  982, XX,  64, NEQ,   22,   12,    9,   12,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3,  42, 174N, 1243W,  69,  984, XX,  34, NEQ,  155,  127,  100,  134,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3,  42, 174N, 1243W,  69,  984, XX,  50, NEQ,   58,   45,   34,   46,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3,  42, 174N, 1243W,  69,  984, XX,  64, NEQ,   19,   11,    8,   11,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3,  48, 175N, 1255W,  68,  984, XX,  34, NEQ,  152,  123,   98,  132,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3,  48, 175N, 1255W,  68,  984, XX,  50, NEQ,   61,   48,   36,   48,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3,  48, 175N, 1255W,  68,  984, XX,  64, NEQ,   17,   11,    8,   11,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3,  54, 176N, 1270W,  65,  987, XX,  34, NEQ,  164,  134,  105,  141,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  54, 176N, 1270W,  65,  987, XX,  50, NEQ,   58,   44,   32,   44,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  54, 176N, 1270W,  65,  987, XX,  64, NEQ,   13,    9,    6,    8,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  60, 178N, 1283W,  66,  986, XX,  34, NEQ,  155,  125,   98,  133,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3,  60, 178N, 1283W,  66,  986, XX,  50, NEQ,   58,   43,   32,   45,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3,  60, 178N, 1283W,  66,  986, XX,  64, NEQ,   18,   10,    8,   11,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3,  66, 179N, 1298W,  66,  987, XX,  34, NEQ,  148,  120,   93,  126,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  66, 179N, 1298W,  66,  987, XX,  50, NEQ,   57,   40,   30,   41,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  66, 179N, 1298W,  66,  987, XX,  64, NEQ,   17,    9,    7,   10,     ,     ,  34,
EP, 06, 2026072112, 03, FNV3,  72, 180N, 1311W,  65,  987, XX,  34, NEQ,  147,  118,   94,  128,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  72, 180N, 1311W,  65,  987, XX,  50, NEQ,   57,   44,   33,   45,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  72, 180N, 1311W,  65,  987, XX,  64, NEQ,   13,    8,    6,    8,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  78, 181N, 1327W,  64,  988, XX,  34, NEQ,  151,  121,   95,  130,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3,  78, 181N, 1327W,  64,  988, XX,  50, NEQ,   60,   46,   35,   46,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3,  78, 181N, 1327W,  64,  988, XX,  64, NEQ,   12,    7,    5,    7,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3,  84, 182N, 1340W,  64,  988, XX,  34, NEQ,  144,  117,   92,  124,     ,     ,  29,
EP, 06, 2026072112, 03, FNV3,  84, 182N, 1340W,  64,  988, XX,  50, NEQ,   52,   39,   29,   40,     ,     ,  29,
EP, 06, 2026072112, 03, FNV3,  84, 182N, 1340W,  64,  988, XX,  64, NEQ,   14,    6,    5,    6,     ,     ,  29,
EP, 06, 2026072112, 03, FNV3,  90, 182N, 1354W,  64,  988, XX,  34, NEQ,  137,  110,   86,  118,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  90, 182N, 1354W,  64,  988, XX,  50, NEQ,   49,   37,   27,   37,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  90, 182N, 1354W,  64,  988, XX,  64, NEQ,   12,    8,    6,    8,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3,  96, 183N, 1367W,  65,  986, XX,  34, NEQ,  136,  108,   87,  118,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3,  96, 183N, 1367W,  65,  986, XX,  50, NEQ,   52,   38,   28,   40,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3,  96, 183N, 1367W,  65,  986, XX,  64, NEQ,   17,    9,    7,   11,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3, 102, 185N, 1379W,  63,  988, XX,  34, NEQ,  138,  113,   90,  120,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3, 102, 185N, 1379W,  63,  988, XX,  50, NEQ,   48,   38,   28,   39,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3, 102, 185N, 1379W,  63,  988, XX,  64, NEQ,   10,    6,    5,    7,     ,     ,  33,
EP, 06, 2026072112, 03, FNV3, 108, 186N, 1392W,  67,  986, XX,  34, NEQ,  134,  109,   84,  115,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3, 108, 186N, 1392W,  67,  986, XX,  50, NEQ,   42,   32,   23,   34,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3, 108, 186N, 1392W,  67,  986, XX,  64, NEQ,   12,    6,    4,    7,     ,     ,  28,
EP, 06, 2026072112, 03, FNV3, 114, 187N, 1404W,  65,  986, XX,  34, NEQ,  127,  101,   78,  109,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 114, 187N, 1404W,  65,  986, XX,  50, NEQ,   46,   32,   24,   33,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 114, 187N, 1404W,  65,  986, XX,  64, NEQ,   13,    7,    5,    8,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 120, 188N, 1416W,  67,  985, XX,  34, NEQ,  120,   95,   71,  103,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 120, 188N, 1416W,  67,  985, XX,  50, NEQ,   39,   28,   20,   29,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 120, 188N, 1416W,  67,  985, XX,  64, NEQ,   11,    6,    5,    7,     ,     ,  27,
EP, 06, 2026072112, 03, FNV3, 126, 189N, 1430W,  66,  986, XX,  34, NEQ,  116,   92,   69,   99,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 126, 189N, 1430W,  66,  986, XX,  50, NEQ,   40,   26,   19,   28,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 126, 189N, 1430W,  66,  986, XX,  64, NEQ,   12,    7,    6,    9,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 132, 190N, 1442W,  65,  987, XX,  34, NEQ,  121,   95,   71,  102,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 132, 190N, 1442W,  65,  987, XX,  50, NEQ,   43,   29,   21,   32,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 132, 190N, 1442W,  65,  987, XX,  64, NEQ,   12,    7,    5,    8,     ,     ,  31,
EP, 06, 2026072112, 03, FNV3, 138, 191N, 1455W,  64,  988, XX,  34, NEQ,  115,   89,   66,   96,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3, 138, 191N, 1455W,  64,  988, XX,  50, NEQ,   38,   24,   17,   26,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3, 138, 191N, 1455W,  64,  988, XX,  64, NEQ,   12,    6,    4,    6,     ,     ,  32,
EP, 06, 2026072112, 03, FNV3, 144, 193N, 1469W,  61,  989, XX,  34, NEQ,  111,   85,   61,   92,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3, 144, 193N, 1469W,  61,  989, XX,  50, NEQ,   31,   21,   15,   22,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3, 144, 193N, 1469W,  61,  989, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  30,
EP, 06, 2026072112, 03, FNV3, 150, 195N, 1482W,  58,  991, XX,  34, NEQ,  109,   81,   57,   86,     ,     ,  38,
EP, 06, 2026072112, 03, FNV3, 150, 195N, 1482W,  58,  991, XX,  50, NEQ,   29,   18,   13,   19,     ,     ,  38,
EP, 06, 2026072112, 03, FNV3, 150, 195N, 1482W,  58,  991, XX,  64, NEQ,    8,    4,    3,    4,     ,     ,  38,
EP, 06, 2026072112, 03, FNV3, 156, 198N, 1496W,  57,  993, XX,  34, NEQ,  100,   75,   53,   79,     ,     ,  37,
EP, 06, 2026072112, 03, FNV3, 156, 198N, 1496W,  57,  993, XX,  50, NEQ,   25,   16,   11,   17,     ,     ,  37,
EP, 06, 2026072112, 03, FNV3, 156, 198N, 1496W,  57,  993, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  37,
EP, 06, 2026072112, 03, FNV3, 162, 200N, 1509W,  55,  992, XX,  34, NEQ,   87,   63,   46,   67,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 162, 200N, 1509W,  55,  992, XX,  50, NEQ,   24,   15,   10,   16,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 162, 200N, 1509W,  55,  992, XX,  64, NEQ,    5,    3,    2,    4,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 168, 203N, 1520W,  53,  994, XX,  34, NEQ,   82,   59,   40,   64,     ,     ,  42,
EP, 06, 2026072112, 03, FNV3, 168, 203N, 1520W,  53,  994, XX,  50, NEQ,   25,   15,   11,   17,     ,     ,  42,
EP, 06, 2026072112, 03, FNV3, 168, 203N, 1520W,  53,  994, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  42,
EP, 06, 2026072112, 03, FNV3, 174, 204N, 1531W,  53,  995, XX,  34, NEQ,   78,   60,   44,   64,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3, 174, 204N, 1531W,  53,  995, XX,  50, NEQ,   19,   12,    8,   13,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3, 174, 204N, 1531W,  53,  995, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  36,
EP, 06, 2026072112, 03, FNV3, 180, 207N, 1543W,  48,  998, XX,  34, NEQ,   82,   63,   46,   66,     ,     ,  40,
EP, 06, 2026072112, 03, FNV3, 180, 207N, 1543W,  48,  998, XX,  50, NEQ,   14,   10,    6,    9,     ,     ,  40,
EP, 06, 2026072112, 03, FNV3, 180, 207N, 1543W,  48,  998, XX,  64, NEQ,    3,    3,    2,    3,     ,     ,  40,
EP, 06, 2026072112, 03, FNV3, 186, 208N, 1553W,  48,  999, XX,  34, NEQ,   75,   55,   39,   58,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 186, 208N, 1553W,  48,  999, XX,  50, NEQ,   17,   11,    7,   11,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 186, 208N, 1553W,  48,  999, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  41,
EP, 06, 2026072112, 03, FNV3, 192, 210N, 1565W,  43, 1001, XX,  34, NEQ,   56,   37,   26,   41,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 192, 210N, 1565W,  43, 1001, XX,  50, NEQ,   10,    7,    5,    7,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 192, 210N, 1565W,  43, 1001, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 198, 213N, 1577W,  40, 1002, XX,  34, NEQ,   52,   37,   27,   37,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 198, 213N, 1577W,  40, 1002, XX,  50, NEQ,    6,    3,    2,    3,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 204, 215N, 1589W,  38, 1003, XX,  34, NEQ,   46,   24,   17,   24,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 204, 215N, 1589W,  38, 1003, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  44,
EP, 06, 2026072112, 03, FNV3, 210, 214N, 1599W,  36, 1004, XX,  34, NEQ,   35,   21,   17,   23,     ,     ,  39,
EP, 06, 2026072112, 03, FNV3, 210, 214N, 1599W,  36, 1004, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  39,
WP, 92, 2026072112, 03, FNV3,   0, 139N, 1371E,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 100,
WP, 92, 2026072112, 03, FNV3,   6, 137N, 1350E,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  55,
WP, 92, 2026072112, 03, FNV3,  12, 141N, 1333E,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  55,
WP, 92, 2026072112, 03, FNV3,  18, 146N, 1321E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  52,
WP, 92, 2026072112, 03, FNV3,  24, 150N, 1310E,  27, 1002, XX,  34, NEQ,    2,    0,    1,    0,     ,     ,  48,
WP, 92, 2026072112, 03, FNV3,  30, 154N, 1298E,  30, 1001, XX,  34, NEQ,    9,    6,    4,    9,     ,     ,  49,
WP, 92, 2026072112, 03, FNV3,  36, 160N, 1286E,  31, 1000, XX,  34, NEQ,   20,   17,   13,   16,     ,     ,  51,
WP, 92, 2026072112, 03, FNV3,  42, 168N, 1273E,  37,  997, XX,  34, NEQ,   35,   26,   19,   26,     ,     ,  47,
WP, 92, 2026072112, 03, FNV3,  42, 168N, 1273E,  37,  997, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  47,
WP, 92, 2026072112, 03, FNV3,  48, 173N, 1259E,  43,  995, XX,  34, NEQ,   58,   46,   39,   47,     ,     ,  42,
WP, 92, 2026072112, 03, FNV3,  48, 173N, 1259E,  43,  995, XX,  50, NEQ,    7,    2,    1,    3,     ,     ,  42,
WP, 92, 2026072112, 03, FNV3,  54, 179N, 1245E,  48,  991, XX,  34, NEQ,   84,   73,   58,   69,     ,     ,  37,
WP, 92, 2026072112, 03, FNV3,  54, 179N, 1245E,  48,  991, XX,  50, NEQ,   14,    7,    5,    7,     ,     ,  37,
WP, 92, 2026072112, 03, FNV3,  54, 179N, 1245E,  48,  991, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  37,
WP, 92, 2026072112, 03, FNV3,  60, 187N, 1231E,  55,  988, XX,  34, NEQ,  112,   98,   77,   93,     ,     ,  34,
WP, 92, 2026072112, 03, FNV3,  60, 187N, 1231E,  55,  988, XX,  50, NEQ,   32,   20,   15,   18,     ,     ,  34,
WP, 92, 2026072112, 03, FNV3,  60, 187N, 1231E,  55,  988, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  34,
WP, 92, 2026072112, 03, FNV3,  66, 194N, 1217E,  64,  981, XX,  34, NEQ,  123,  106,   85,  104,     ,     ,  21,
WP, 92, 2026072112, 03, FNV3,  66, 194N, 1217E,  64,  981, XX,  50, NEQ,   45,   37,   28,   35,     ,     ,  21,
WP, 92, 2026072112, 03, FNV3,  66, 194N, 1217E,  64,  981, XX,  64, NEQ,    9,    6,    5,    7,     ,     ,  21,
WP, 92, 2026072112, 03, FNV3,  72, 201N, 1203E,  71,  975, XX,  34, NEQ,  119,  101,   85,  103,     ,     ,  19,
WP, 92, 2026072112, 03, FNV3,  72, 201N, 1203E,  71,  975, XX,  50, NEQ,   46,   37,   29,   36,     ,     ,  19,
WP, 92, 2026072112, 03, FNV3,  72, 201N, 1203E,  71,  975, XX,  64, NEQ,   14,   10,    9,   11,     ,     ,  19,
WP, 92, 2026072112, 03, FNV3,  78, 208N, 1192E,  78,  971, XX,  34, NEQ,  138,  116,   95,  120,     ,     ,  18,
WP, 92, 2026072112, 03, FNV3,  78, 208N, 1192E,  78,  971, XX,  50, NEQ,   68,   58,   46,   57,     ,     ,  18,
WP, 92, 2026072112, 03, FNV3,  78, 208N, 1192E,  78,  971, XX,  64, NEQ,   26,   23,   19,   23,     ,     ,  18,
WP, 92, 2026072112, 03, FNV3,  84, 215N, 1181E,  87,  963, XX,  34, NEQ,  125,  110,   90,  107,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3,  84, 215N, 1181E,  87,  963, XX,  50, NEQ,   58,   49,   39,   49,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3,  84, 215N, 1181E,  87,  963, XX,  64, NEQ,   25,   21,   18,   21,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3,  90, 224N, 1173E,  92,  958, XX,  34, NEQ,  125,  112,   90,  105,     ,     ,  14,
WP, 92, 2026072112, 03, FNV3,  90, 224N, 1173E,  92,  958, XX,  50, NEQ,   56,   49,   39,   47,     ,     ,  14,
WP, 92, 2026072112, 03, FNV3,  90, 224N, 1173E,  92,  958, XX,  64, NEQ,   29,   25,   20,   24,     ,     ,  14,
WP, 92, 2026072112, 03, FNV3,  96, 231N, 1165E,  86,  960, XX,  34, NEQ,  105,   94,   75,   88,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3,  96, 231N, 1165E,  86,  960, XX,  50, NEQ,   44,   36,   29,   37,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3,  96, 231N, 1165E,  86,  960, XX,  64, NEQ,   22,   16,   14,   16,     ,     ,  15,
WP, 92, 2026072112, 03, FNV3, 102, 239N, 1159E,  67,  973, XX,  34, NEQ,   96,   87,   67,   79,     ,     ,  16,
WP, 92, 2026072112, 03, FNV3, 102, 239N, 1159E,  67,  973, XX,  50, NEQ,   29,   25,   18,   23,     ,     ,  16,
WP, 92, 2026072112, 03, FNV3, 102, 239N, 1159E,  67,  973, XX,  64, NEQ,    9,    6,    5,    7,     ,     ,  16,
WP, 92, 2026072112, 03, FNV3, 108, 247N, 1153E,  47,  985, XX,  34, NEQ,   54,   49,   38,   42,     ,     ,  25,
WP, 92, 2026072112, 03, FNV3, 108, 247N, 1153E,  47,  985, XX,  50, NEQ,   10,    9,    5,    7,     ,     ,  25,
WP, 92, 2026072112, 03, FNV3, 108, 247N, 1153E,  47,  985, XX,  64, NEQ,    4,    2,    2,    2,     ,     ,  25,
WP, 92, 2026072112, 03, FNV3, 114, 256N, 1149E,  34,  992, XX,  34, NEQ,   22,   19,   15,   18,     ,     ,  34,
WP, 92, 2026072112, 03, FNV3, 114, 256N, 1149E,  34,  992, XX,  50, NEQ,    1,    1,    2,    1,     ,     ,  34,
WP, 92, 2026072112, 03, FNV3, 120, 263N, 1146E,  26,  996, XX,  34, NEQ,    9,    8,    7,    7,     ,     ,  39,
WP, 92, 2026072112, 03, FNV3, 120, 263N, 1146E,  26,  996, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  39,
WP, 92, 2026072112, 03, FNV3, 126, 271N, 1143E,  24,  997, XX,  34, NEQ,    1,    2,    2,    1,     ,     ,  45,
WP, 92, 2026072112, 03, FNV3, 132, 280N, 1142E,  21, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
WP, 92, 2026072112, 03, FNV3, 138, 289N, 1140E,  19, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
WP, 92, 2026072112, 03, FNV3, 144, 294N, 1134E,  19, 1002, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
WP, 92, 2026072112, 03, FNV3, 150, 306N, 1133E,  17, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  55,
