# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2026082900, 03, FNV3,   0, 160N,  510W,  35, 1008, XX,  34, NEQ,   80,     ,     ,   80,     ,     ,  70,
EP, 11, 2026082900, 03, FNV3,  54, 171N, 1243W, 112,  948, XX,  34, NEQ,  132,  108,   93,  122,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  54, 171N, 1243W, 112,  948, XX,  50, NEQ,   52,   40,   33,   46,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  54, 171N, 1243W, 112,  948, XX,  64, NEQ,   28,   21,   18,   22,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  60, 171N, 1251W, 117,  943, XX,  34, NEQ,  122,   95,   85,  115,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  60, 171N, 1251W, 117,  943, XX,  50, NEQ,   59,   46,   39,   52,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  60, 171N, 1251W, 117,  943, XX,  64, NEQ,   32,   26,   22,   28,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  66, 172N, 1261W, 120,  941, XX,  34, NEQ,  131,  105,   93,  122,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  66, 172N, 1261W, 120,  941, XX,  50, NEQ,   62,   50,   42,   56,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  66, 172N, 1261W, 120,  941, XX,  64, NEQ,   35,   30,   25,   31,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  72, 174N, 1270W, 123,  938, XX,  34, NEQ,  127,  102,   89,  119,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  72, 174N, 1270W, 123,  938, XX,  50, NEQ,   64,   52,   43,   57,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  72, 174N, 1270W, 123,  938, XX,  64, NEQ,   36,   31,   26,   32,     ,     ,  13,
EP, 11, 2026082900, 03, FNV3,  78, 176N, 1280W, 116,  944, XX,  34, NEQ,  135,  111,  102,  129,     ,     ,  18,
EP, 11, 2026082900, 03, FNV3,  78, 176N, 1280W, 116,  944, XX,  50, NEQ,   69,   58,   49,   63,     ,     ,  18,
EP, 11, 2026082900, 03, FNV3,  78, 176N, 1280W, 116,  944, XX,  64, NEQ,   40,   35,   30,   36,     ,     ,  18,
EP, 11, 2026082900, 03, FNV3,  84, 178N, 1290W, 115,  944, XX,  34, NEQ,  134,  109,   95,  125,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  84, 178N, 1290W, 115,  944, XX,  50, NEQ,   70,   57,   48,   62,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  84, 178N, 1290W, 115,  944, XX,  64, NEQ,   38,   33,   28,   34,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  90, 180N, 1301W, 107,  951, XX,  34, NEQ,  137,  112,   97,  126,     ,     ,  19,
EP, 11, 2026082900, 03, FNV3,  90, 180N, 1301W, 107,  951, XX,  50, NEQ,   70,   58,   49,   63,     ,     ,  19,
EP, 11, 2026082900, 03, FNV3,  90, 180N, 1301W, 107,  951, XX,  64, NEQ,   39,   34,   29,   35,     ,     ,  19,
EP, 11, 2026082900, 03, FNV3,  96, 183N, 1310W, 110,  948, XX,  34, NEQ,  136,  112,   96,  123,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  96, 183N, 1310W, 110,  948, XX,  50, NEQ,   69,   56,   46,   60,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  96, 183N, 1310W, 110,  948, XX,  64, NEQ,   38,   33,   27,   33,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3, 102, 186N, 1319W, 104,  953, XX,  34, NEQ,  142,  117,  101,  130,     ,     ,  21,
EP, 11, 2026082900, 03, FNV3, 102, 186N, 1319W, 104,  953, XX,  50, NEQ,   74,   62,   51,   66,     ,     ,  21,
EP, 11, 2026082900, 03, FNV3, 102, 186N, 1319W, 104,  953, XX,  64, NEQ,   41,   35,   30,   36,     ,     ,  21,
EP, 11, 2026082900, 03, FNV3, 108, 188N, 1327W, 100,  957, XX,  34, NEQ,  138,  116,   97,  123,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3, 108, 188N, 1327W, 100,  957, XX,  50, NEQ,   68,   56,   46,   59,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3, 108, 188N, 1327W, 100,  957, XX,  64, NEQ,   36,   31,   26,   31,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3, 114, 192N, 1336W,  95,  960, XX,  34, NEQ,  139,  118,   97,  122,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 114, 192N, 1336W,  95,  960, XX,  50, NEQ,   69,   59,   47,   60,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 114, 192N, 1336W,  95,  960, XX,  64, NEQ,   38,   32,   26,   32,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 120, 197N, 1342W,  91,  962, XX,  34, NEQ,  142,  123,   98,  121,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 120, 197N, 1342W,  91,  962, XX,  50, NEQ,   66,   56,   44,   56,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 120, 197N, 1342W,  91,  962, XX,  64, NEQ,   34,   28,   23,   27,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3, 126, 201N, 1348W,  84,  968, XX,  34, NEQ,  138,  122,   97,  117,     ,     ,  23,
EP, 11, 2026082900, 03, FNV3, 126, 201N, 1348W,  84,  968, XX,  50, NEQ,   63,   54,   42,   53,     ,     ,  23,
EP, 11, 2026082900, 03, FNV3, 126, 201N, 1348W,  84,  968, XX,  64, NEQ,   31,   25,   21,   25,     ,     ,  23,
EP, 11, 2026082900, 03, FNV3, 132, 207N, 1354W,  76,  974, XX,  34, NEQ,  140,  123,   95,  117,     ,     ,  26,
EP, 11, 2026082900, 03, FNV3, 132, 207N, 1354W,  76,  974, XX,  50, NEQ,   65,   55,   42,   53,     ,     ,  26,
EP, 11, 2026082900, 03, FNV3, 132, 207N, 1354W,  76,  974, XX,  64, NEQ,   29,   23,   19,   22,     ,     ,  26,
EP, 11, 2026082900, 03, FNV3, 138, 211N, 1360W,  69,  978, XX,  34, NEQ,  143,  125,   97,  119,     ,     ,  28,
EP, 11, 2026082900, 03, FNV3, 138, 211N, 1360W,  69,  978, XX,  50, NEQ,   61,   51,   38,   49,     ,     ,  28,
EP, 11, 2026082900, 03, FNV3, 138, 211N, 1360W,  69,  978, XX,  64, NEQ,   20,   15,   11,   14,     ,     ,  28,
EP, 11, 2026082900, 03, FNV3, 144, 217N, 1367W,  66,  980, XX,  34, NEQ,  143,  123,   94,  118,     ,     ,  32,
EP, 11, 2026082900, 03, FNV3, 144, 217N, 1367W,  66,  980, XX,  50, NEQ,   55,   46,   35,   45,     ,     ,  32,
EP, 11, 2026082900, 03, FNV3, 144, 217N, 1367W,  66,  980, XX,  64, NEQ,   18,   13,   10,   12,     ,     ,  32,
EP, 11, 2026082900, 03, FNV3, 150, 221N, 1373W,  59,  986, XX,  34, NEQ,  133,  115,   93,  111,     ,     ,  38,
EP, 11, 2026082900, 03, FNV3, 150, 221N, 1373W,  59,  986, XX,  50, NEQ,   44,   34,   26,   32,     ,     ,  38,
EP, 11, 2026082900, 03, FNV3, 150, 221N, 1373W,  59,  986, XX,  64, NEQ,    7,    5,    4,    5,     ,     ,  38,
EP, 11, 2026082900, 03, FNV3, 156, 224N, 1382W,  55,  988, XX,  34, NEQ,  128,  106,   85,  106,     ,     ,  41,
EP, 11, 2026082900, 03, FNV3, 156, 224N, 1382W,  55,  988, XX,  50, NEQ,   36,   27,   20,   26,     ,     ,  41,
EP, 11, 2026082900, 03, FNV3, 156, 224N, 1382W,  55,  988, XX,  64, NEQ,    6,    4,    4,    4,     ,     ,  41,
EP, 11, 2026082900, 03, FNV3, 162, 227N, 1390W,  48,  992, XX,  34, NEQ,  116,   98,   81,   98,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 162, 227N, 1390W,  48,  992, XX,  50, NEQ,   20,   14,   11,   14,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 162, 227N, 1390W,  48,  992, XX,  64, NEQ,    3,    1,    1,    2,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 168, 229N, 1398W,  48,  992, XX,  34, NEQ,  104,   88,   71,   87,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 168, 229N, 1398W,  48,  992, XX,  50, NEQ,   17,   14,   11,   13,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 168, 229N, 1398W,  48,  992, XX,  64, NEQ,    4,    2,    1,    2,     ,     ,  47,
EP, 11, 2026082900, 03, FNV3, 174, 230N, 1407W,  46,  994, XX,  34, NEQ,   96,   80,   64,   78,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 174, 230N, 1407W,  46,  994, XX,  50, NEQ,   13,    9,    7,    9,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 174, 230N, 1407W,  46,  994, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 180, 231N, 1416W,  44,  994, XX,  34, NEQ,   88,   71,   55,   70,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 180, 231N, 1416W,  44,  994, XX,  50, NEQ,   10,    7,    5,    7,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 180, 231N, 1416W,  44,  994, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 186, 232N, 1426W,  40,  997, XX,  34, NEQ,   71,   54,   43,   57,     ,     ,  55,
EP, 11, 2026082900, 03, FNV3, 186, 232N, 1426W,  40,  997, XX,  50, NEQ,    7,    5,    3,    5,     ,     ,  55,
EP, 11, 2026082900, 03, FNV3, 192, 233N, 1437W,  39,  998, XX,  34, NEQ,   56,   41,   32,   42,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 192, 233N, 1437W,  39,  998, XX,  50, NEQ,    7,    4,    3,    5,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 192, 233N, 1437W,  39,  998, XX,  64, NEQ,    1,    0,    0,    2,     ,     ,  48,
EP, 11, 2026082900, 03, FNV3, 198, 234N, 1448W,  38,  999, XX,  34, NEQ,   63,   50,   40,   49,     ,     ,  52,
EP, 11, 2026082900, 03, FNV3, 198, 234N, 1448W,  38,  999, XX,  50, NEQ,    5,    4,    3,    3,     ,     ,  52,
EP, 11, 2026082900, 03, FNV3, 198, 234N, 1448W,  38,  999, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  52,
EP, 11, 2026082900, 03, FNV3, 204, 234N, 1460W,  38, 1000, XX,  34, NEQ,   50,   39,   30,   39,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 204, 234N, 1460W,  38, 1000, XX,  50, NEQ,    4,    2,    2,    2,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 204, 234N, 1460W,  38, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  49,
EP, 11, 2026082900, 03, FNV3, 210, 230N, 1470W,  38, 1000, XX,  34, NEQ,   51,   33,   26,   34,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 210, 230N, 1470W,  38, 1000, XX,  50, NEQ,    6,    2,    1,    3,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 210, 230N, 1470W,  38, 1000, XX,  64, NEQ,    1,    1,    1,    2,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 216, 231N, 1484W,  39,  999, XX,  34, NEQ,   54,   38,   30,   40,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 216, 231N, 1484W,  39,  999, XX,  50, NEQ,    6,    3,    2,    5,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 216, 231N, 1484W,  39,  999, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 222, 228N, 1492W,  39,  999, XX,  34, NEQ,   45,   27,   21,   31,     ,     ,  56,
EP, 11, 2026082900, 03, FNV3, 222, 228N, 1492W,  39,  999, XX,  50, NEQ,    9,    2,    2,    2,     ,     ,  56,
EP, 11, 2026082900, 03, FNV3, 222, 228N, 1492W,  39,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  56,
EP, 11, 2026082900, 03, FNV3, 228, 229N, 1504W,  42,  998, XX,  34, NEQ,   65,   44,   35,   45,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 228, 229N, 1504W,  42,  998, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  54,
EP, 11, 2026082900, 03, FNV3, 228, 229N, 1504W,  42,  998, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  54,
EP, 12, 2026082900, 03, FNV3,   0, 124N, 1338W,  41, 1003, XX,  34, NEQ,     ,     ,   60,   50,     ,     ,  50,
EP, 12, 2026082900, 03, FNV3,   6, 127N, 1346W,  34, 1003, XX,  34, NEQ,   10,    6,    7,   11,     ,     ,  36,
EP, 12, 2026082900, 03, FNV3,  12, 129N, 1356W,  35, 1003, XX,  34, NEQ,   24,   18,   15,   18,     ,     ,  38,
EP, 12, 2026082900, 03, FNV3,  18, 131N, 1368W,  36, 1002, XX,  34, NEQ,   24,   18,   15,   20,     ,     ,  37,
EP, 12, 2026082900, 03, FNV3,  18, 131N, 1368W,  36, 1002, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  37,
EP, 12, 2026082900, 03, FNV3,  24, 131N, 1381W,  38, 1002, XX,  34, NEQ,   33,   24,   22,   29,     ,     ,  37,
EP, 12, 2026082900, 03, FNV3,  24, 131N, 1381W,  38, 1002, XX,  50, NEQ,    0,    0,    0,    2,     ,     ,  37,
EP, 12, 2026082900, 03, FNV3,  30, 131N, 1393W,  40, 1001, XX,  34, NEQ,   37,   29,   26,   32,     ,     ,  36,
EP, 12, 2026082900, 03, FNV3,  30, 131N, 1393W,  40, 1001, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  36,
EP, 12, 2026082900, 03, FNV3,  36, 129N, 1405W,  41, 1000, XX,  34, NEQ,   38,   29,   26,   34,     ,     ,  33,
EP, 12, 2026082900, 03, FNV3,  36, 129N, 1405W,  41, 1000, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  33,
EP, 12, 2026082900, 03, FNV3,  42, 127N, 1418W,  42, 1001, XX,  34, NEQ,   36,   28,   24,   33,     ,     ,  32,
EP, 12, 2026082900, 03, FNV3,  42, 127N, 1418W,  42, 1001, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  32,
EP, 12, 2026082900, 03, FNV3,  48, 127N, 1429W,  45,  999, XX,  34, NEQ,   46,   33,   28,   38,     ,     ,  30,
EP, 12, 2026082900, 03, FNV3,  48, 127N, 1429W,  45,  999, XX,  50, NEQ,    4,    1,    1,    3,     ,     ,  30,
EP, 12, 2026082900, 03, FNV3,  48, 127N, 1429W,  45,  999, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  30,
EP, 12, 2026082900, 03, FNV3,  54, 126N, 1438W,  47,  997, XX,  34, NEQ,   52,   40,   33,   44,     ,     ,  31,
EP, 12, 2026082900, 03, FNV3,  54, 126N, 1438W,  47,  997, XX,  50, NEQ,    6,    3,    2,    5,     ,     ,  31,
EP, 12, 2026082900, 03, FNV3,  54, 126N, 1438W,  47,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
EP, 12, 2026082900, 03, FNV3,  60, 127N, 1447W,  47,  997, XX,  34, NEQ,   55,   43,   34,   48,     ,     ,  32,
EP, 12, 2026082900, 03, FNV3,  60, 127N, 1447W,  47,  997, XX,  50, NEQ,    8,    3,    2,    5,     ,     ,  32,
EP, 12, 2026082900, 03, FNV3,  60, 127N, 1447W,  47,  997, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  32,
EP, 12, 2026082900, 03, FNV3,  66, 128N, 1457W,  51,  996, XX,  34, NEQ,   56,   42,   35,   47,     ,     ,  29,
EP, 12, 2026082900, 03, FNV3,  66, 128N, 1457W,  51,  996, XX,  50, NEQ,   11,    6,    5,    9,     ,     ,  29,
EP, 12, 2026082900, 03, FNV3,  66, 128N, 1457W,  51,  996, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  29,
EP, 12, 2026082900, 03, FNV3,  72, 129N, 1467W,  57,  991, XX,  34, NEQ,   66,   50,   42,   57,     ,     ,  27,
EP, 12, 2026082900, 03, FNV3,  72, 129N, 1467W,  57,  991, XX,  50, NEQ,   15,    9,    7,   12,     ,     ,  27,
EP, 12, 2026082900, 03, FNV3,  72, 129N, 1467W,  57,  991, XX,  64, NEQ,    4,    3,    3,    4,     ,     ,  27,
EP, 12, 2026082900, 03, FNV3,  78, 129N, 1476W,  60,  990, XX,  34, NEQ,   66,   50,   44,   58,     ,     ,  23,
EP, 12, 2026082900, 03, FNV3,  78, 129N, 1476W,  60,  990, XX,  50, NEQ,   17,   12,   10,   15,     ,     ,  23,
EP, 12, 2026082900, 03, FNV3,  78, 129N, 1476W,  60,  990, XX,  64, NEQ,    7,    5,    4,    6,     ,     ,  23,
EP, 12, 2026082900, 03, FNV3,  84, 129N, 1485W,  63,  988, XX,  34, NEQ,   65,   51,   44,   60,     ,     ,  25,
EP, 12, 2026082900, 03, FNV3,  84, 129N, 1485W,  63,  988, XX,  50, NEQ,   23,   16,   12,   18,     ,     ,  25,
EP, 12, 2026082900, 03, FNV3,  84, 129N, 1485W,  63,  988, XX,  64, NEQ,    8,    6,    5,    6,     ,     ,  25,
EP, 12, 2026082900, 03, FNV3,  90, 129N, 1495W,  70,  983, XX,  34, NEQ,   64,   51,   45,   62,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3,  90, 129N, 1495W,  70,  983, XX,  50, NEQ,   28,   21,   17,   23,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3,  90, 129N, 1495W,  70,  983, XX,  64, NEQ,   11,    8,    7,    9,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3,  96, 130N, 1505W,  73,  980, XX,  34, NEQ,   76,   60,   53,   72,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3,  96, 130N, 1505W,  73,  980, XX,  50, NEQ,   32,   24,   19,   28,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3,  96, 130N, 1505W,  73,  980, XX,  64, NEQ,   14,   10,    8,   10,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 102, 129N, 1515W,  81,  975, XX,  34, NEQ,   85,   68,   62,   82,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 102, 129N, 1515W,  81,  975, XX,  50, NEQ,   38,   30,   25,   34,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 102, 129N, 1515W,  81,  975, XX,  64, NEQ,   19,   15,   12,   15,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 108, 128N, 1524W,  81,  975, XX,  34, NEQ,   84,   64,   57,   79,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 108, 128N, 1524W,  81,  975, XX,  50, NEQ,   38,   29,   23,   34,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 108, 128N, 1524W,  81,  975, XX,  64, NEQ,   20,   15,   12,   16,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 114, 127N, 1533W,  86,  971, XX,  34, NEQ,   98,   81,   70,   92,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 114, 127N, 1533W,  86,  971, XX,  50, NEQ,   44,   34,   29,   37,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 114, 127N, 1533W,  86,  971, XX,  64, NEQ,   21,   17,   14,   18,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 120, 127N, 1542W,  90,  969, XX,  34, NEQ,   95,   76,   66,   88,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 120, 127N, 1542W,  90,  969, XX,  50, NEQ,   45,   35,   29,   39,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 120, 127N, 1542W,  90,  969, XX,  64, NEQ,   24,   19,   16,   20,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 126, 127N, 1550W,  92,  966, XX,  34, NEQ,  101,   82,   74,   95,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 126, 127N, 1550W,  92,  966, XX,  50, NEQ,   47,   38,   31,   41,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 126, 127N, 1550W,  92,  966, XX,  64, NEQ,   24,   19,   16,   20,     ,     ,  18,
EP, 12, 2026082900, 03, FNV3, 132, 128N, 1557W,  89,  968, XX,  34, NEQ,   98,   79,   70,   91,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 132, 128N, 1557W,  89,  968, XX,  50, NEQ,   46,   37,   30,   41,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 132, 128N, 1557W,  89,  968, XX,  64, NEQ,   24,   20,   17,   21,     ,     ,  17,
EP, 12, 2026082900, 03, FNV3, 138, 128N, 1562W,  91,  967, XX,  34, NEQ,   97,   81,   73,   92,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 138, 128N, 1562W,  91,  967, XX,  50, NEQ,   46,   38,   31,   41,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 138, 128N, 1562W,  91,  967, XX,  64, NEQ,   26,   21,   17,   21,     ,     ,  19,
EP, 12, 2026082900, 03, FNV3, 144, 130N, 1567W,  97,  961, XX,  34, NEQ,  107,   86,   79,  101,     ,     ,  16,
EP, 12, 2026082900, 03, FNV3, 144, 130N, 1567W,  97,  961, XX,  50, NEQ,   52,   42,   36,   46,     ,     ,  16,
EP, 12, 2026082900, 03, FNV3, 144, 130N, 1567W,  97,  961, XX,  64, NEQ,   29,   24,   20,   25,     ,     ,  16,
EP, 12, 2026082900, 03, FNV3, 150, 131N, 1571W, 101,  957, XX,  34, NEQ,   96,   83,   75,   91,     ,     ,  15,
EP, 12, 2026082900, 03, FNV3, 150, 131N, 1571W, 101,  957, XX,  50, NEQ,   48,   42,   36,   44,     ,     ,  15,
