# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2026082800, 03, FNV3,   0, 137N,  414W,  35, 1007, XX,  34, NEQ,  100,     ,     ,     ,     ,     ,  50,
EP, 11, 2026082800, 03, FNV3, 108, 187N, 1279W, 105,  952, XX,  50, NEQ,   67,   55,   45,   58,     ,     ,  17,
EP, 11, 2026082800, 03, FNV3, 108, 187N, 1279W, 105,  952, XX,  64, NEQ,   36,   31,   26,   32,     ,     ,  17,
EP, 11, 2026082800, 03, FNV3, 114, 190N, 1288W,  98,  957, XX,  34, NEQ,  131,  111,   93,  117,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 114, 190N, 1288W,  98,  957, XX,  50, NEQ,   66,   55,   45,   58,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 114, 190N, 1288W,  98,  957, XX,  64, NEQ,   36,   31,   26,   31,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 120, 194N, 1295W,  99,  955, XX,  34, NEQ,  137,  116,   96,  120,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3, 120, 194N, 1295W,  99,  955, XX,  50, NEQ,   67,   56,   44,   58,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3, 120, 194N, 1295W,  99,  955, XX,  64, NEQ,   35,   30,   25,   30,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3, 126, 198N, 1302W,  90,  963, XX,  34, NEQ,  135,  116,   95,  118,     ,     ,  22,
EP, 11, 2026082800, 03, FNV3, 126, 198N, 1302W,  90,  963, XX,  50, NEQ,   62,   52,   41,   53,     ,     ,  22,
EP, 11, 2026082800, 03, FNV3, 126, 198N, 1302W,  90,  963, XX,  64, NEQ,   35,   28,   23,   28,     ,     ,  22,
EP, 11, 2026082800, 03, FNV3, 132, 202N, 1308W,  86,  966, XX,  34, NEQ,  133,  113,   90,  115,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 132, 202N, 1308W,  86,  966, XX,  50, NEQ,   65,   55,   43,   55,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 132, 202N, 1308W,  86,  966, XX,  64, NEQ,   33,   27,   22,   26,     ,     ,  21,
EP, 11, 2026082800, 03, FNV3, 138, 208N, 1314W,  81,  970, XX,  34, NEQ,  132,  116,   91,  111,     ,     ,  27,
EP, 11, 2026082800, 03, FNV3, 138, 208N, 1314W,  81,  970, XX,  50, NEQ,   56,   46,   35,   46,     ,     ,  27,
EP, 11, 2026082800, 03, FNV3, 138, 208N, 1314W,  81,  970, XX,  64, NEQ,   29,   21,   16,   20,     ,     ,  27,
EP, 11, 2026082800, 03, FNV3, 144, 213N, 1319W,  76,  973, XX,  34, NEQ,  137,  122,   93,  113,     ,     ,  24,
EP, 11, 2026082800, 03, FNV3, 144, 213N, 1319W,  76,  973, XX,  50, NEQ,   56,   48,   35,   46,     ,     ,  24,
EP, 11, 2026082800, 03, FNV3, 144, 213N, 1319W,  76,  973, XX,  64, NEQ,   26,   20,   16,   20,     ,     ,  24,
EP, 11, 2026082800, 03, FNV3, 150, 220N, 1324W,  70,  978, XX,  34, NEQ,  122,  111,   86,   99,     ,     ,  33,
EP, 11, 2026082800, 03, FNV3, 150, 220N, 1324W,  70,  978, XX,  50, NEQ,   45,   37,   26,   35,     ,     ,  33,
EP, 11, 2026082800, 03, FNV3, 150, 220N, 1324W,  70,  978, XX,  64, NEQ,   21,   15,   12,   14,     ,     ,  33,
EP, 11, 2026082800, 03, FNV3, 156, 226N, 1329W,  64,  982, XX,  34, NEQ,  124,  108,   81,   99,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3, 156, 226N, 1329W,  64,  982, XX,  50, NEQ,   48,   37,   27,   33,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3, 156, 226N, 1329W,  64,  982, XX,  64, NEQ,   16,   12,    9,   11,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3, 162, 233N, 1333W,  55,  987, XX,  34, NEQ,  114,  100,   78,   92,     ,     ,  42,
EP, 11, 2026082800, 03, FNV3, 162, 233N, 1333W,  55,  987, XX,  50, NEQ,   35,   27,   20,   27,     ,     ,  42,
EP, 11, 2026082800, 03, FNV3, 162, 233N, 1333W,  55,  987, XX,  64, NEQ,    8,    7,    5,    6,     ,     ,  42,
EP, 11, 2026082800, 03, FNV3, 168, 240N, 1338W,  50,  990, XX,  34, NEQ,  111,   95,   72,   88,     ,     ,  48,
EP, 11, 2026082800, 03, FNV3, 168, 240N, 1338W,  50,  990, XX,  50, NEQ,   26,   19,   14,   18,     ,     ,  48,
EP, 11, 2026082800, 03, FNV3, 168, 240N, 1338W,  50,  990, XX,  64, NEQ,    5,    3,    2,    3,     ,     ,  48,
EP, 11, 2026082800, 03, FNV3, 174, 244N, 1344W,  47,  993, XX,  34, NEQ,  104,   88,   70,   82,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 174, 244N, 1344W,  47,  993, XX,  50, NEQ,   18,   13,   10,   13,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 174, 244N, 1344W,  47,  993, XX,  64, NEQ,    2,    1,    1,    3,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 180, 247N, 1352W,  44,  994, XX,  34, NEQ,   93,   73,   60,   75,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 180, 247N, 1352W,  44,  994, XX,  50, NEQ,   13,    8,    6,    9,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 180, 247N, 1352W,  44,  994, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  51,
EP, 11, 2026082800, 03, FNV3, 186, 246N, 1365W,  42,  995, XX,  34, NEQ,   75,   58,   47,   60,     ,     ,  55,
EP, 11, 2026082800, 03, FNV3, 186, 246N, 1365W,  42,  995, XX,  50, NEQ,    4,    2,    2,    5,     ,     ,  55,
EP, 11, 2026082800, 03, FNV3, 186, 246N, 1365W,  42,  995, XX,  64, NEQ,    1,    1,    0,    2,     ,     ,  55,
EP, 11, 2026082800, 03, FNV3, 192, 246N, 1373W,  40,  996, XX,  34, NEQ,   64,   50,   40,   51,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 192, 246N, 1373W,  40,  996, XX,  50, NEQ,    3,    2,    2,    2,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 192, 246N, 1373W,  40,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 198, 247N, 1381W,  38,  998, XX,  34, NEQ,   50,   36,   29,   39,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 198, 247N, 1381W,  38,  998, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 198, 247N, 1381W,  38,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  58,
EP, 11, 2026082800, 03, FNV3, 204, 249N, 1389W,  37,  998, XX,  34, NEQ,   53,   39,   31,   40,     ,     ,  56,
EP, 11, 2026082800, 03, FNV3, 204, 249N, 1389W,  37,  998, XX,  50, NEQ,    4,    2,    1,    2,     ,     ,  56,
EP, 11, 2026082800, 03, FNV3, 204, 249N, 1389W,  37,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  56,
EP, 11, 2026082800, 03, FNV3, 210, 250N, 1396W,  36,  999, XX,  34, NEQ,   40,   29,   22,   28,     ,     ,  63,
EP, 11, 2026082800, 03, FNV3, 210, 250N, 1396W,  36,  999, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  63,
EP, 11, 2026082800, 03, FNV3, 216, 252N, 1402W,  35, 1000, XX,  34, NEQ,   38,   26,   21,   29,     ,     ,  55,
EP, 11, 2026082800, 03, FNV3, 216, 252N, 1402W,  35, 1000, XX,  50, NEQ,    1,    1,    1,    3,     ,     ,  55,
EP, 11, 2026082800, 03, FNV3, 222, 247N, 1415W,  35, 1000, XX,  34, NEQ,   33,   25,   20,   24,     ,     ,  56,
EP, 11, 2026082800, 03, FNV3, 222, 247N, 1415W,  35, 1000, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  56,
EP, 11, 2026082800, 03, FNV3, 228, 244N, 1422W,  36, 1000, XX,  34, NEQ,   42,   32,   28,   31,     ,     ,  62,
EP, 11, 2026082800, 03, FNV3, 228, 244N, 1422W,  36, 1000, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  62,
EP, 11, 2026082800, 03, FNV3, 228, 244N, 1422W,  36, 1000, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  62,
EP, 11, 2026082800, 03, FNV3, 234, 241N, 1434W,  37, 1000, XX,  34, NEQ,   44,   29,   23,   29,     ,     ,  53,
EP, 11, 2026082800, 03, FNV3, 234, 241N, 1434W,  37, 1000, XX,  50, NEQ,    4,    2,    2,    2,     ,     ,  53,
EP, 11, 2026082800, 03, FNV3, 234, 241N, 1434W,  37, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  53,
EP, 11, 2026082800, 03, FNV3, 240, 239N, 1444W,  37,  999, XX,  34, NEQ,   45,   26,   21,   28,     ,     ,  64,
EP, 11, 2026082800, 03, FNV3, 240, 239N, 1444W,  37,  999, XX,  50, NEQ,    3,    2,    2,    3,     ,     ,  64,
EP, 11, 2026082800, 03, FNV3, 240, 239N, 1444W,  37,  999, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  64,
EP, 12, 2026082800, 03, FNV3,   0, 113N, 1336W,  35, 1004, XX,  34, NEQ,     ,   70,   60,     ,     ,     ,  50,
EP, 12, 2026082800, 03, FNV3,   6, 117N, 1329W,  37, 1002, XX,  34, NEQ,   21,   21,   14,   13,     ,     ,  35,
EP, 12, 2026082800, 03, FNV3,  12, 121N, 1328W,  37, 1001, XX,  34, NEQ,   25,   21,   17,   17,     ,     ,  32,
EP, 12, 2026082800, 03, FNV3,  18, 122N, 1330W,  35, 1002, XX,  34, NEQ,   19,   12,   12,   15,     ,     ,  33,
EP, 12, 2026082800, 03, FNV3,  24, 122N, 1335W,  36, 1002, XX,  34, NEQ,   22,   17,   16,   19,     ,     ,  33,
EP, 12, 2026082800, 03, FNV3,  30, 122N, 1341W,  38, 1001, XX,  34, NEQ,   27,   18,   17,   22,     ,     ,  33,
EP, 12, 2026082800, 03, FNV3,  36, 122N, 1349W,  40, 1000, XX,  34, NEQ,   26,   21,   19,   23,     ,     ,  32,
EP, 12, 2026082800, 03, FNV3,  36, 122N, 1349W,  40, 1000, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  32,
EP, 12, 2026082800, 03, FNV3,  42, 122N, 1357W,  42,  999, XX,  34, NEQ,   36,   27,   23,   30,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  42, 122N, 1357W,  42,  999, XX,  50, NEQ,    6,    3,    2,    3,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  42, 122N, 1357W,  42,  999, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  48, 122N, 1366W,  44,  999, XX,  34, NEQ,   42,   31,   27,   37,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  48, 122N, 1366W,  44,  999, XX,  50, NEQ,    4,    3,    3,    4,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  48, 122N, 1366W,  44,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  30,
EP, 12, 2026082800, 03, FNV3,  54, 123N, 1375W,  47,  997, XX,  34, NEQ,   52,   40,   32,   43,     ,     ,  31,
EP, 12, 2026082800, 03, FNV3,  54, 123N, 1375W,  47,  997, XX,  50, NEQ,    8,    5,    3,    5,     ,     ,  31,
EP, 12, 2026082800, 03, FNV3,  54, 123N, 1375W,  47,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
EP, 12, 2026082800, 03, FNV3,  60, 123N, 1384W,  48,  997, XX,  34, NEQ,   44,   36,   29,   42,     ,     ,  26,
EP, 12, 2026082800, 03, FNV3,  60, 123N, 1384W,  48,  997, XX,  50, NEQ,   10,    5,    4,    5,     ,     ,  26,
EP, 12, 2026082800, 03, FNV3,  60, 123N, 1384W,  48,  997, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  26,
EP, 12, 2026082800, 03, FNV3,  66, 123N, 1394W,  51,  995, XX,  34, NEQ,   47,   37,   29,   43,     ,     ,  25,
EP, 12, 2026082800, 03, FNV3,  66, 123N, 1394W,  51,  995, XX,  50, NEQ,   11,    7,    5,    8,     ,     ,  25,
EP, 12, 2026082800, 03, FNV3,  66, 123N, 1394W,  51,  995, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  25,
EP, 12, 2026082800, 03, FNV3,  72, 125N, 1403W,  58,  990, XX,  34, NEQ,   63,   51,   43,   55,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  72, 125N, 1403W,  58,  990, XX,  50, NEQ,   15,   11,    9,   13,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  72, 125N, 1403W,  58,  990, XX,  64, NEQ,    5,    3,    3,    4,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  78, 126N, 1412W,  57,  991, XX,  34, NEQ,   61,   47,   40,   53,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  78, 126N, 1412W,  57,  991, XX,  50, NEQ,   16,   11,    9,   14,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  78, 126N, 1412W,  57,  991, XX,  64, NEQ,    5,    4,    3,    5,     ,     ,  23,
EP, 12, 2026082800, 03, FNV3,  84, 127N, 1420W,  60,  989, XX,  34, NEQ,   65,   53,   42,   59,     ,     ,  24,
EP, 12, 2026082800, 03, FNV3,  84, 127N, 1420W,  60,  989, XX,  50, NEQ,   20,   14,   11,   15,     ,     ,  24,
EP, 12, 2026082800, 03, FNV3,  84, 127N, 1420W,  60,  989, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  24,
EP, 12, 2026082800, 03, FNV3,  90, 129N, 1429W,  65,  986, XX,  34, NEQ,   69,   54,   45,   61,     ,     ,  20,
EP, 12, 2026082800, 03, FNV3,  90, 129N, 1429W,  65,  986, XX,  50, NEQ,   23,   18,   13,   19,     ,     ,  20,
EP, 12, 2026082800, 03, FNV3,  90, 129N, 1429W,  65,  986, XX,  64, NEQ,   10,    7,    6,    8,     ,     ,  20,
EP, 12, 2026082800, 03, FNV3,  96, 131N, 1439W,  76,  978, XX,  34, NEQ,   76,   60,   50,   67,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3,  96, 131N, 1439W,  76,  978, XX,  50, NEQ,   31,   23,   18,   27,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3,  96, 131N, 1439W,  76,  978, XX,  64, NEQ,   15,   11,    9,   12,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 102, 133N, 1449W,  83,  973, XX,  34, NEQ,   81,   64,   54,   74,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 102, 133N, 1449W,  83,  973, XX,  50, NEQ,   35,   26,   21,   30,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 102, 133N, 1449W,  83,  973, XX,  64, NEQ,   18,   14,   12,   15,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 108, 134N, 1459W,  85,  972, XX,  34, NEQ,   85,   66,   57,   78,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 108, 134N, 1459W,  85,  972, XX,  50, NEQ,   37,   28,   22,   32,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 108, 134N, 1459W,  85,  972, XX,  64, NEQ,   18,   15,   12,   16,     ,     ,  17,
EP, 12, 2026082800, 03, FNV3, 114, 135N, 1470W,  91,  968, XX,  34, NEQ,   83,   63,   54,   79,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 114, 135N, 1470W,  91,  968, XX,  50, NEQ,   39,   30,   25,   35,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 114, 135N, 1470W,  91,  968, XX,  64, NEQ,   22,   18,   15,   19,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 120, 135N, 1480W,  98,  962, XX,  34, NEQ,   91,   69,   62,   85,     ,     ,  14,
EP, 12, 2026082800, 03, FNV3, 120, 135N, 1480W,  98,  962, XX,  50, NEQ,   46,   36,   30,   41,     ,     ,  14,
EP, 12, 2026082800, 03, FNV3, 120, 135N, 1480W,  98,  962, XX,  64, NEQ,   26,   21,   18,   23,     ,     ,  14,
EP, 12, 2026082800, 03, FNV3, 126, 135N, 1490W,  93,  965, XX,  34, NEQ,   95,   75,   69,   91,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 126, 135N, 1490W,  93,  965, XX,  50, NEQ,   46,   36,   31,   41,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 126, 135N, 1490W,  93,  965, XX,  64, NEQ,   25,   21,   18,   22,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 132, 136N, 1500W,  91,  967, XX,  34, NEQ,   95,   73,   65,   90,     ,     ,  16,
EP, 12, 2026082800, 03, FNV3, 132, 136N, 1500W,  91,  967, XX,  50, NEQ,   48,   38,   31,   42,     ,     ,  16,
EP, 12, 2026082800, 03, FNV3, 132, 136N, 1500W,  91,  967, XX,  64, NEQ,   24,   21,   17,   21,     ,     ,  16,
EP, 12, 2026082800, 03, FNV3, 138, 136N, 1508W,  90,  967, XX,  34, NEQ,   98,   80,   71,   91,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 138, 136N, 1508W,  90,  967, XX,  50, NEQ,   46,   36,   30,   40,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 138, 136N, 1508W,  90,  967, XX,  64, NEQ,   22,   19,   15,   19,     ,     ,  18,
EP, 12, 2026082800, 03, FNV3, 144, 138N, 1517W,  93,  965, XX,  34, NEQ,   93,   74,   64,   87,     ,     ,  16,
EP, 12, 2026082800, 03, FNV3, 144, 138N, 1517W,  93,  965, XX,  50, NEQ,   46,   36,   30,   40,     ,     ,  16,
