# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 13, 2025102300, 03, FNV3,   0, 143N,  745W,  45, 1002, XX,  34, NEQ,  100,   90,     ,   60,     ,     ,  60,
AL, 13, 2025102300, 03, FNV3,  72, 169N,  746W,  88,  970, XX,  34, NEQ,  105,   87,   59,   88,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  72, 169N,  746W,  88,  970, XX,  50, NEQ,   46,   35,   25,   36,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  72, 169N,  746W,  88,  970, XX,  64, NEQ,   20,   14,   11,   15,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  78, 169N,  748W,  94,  965, XX,  34, NEQ,  107,   86,   62,   93,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  78, 169N,  748W,  94,  965, XX,  50, NEQ,   50,   38,   28,   41,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  78, 169N,  748W,  94,  965, XX,  64, NEQ,   24,   19,   15,   19,     ,     ,  17,
AL, 13, 2025102300, 03, FNV3,  84, 169N,  751W,  94,  966, XX,  34, NEQ,  110,   87,   62,   95,     ,     ,  18,
AL, 13, 2025102300, 03, FNV3,  84, 169N,  751W,  94,  966, XX,  50, NEQ,   48,   38,   28,   42,     ,     ,  18,
AL, 13, 2025102300, 03, FNV3,  84, 169N,  751W,  94,  966, XX,  64, NEQ,   24,   19,   15,   21,     ,     ,  18,
AL, 13, 2025102300, 03, FNV3,  90, 169N,  754W,  97,  964, XX,  34, NEQ,  101,   80,   57,   87,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  90, 169N,  754W,  97,  964, XX,  50, NEQ,   42,   31,   22,   35,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  90, 169N,  754W,  97,  964, XX,  64, NEQ,   22,   16,   13,   18,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3,  96, 169N,  758W,  98,  960, XX,  34, NEQ,  115,   95,   70,  101,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3,  96, 169N,  758W,  98,  960, XX,  50, NEQ,   46,   35,   26,   39,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3,  96, 169N,  758W,  98,  960, XX,  64, NEQ,   24,   18,   14,   19,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 102, 169N,  762W, 100,  958, XX,  34, NEQ,  108,   87,   65,   95,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 102, 169N,  762W, 100,  958, XX,  50, NEQ,   45,   35,   26,   39,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 102, 169N,  762W, 100,  958, XX,  64, NEQ,   23,   17,   14,   18,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 108, 169N,  766W, 103,  955, XX,  34, NEQ,  113,   91,   68,  100,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 108, 169N,  766W, 103,  955, XX,  50, NEQ,   47,   37,   28,   40,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 108, 169N,  766W, 103,  955, XX,  64, NEQ,   23,   18,   14,   19,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 114, 170N,  769W, 104,  954, XX,  34, NEQ,  116,   96,   68,   98,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 114, 170N,  769W, 104,  954, XX,  50, NEQ,   46,   36,   27,   38,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 114, 170N,  769W, 104,  954, XX,  64, NEQ,   23,   18,   14,   19,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 120, 172N,  772W,  99,  956, XX,  34, NEQ,  119,  102,   74,  101,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 120, 172N,  772W,  99,  956, XX,  50, NEQ,   48,   37,   27,   38,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 120, 172N,  772W,  99,  956, XX,  64, NEQ,   23,   19,   15,   19,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 126, 174N,  774W, 101,  954, XX,  34, NEQ,  118,  103,   71,   96,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 126, 174N,  774W, 101,  954, XX,  50, NEQ,   49,   41,   30,   41,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 126, 174N,  774W, 101,  954, XX,  64, NEQ,   26,   22,   17,   22,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 132, 178N,  776W, 100,  955, XX,  34, NEQ,  115,  101,   69,   90,     ,     ,  24,
AL, 13, 2025102300, 03, FNV3, 132, 178N,  776W, 100,  955, XX,  50, NEQ,   50,   41,   29,   37,     ,     ,  24,
AL, 13, 2025102300, 03, FNV3, 132, 178N,  776W, 100,  955, XX,  64, NEQ,   23,   19,   15,   19,     ,     ,  24,
AL, 13, 2025102300, 03, FNV3, 138, 182N,  775W,  99,  958, XX,  34, NEQ,  114,  106,   71,   93,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 138, 182N,  775W,  99,  958, XX,  50, NEQ,   48,   41,   29,   38,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 138, 182N,  775W,  99,  958, XX,  64, NEQ,   24,   21,   16,   20,     ,     ,  20,
AL, 13, 2025102300, 03, FNV3, 144, 187N,  772W,  98,  958, XX,  34, NEQ,  129,  124,   87,  104,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3, 144, 187N,  772W,  98,  958, XX,  50, NEQ,   48,   42,   30,   38,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3, 144, 187N,  772W,  98,  958, XX,  64, NEQ,   26,   20,   16,   19,     ,     ,  27,
AL, 13, 2025102300, 03, FNV3, 150, 191N,  771W,  97,  958, XX,  34, NEQ,  124,  122,   83,   99,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 150, 191N,  771W,  97,  958, XX,  50, NEQ,   54,   48,   36,   43,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 150, 191N,  771W,  97,  958, XX,  64, NEQ,   28,   24,   19,   23,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 156, 195N,  770W,  97,  959, XX,  34, NEQ,  120,  121,   83,   96,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 156, 195N,  770W,  97,  959, XX,  50, NEQ,   56,   53,   40,   46,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 156, 195N,  770W,  97,  959, XX,  64, NEQ,   30,   27,   21,   25,     ,     ,  23,
AL, 13, 2025102300, 03, FNV3, 162, 201N,  765W,  97,  960, XX,  34, NEQ,  124,  126,   88,   99,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 162, 201N,  765W,  97,  960, XX,  50, NEQ,   60,   56,   43,   49,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 162, 201N,  765W,  97,  960, XX,  64, NEQ,   33,   30,   24,   28,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 168, 209N,  759W,  95,  961, XX,  34, NEQ,  132,  137,   99,  106,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 168, 209N,  759W,  95,  961, XX,  50, NEQ,   59,   56,   43,   47,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 168, 209N,  759W,  95,  961, XX,  64, NEQ,   30,   28,   23,   26,     ,     ,  21,
AL, 13, 2025102300, 03, FNV3, 174, 218N,  752W,  99,  957, XX,  34, NEQ,  139,  144,  104,  111,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 174, 218N,  752W,  99,  957, XX,  50, NEQ,   66,   64,   50,   54,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 174, 218N,  752W,  99,  957, XX,  64, NEQ,   36,   33,   27,   30,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 180, 228N,  743W,  97,  958, XX,  34, NEQ,  143,  147,  104,  111,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 180, 228N,  743W,  97,  958, XX,  50, NEQ,   72,   71,   55,   59,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 180, 228N,  743W,  97,  958, XX,  64, NEQ,   37,   35,   28,   31,     ,     ,  19,
AL, 13, 2025102300, 03, FNV3, 186, 240N,  733W,  97,  957, XX,  34, NEQ,  145,  155,  112,  113,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 186, 240N,  733W,  97,  957, XX,  50, NEQ,   70,   71,   56,   57,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 186, 240N,  733W,  97,  957, XX,  64, NEQ,   34,   33,   26,   28,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 192, 254N,  722W,  94,  958, XX,  34, NEQ,  159,  168,  125,  126,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 192, 254N,  722W,  94,  958, XX,  50, NEQ,   78,   80,   64,   64,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 192, 254N,  722W,  94,  958, XX,  64, NEQ,   39,   38,   32,   34,     ,     ,  25,
AL, 13, 2025102300, 03, FNV3, 198, 270N,  711W,  91,  960, XX,  34, NEQ,  163,  175,  129,  131,     ,     ,  30,
AL, 13, 2025102300, 03, FNV3, 198, 270N,  711W,  91,  960, XX,  50, NEQ,   78,   81,   63,   64,     ,     ,  30,
AL, 13, 2025102300, 03, FNV3, 198, 270N,  711W,  91,  960, XX,  64, NEQ,   37,   37,   30,   32,     ,     ,  30,
AL, 13, 2025102300, 03, FNV3, 204, 287N,  700W,  88,  960, XX,  34, NEQ,  178,  187,  142,  144,     ,     ,  32,
AL, 13, 2025102300, 03, FNV3, 204, 287N,  700W,  88,  960, XX,  50, NEQ,   84,   86,   69,   70,     ,     ,  32,
AL, 13, 2025102300, 03, FNV3, 204, 287N,  700W,  88,  960, XX,  64, NEQ,   34,   40,   28,   29,     ,     ,  32,
AL, 13, 2025102300, 03, FNV3, 210, 304N,  689W,  84,  963, XX,  34, NEQ,  171,  178,  134,  134,     ,     ,  36,
AL, 13, 2025102300, 03, FNV3, 210, 304N,  689W,  84,  963, XX,  50, NEQ,   81,   83,   64,   65,     ,     ,  36,
AL, 13, 2025102300, 03, FNV3, 210, 304N,  689W,  84,  963, XX,  64, NEQ,   35,   38,   27,   29,     ,     ,  36,
AL, 13, 2025102300, 03, FNV3, 216, 322N,  675W,  80,  964, XX,  34, NEQ,  195,  206,  158,  161,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3, 216, 322N,  675W,  80,  964, XX,  50, NEQ,   96,   95,   74,   75,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3, 216, 322N,  675W,  80,  964, XX,  64, NEQ,   35,   37,   28,   29,     ,     ,  48,
AL, 13, 2025102300, 03, FNV3, 222, 328N,  665W,  76,  966, XX,  34, NEQ,  170,  177,  132,  135,     ,     ,  44,
AL, 13, 2025102300, 03, FNV3, 222, 328N,  665W,  76,  966, XX,  50, NEQ,   75,   81,   61,   63,     ,     ,  44,
AL, 13, 2025102300, 03, FNV3, 222, 328N,  665W,  76,  966, XX,  64, NEQ,   30,   34,   24,   26,     ,     ,  44,
AL, 13, 2025102300, 03, FNV3, 228, 344N,  651W,  72,  969, XX,  34, NEQ,  177,  183,  145,  144,     ,     ,  49,
AL, 13, 2025102300, 03, FNV3, 228, 344N,  651W,  72,  969, XX,  50, NEQ,   81,   86,   70,   67,     ,     ,  49,
AL, 13, 2025102300, 03, FNV3, 228, 344N,  651W,  72,  969, XX,  64, NEQ,   27,   27,   23,   22,     ,     ,  49,
AL, 13, 2025102300, 03, FNV3, 234, 349N,  640W,  75,  966, XX,  34, NEQ,  186,  194,  149,  150,     ,     ,  43,
AL, 13, 2025102300, 03, FNV3, 234, 349N,  640W,  75,  966, XX,  50, NEQ,   83,   85,   69,   67,     ,     ,  43,
AL, 13, 2025102300, 03, FNV3, 234, 349N,  640W,  75,  966, XX,  64, NEQ,   30,   35,   24,   25,     ,     ,  43,
AL, 13, 2025102300, 03, FNV3, 240, 354N,  626W,  73,  968, XX,  34, NEQ,  221,  227,  184,  186,     ,     ,  51,
AL, 13, 2025102300, 03, FNV3, 240, 354N,  626W,  73,  968, XX,  50, NEQ,   95,   97,   81,   78,     ,     ,  51,
AL, 13, 2025102300, 03, FNV3, 240, 354N,  626W,  73,  968, XX,  64, NEQ,   36,   38,   29,   29,     ,     ,  51,
AL, 13, 2025102300, 03, FNV3, 246, 368N,  608W,  69,  971, XX,  34, NEQ,  193,  198,  155,  159,     ,     ,  57,
AL, 13, 2025102300, 03, FNV3, 246, 368N,  608W,  69,  971, XX,  50, NEQ,   83,   89,   70,   70,     ,     ,  57,
AL, 13, 2025102300, 03, FNV3, 246, 368N,  608W,  69,  971, XX,  64, NEQ,   28,   33,   24,   24,     ,     ,  57,
AL, 13, 2025102300, 03, FNV3, 252, 380N,  589W,  65,  973, XX,  34, NEQ,  201,  215,  170,  174,     ,     ,  60,
AL, 13, 2025102300, 03, FNV3, 252, 380N,  589W,  65,  973, XX,  50, NEQ,   93,  101,   77,   77,     ,     ,  60,
AL, 13, 2025102300, 03, FNV3, 252, 380N,  589W,  65,  973, XX,  64, NEQ,   35,   35,   25,   26,     ,     ,  60,
AL, 13, 2025102300, 03, FNV3, 258, 393N,  567W,  64,  975, XX,  34, NEQ,  207,  220,  183,  177,     ,     ,  59,
AL, 13, 2025102300, 03, FNV3, 258, 393N,  567W,  64,  975, XX,  50, NEQ,   92,   98,   76,   76,     ,     ,  59,
AL, 13, 2025102300, 03, FNV3, 258, 393N,  567W,  64,  975, XX,  64, NEQ,   22,   27,   17,   17,     ,     ,  59,
AL, 13, 2025102300, 03, FNV3, 264, 397N,  547W,  62,  976, XX,  34, NEQ,  204,  214,  174,  168,     ,     ,  63,
AL, 13, 2025102300, 03, FNV3, 264, 397N,  547W,  62,  976, XX,  50, NEQ,   74,   86,   62,   59,     ,     ,  63,
AL, 13, 2025102300, 03, FNV3, 264, 397N,  547W,  62,  976, XX,  64, NEQ,   10,   25,    9,    8,     ,     ,  63,
AL, 13, 2025102300, 03, FNV3, 270, 411N,  526W,  59,  976, XX,  34, NEQ,  225,  240,  196,  188,     ,     ,  76,
AL, 13, 2025102300, 03, FNV3, 270, 411N,  526W,  59,  976, XX,  50, NEQ,   82,   83,   57,   56,     ,     ,  76,
AL, 13, 2025102300, 03, FNV3, 270, 411N,  526W,  59,  976, XX,  64, NEQ,    9,   19,    6,    5,     ,     ,  76,
AL, 13, 2025102300, 03, FNV3, 276, 422N,  505W,  55,  979, XX,  34, NEQ,  200,  196,  159,  156,     ,     ,  70,
AL, 13, 2025102300, 03, FNV3, 276, 422N,  505W,  55,  979, XX,  50, NEQ,   59,   70,   46,   45,     ,     ,  70,
AL, 13, 2025102300, 03, FNV3, 276, 422N,  505W,  55,  979, XX,  64, NEQ,    7,    6,    5,    5,     ,     ,  70,
AL, 13, 2025102300, 03, FNV3, 282, 431N,  467W,  53,  980, XX,  34, NEQ,  197,  219,  171,  168,     ,     ,  71,
AL, 13, 2025102300, 03, FNV3, 282, 431N,  467W,  53,  980, XX,  50, NEQ,   46,   53,   39,   37,     ,     ,  71,
AL, 13, 2025102300, 03, FNV3, 282, 431N,  467W,  53,  980, XX,  64, NEQ,    5,   10,    5,    4,     ,     ,  71,
AL, 13, 2025102300, 03, FNV3, 288, 422N,  463W,  50,  984, XX,  34, NEQ,  177,  185,  149,  145,     ,     ,  73,
AL, 13, 2025102300, 03, FNV3, 288, 422N,  463W,  50,  984, XX,  50, NEQ,   31,   43,   29,   27,     ,     ,  73,
AL, 13, 2025102300, 03, FNV3, 288, 422N,  463W,  50,  984, XX,  64, NEQ,    9,   11,    8,    8,     ,     ,  73,
IO, 04, 2025102300, 03, FNV3,   0, 102S,  605E,  54,  991, XX,  34, NEQ,  110,  160,  110,  140,     ,     ,  30,
IO, 04, 2025102300, 03, FNV3,   6, 102S,  595E,  42,  996, XX,  34, NEQ,   69,   68,   60,   60,     ,     ,  42,
IO, 04, 2025102300, 03, FNV3,   6, 102S,  595E,  42,  996, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  42,
IO, 04, 2025102300, 03, FNV3,  12, 102S,  588E,  39,  998, XX,  34, NEQ,   56,   57,   50,   45,     ,     ,  48,
IO, 04, 2025102300, 03, FNV3,  18,  99S,  578E,  35, 1000, XX,  34, NEQ,   41,   39,   33,   35,     ,     ,  46,
IO, 04, 2025102300, 03, FNV3,  24,  94S,  567E,  37,  999, XX,  34, NEQ,   40,   41,   35,   37,     ,     ,  47,
IO, 04, 2025102300, 03, FNV3,  30,  90S,  556E,  36,  999, XX,  34, NEQ,   27,   26,   25,   29,     ,     ,  40,
IO, 04, 2025102300, 03, FNV3,  30,  90S,  556E,  36,  999, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  40,
IO, 04, 2025102300, 03, FNV3,  36,  88S,  547E,  36,  999, XX,  34, NEQ,   25,   30,   26,   22,     ,     ,  46,
IO, 04, 2025102300, 03, FNV3,  36,  88S,  547E,  36,  999, XX,  50, NEQ,    0,    0,    1,    1,     ,     ,  46,
IO, 04, 2025102300, 03, FNV3,  42,  85S,  539E,  36,  999, XX,  34, NEQ,   28,   31,   29,   31,     ,     ,  48,
IO, 04, 2025102300, 03, FNV3,  42,  85S,  539E,  36,  999, XX,  50, NEQ,    3,    0,    1,    0,     ,     ,  48,
IO, 04, 2025102300, 03, FNV3,  48,  81S,  531E,  35, 1000, XX,  34, NEQ,   21,   27,   19,   19,     ,     ,  48,
IO, 04, 2025102300, 03, FNV3,  54,  81S,  520E,  35, 1001, XX,  34, NEQ,   28,   27,   24,   23,     ,     ,  45,
IO, 04, 2025102300, 03, FNV3,  54,  81S,  520E,  35, 1001, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  45,
IO, 04, 2025102300, 03, FNV3,  60,  79S,  511E,  34, 1002, XX,  34, NEQ,   29,   31,   24,   22,     ,     ,  45,
IO, 04, 2025102300, 03, FNV3,  60,  79S,  511E,  34, 1002, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  45,
IO, 04, 2025102300, 03, FNV3,  66,  79S,  501E,  32, 1002, XX,  34, NEQ,   15,   17,   15,   18,     ,     ,  44,
IO, 04, 2025102300, 03, FNV3,  72,  77S,  489E,  34, 1002, XX,  34, NEQ,   23,   23,   17,   24,     ,     ,  50,
WP, 30, 2025102300, 03, FNV3,   0, 160N, 1086E,  25, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  40,
WP, 30, 2025102300, 03, FNV3,   6, 160N, 1085E,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
WP, 30, 2025102300, 03, FNV3,  12, 162N, 1081E,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  31,
