# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092400, 03, FNV3,   0, 298N,  396W,  35, 1010, XX,  34, NEQ,   60,     ,     ,   50,     ,     ,  50,
EP, 15, 2026092400, 03, FNV3, 144, 229N, 1655W,  61,  986, XX,  50, NEQ,   26,   19,   13,   18,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 144, 229N, 1655W,  61,  986, XX,  64, NEQ,    5,    4,    3,    3,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 150, 233N, 1655W,  56,  989, XX,  34, NEQ,   95,   86,   66,   76,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 150, 233N, 1655W,  56,  989, XX,  50, NEQ,   23,   17,   11,   14,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 150, 233N, 1655W,  56,  989, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 156, 236N, 1657W,  52,  991, XX,  34, NEQ,   93,   77,   58,   72,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 156, 236N, 1657W,  52,  991, XX,  50, NEQ,   17,   13,    8,   10,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 156, 236N, 1657W,  52,  991, XX,  64, NEQ,    4,    2,    1,    2,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 162, 240N, 1660W,  51,  991, XX,  34, NEQ,   98,   83,   64,   79,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 162, 240N, 1660W,  51,  991, XX,  50, NEQ,   17,    9,    6,   10,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 162, 240N, 1660W,  51,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 168, 244N, 1665W,  50,  992, XX,  34, NEQ,   94,   76,   59,   72,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 168, 244N, 1665W,  50,  992, XX,  50, NEQ,   16,    9,    5,   10,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 168, 244N, 1665W,  50,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 174, 244N, 1672W,  50,  991, XX,  34, NEQ,   90,   74,   60,   72,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 174, 244N, 1672W,  50,  991, XX,  50, NEQ,   15,   11,    7,   10,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 174, 244N, 1672W,  50,  991, XX,  64, NEQ,    2,    0,    0,    0,     ,     ,  41,
EP, 15, 2026092400, 03, FNV3, 180, 247N, 1682W,  51,  991, XX,  34, NEQ,  103,   84,   68,   85,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 180, 247N, 1682W,  51,  991, XX,  50, NEQ,   18,   10,    7,   12,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 180, 247N, 1682W,  51,  991, XX,  64, NEQ,    1,    1,    0,    2,     ,     ,  40,
EP, 15, 2026092400, 03, FNV3, 186, 249N, 1687W,  51,  990, XX,  34, NEQ,   91,   74,   60,   74,     ,     ,  43,
EP, 15, 2026092400, 03, FNV3, 186, 249N, 1687W,  51,  990, XX,  50, NEQ,   11,   10,    5,    9,     ,     ,  43,
EP, 15, 2026092400, 03, FNV3, 186, 249N, 1687W,  51,  990, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  43,
EP, 15, 2026092400, 03, FNV3, 192, 251N, 1692W,  54,  988, XX,  34, NEQ,   86,   73,   57,   71,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 192, 251N, 1692W,  54,  988, XX,  50, NEQ,   20,   13,    7,   11,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 192, 251N, 1692W,  54,  988, XX,  64, NEQ,    3,    0,    1,    0,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 198, 251N, 1701W,  54,  988, XX,  34, NEQ,   89,   76,   63,   74,     ,     ,  39,
EP, 15, 2026092400, 03, FNV3, 198, 251N, 1701W,  54,  988, XX,  50, NEQ,   18,   12,   10,   11,     ,     ,  39,
EP, 15, 2026092400, 03, FNV3, 198, 251N, 1701W,  54,  988, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  39,
EP, 15, 2026092400, 03, FNV3, 204, 247N, 1710W,  54,  989, XX,  34, NEQ,   77,   63,   51,   66,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 204, 247N, 1710W,  54,  989, XX,  50, NEQ,   19,    9,    7,   10,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 204, 247N, 1710W,  54,  989, XX,  64, NEQ,    3,    1,    1,    2,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 210, 243N, 1719W,  54,  989, XX,  34, NEQ,   87,   75,   62,   77,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 210, 243N, 1719W,  54,  989, XX,  50, NEQ,   19,   12,    8,   13,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 210, 243N, 1719W,  54,  989, XX,  64, NEQ,    4,    2,    2,    4,     ,     ,  36,
EP, 15, 2026092400, 03, FNV3, 216, 244N, 1728W,  57,  987, XX,  34, NEQ,   79,   65,   51,   68,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 216, 244N, 1728W,  57,  987, XX,  50, NEQ,   17,    9,    7,   19,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 216, 244N, 1728W,  57,  987, XX,  64, NEQ,    5,    3,    1,    3,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 222, 243N, 1738W,  57,  987, XX,  34, NEQ,   83,   65,   54,   67,     ,     ,  35,
EP, 15, 2026092400, 03, FNV3, 222, 243N, 1738W,  57,  987, XX,  50, NEQ,   18,   12,    7,   11,     ,     ,  35,
EP, 15, 2026092400, 03, FNV3, 222, 243N, 1738W,  57,  987, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  35,
EP, 15, 2026092400, 03, FNV3, 228, 242N, 1755W,  59,  985, XX,  34, NEQ,   77,   62,   49,   66,     ,     ,  37,
EP, 15, 2026092400, 03, FNV3, 228, 242N, 1755W,  59,  985, XX,  50, NEQ,   18,   11,    8,   13,     ,     ,  37,
EP, 15, 2026092400, 03, FNV3, 228, 242N, 1755W,  59,  985, XX,  64, NEQ,    8,    4,    3,    4,     ,     ,  37,
EP, 15, 2026092400, 03, FNV3, 234, 236N, 1780W,  58,  987, XX,  34, NEQ,   87,   68,   53,   74,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 234, 236N, 1780W,  58,  987, XX,  50, NEQ,   23,   15,   11,   16,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 234, 236N, 1780W,  58,  987, XX,  64, NEQ,    7,    6,    4,    6,     ,     ,  33,
EP, 15, 2026092400, 03, FNV3, 240, 237N, 1795W,  60,  985, XX,  34, NEQ,   78,   59,   44,   62,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 240, 237N, 1795W,  60,  985, XX,  50, NEQ,   22,   16,   12,   18,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 240, 237N, 1795W,  60,  985, XX,  64, NEQ,   10,    7,    5,    7,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 246, 238N, 1790E,  62,  984, XX,  34, NEQ,   84,   69,   51,   71,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 246, 238N, 1790E,  62,  984, XX,  50, NEQ,   26,   20,   14,   21,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 246, 238N, 1790E,  62,  984, XX,  64, NEQ,   10,    9,    7,    9,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 252, 241N, 1772E,  63,  984, XX,  34, NEQ,   85,   65,   48,   69,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 252, 241N, 1772E,  63,  984, XX,  50, NEQ,   27,   18,   13,   21,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 252, 241N, 1772E,  63,  984, XX,  64, NEQ,   12,    9,    7,    9,     ,     ,  31,
EP, 15, 2026092400, 03, FNV3, 258, 241N, 1747E,  65,  980, XX,  34, NEQ,   95,   82,   57,   80,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 258, 241N, 1747E,  65,  980, XX,  50, NEQ,   28,   19,   13,   20,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 258, 241N, 1747E,  65,  980, XX,  64, NEQ,   12,    7,    5,    7,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 264, 248N, 1738E,  73,  977, XX,  34, NEQ,  100,   80,   59,   80,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 264, 248N, 1738E,  73,  977, XX,  50, NEQ,   33,   20,   14,   23,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 264, 248N, 1738E,  73,  977, XX,  64, NEQ,   15,    9,    7,   10,     ,     ,  23,
EP, 15, 2026092400, 03, FNV3, 270, 255N, 1719E,  75,  974, XX,  34, NEQ,  105,   90,   67,   86,     ,     ,  21,
EP, 15, 2026092400, 03, FNV3, 270, 255N, 1719E,  75,  974, XX,  50, NEQ,   35,   26,   18,   27,     ,     ,  21,
EP, 15, 2026092400, 03, FNV3, 270, 255N, 1719E,  75,  974, XX,  64, NEQ,   15,   10,    8,   10,     ,     ,  21,
EP, 15, 2026092400, 03, FNV3, 276, 261N, 1699E,  72,  976, XX,  34, NEQ,  100,   87,   61,   80,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 276, 261N, 1699E,  72,  976, XX,  50, NEQ,   35,   25,   18,   26,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 276, 261N, 1699E,  72,  976, XX,  64, NEQ,   11,    8,    7,   11,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 282, 270N, 1694E,  67,  980, XX,  34, NEQ,   95,   83,   59,   73,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3, 282, 270N, 1694E,  67,  980, XX,  50, NEQ,   35,   24,   16,   22,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3, 282, 270N, 1694E,  67,  980, XX,  64, NEQ,   13,   12,    8,   10,     ,     ,  25,
EP, 15, 2026092400, 03, FNV3, 288, 278N, 1685E,  62,  983, XX,  34, NEQ,   96,   82,   58,   71,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 288, 278N, 1685E,  62,  983, XX,  50, NEQ,   35,   27,   20,   25,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 288, 278N, 1685E,  62,  983, XX,  64, NEQ,   15,   11,    9,   11,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 294, 287N, 1677E,  62,  983, XX,  34, NEQ,  107,  101,   74,   85,     ,     ,  26,
EP, 15, 2026092400, 03, FNV3, 294, 287N, 1677E,  62,  983, XX,  50, NEQ,   35,   33,   23,   27,     ,     ,  26,
EP, 15, 2026092400, 03, FNV3, 294, 287N, 1677E,  62,  983, XX,  64, NEQ,   10,   10,    6,    8,     ,     ,  26,
EP, 15, 2026092400, 03, FNV3, 300, 295N, 1668E,  63,  982, XX,  34, NEQ,  101,   99,   71,   79,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 300, 295N, 1668E,  63,  982, XX,  50, NEQ,   37,   35,   25,   30,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 300, 295N, 1668E,  63,  982, XX,  64, NEQ,   17,   14,   11,   12,     ,     ,  27,
EP, 15, 2026092400, 03, FNV3, 306, 306N, 1672E,  59,  985, XX,  34, NEQ,   80,   80,   59,   63,     ,     ,  29,
EP, 15, 2026092400, 03, FNV3, 306, 306N, 1672E,  59,  985, XX,  50, NEQ,   25,   25,   15,   18,     ,     ,  29,
EP, 15, 2026092400, 03, FNV3, 306, 306N, 1672E,  59,  985, XX,  64, NEQ,    7,    9,    5,    6,     ,     ,  29,
EP, 15, 2026092400, 03, FNV3, 312, 317N, 1675E,  60,  984, XX,  34, NEQ,   99,  100,   76,   78,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 312, 317N, 1675E,  60,  984, XX,  50, NEQ,   32,   34,   21,   23,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 312, 317N, 1675E,  60,  984, XX,  64, NEQ,    7,   10,    4,    5,     ,     ,  30,
EP, 15, 2026092400, 03, FNV3, 318, 330N, 1681E,  59,  982, XX,  34, NEQ,  104,  109,   88,   83,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 318, 330N, 1681E,  59,  982, XX,  50, NEQ,   23,   24,   15,   16,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 318, 330N, 1681E,  59,  982, XX,  64, NEQ,    7,    8,    3,    4,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 324, 344N, 1701E,  59,  983, XX,  34, NEQ,   76,   83,   68,   58,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 324, 344N, 1701E,  59,  983, XX,  50, NEQ,   22,   27,   16,   16,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 324, 344N, 1701E,  59,  983, XX,  64, NEQ,    5,    5,    3,    4,     ,     ,  38,
EP, 15, 2026092400, 03, FNV3, 330, 346N, 1703E,  56,  983, XX,  34, NEQ,   83,   97,   70,   67,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 330, 346N, 1703E,  56,  983, XX,  50, NEQ,   16,   22,   11,   12,     ,     ,  32,
EP, 15, 2026092400, 03, FNV3, 330, 346N, 1703E,  56,  983, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  32,
EP, 16, 2026092400, 03, FNV3,   0, 156N, 1269W,  76,  978, XX,  34, NEQ,  110,  110,  100,  110,     ,     ,  20,
EP, 16, 2026092400, 03, FNV3,   0, 156N, 1269W,  76,  978, XX,  50, NEQ,   60,   50,   40,   50,     ,     ,  20,
EP, 16, 2026092400, 03, FNV3,   0, 156N, 1269W,  76,  978, XX,  64, NEQ,   30,   20,   20,   20,     ,     ,  20,
EP, 16, 2026092400, 03, FNV3,   6, 158N, 1261W,  90,  970, XX,  34, NEQ,  103,  109,   88,   83,     ,     ,  14,
EP, 16, 2026092400, 03, FNV3,   6, 158N, 1261W,  90,  970, XX,  50, NEQ,   37,   39,   31,   29,     ,     ,  14,
EP, 16, 2026092400, 03, FNV3,   6, 158N, 1261W,  90,  970, XX,  64, NEQ,   16,   17,   14,   13,     ,     ,  14,
EP, 16, 2026092400, 03, FNV3,  12, 161N, 1254W,  93,  967, XX,  34, NEQ,  103,  118,   87,   79,     ,     ,  16,
EP, 16, 2026092400, 03, FNV3,  12, 161N, 1254W,  93,  967, XX,  50, NEQ,   45,   47,   37,   36,     ,     ,  16,
EP, 16, 2026092400, 03, FNV3,  12, 161N, 1254W,  93,  967, XX,  64, NEQ,   23,   23,   18,   19,     ,     ,  16,
EP, 16, 2026092400, 03, FNV3,  18, 166N, 1248W,  94,  966, XX,  34, NEQ,  101,  115,   86,   78,     ,     ,  15,
EP, 16, 2026092400, 03, FNV3,  18, 166N, 1248W,  94,  966, XX,  50, NEQ,   43,   45,   35,   33,     ,     ,  15,
EP, 16, 2026092400, 03, FNV3,  18, 166N, 1248W,  94,  966, XX,  64, NEQ,   21,   21,   16,   17,     ,     ,  15,
