# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092206, 03, WNV3,   0, 321N,  334W,  35, 1009, XX,  34, NEQ,   40,     ,     ,   40,     ,     ,  40,
EP, 16, 2026092206, 03, WNV3,  36, 152N, 1278W,  81,  977, XX,  50, NEQ,   47,   49,   36,   37,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  36, 152N, 1278W,  81,  977, XX,  64, NEQ,   24,   21,   17,   17,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  42, 154N, 1272W,  82,  976, XX,  34, NEQ,   96,  111,   80,   79,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  42, 154N, 1272W,  82,  976, XX,  50, NEQ,   47,   49,   37,   36,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  42, 154N, 1272W,  82,  976, XX,  64, NEQ,   22,   21,   17,   16,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  48, 156N, 1267W,  80,  976, XX,  34, NEQ,   98,  107,   78,   83,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  48, 156N, 1267W,  80,  976, XX,  50, NEQ,   47,   48,   37,   37,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  48, 156N, 1267W,  80,  976, XX,  64, NEQ,   21,   18,   15,   15,     ,     ,  23,
EP, 16, 2026092206, 03, WNV3,  54, 159N, 1261W,  82,  975, XX,  34, NEQ,   91,  104,   78,   75,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  54, 159N, 1261W,  82,  975, XX,  50, NEQ,   44,   46,   36,   33,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  54, 159N, 1261W,  82,  975, XX,  64, NEQ,   19,   20,   16,   15,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  60, 162N, 1254W,  82,  975, XX,  34, NEQ,   90,  103,   76,   74,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  60, 162N, 1254W,  82,  975, XX,  50, NEQ,   44,   46,   34,   34,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  60, 162N, 1254W,  82,  975, XX,  64, NEQ,   20,   19,   15,   15,     ,     ,  21,
EP, 16, 2026092206, 03, WNV3,  66, 166N, 1248W,  82,  973, XX,  34, NEQ,   95,  105,   76,   75,     ,     ,  19,
EP, 16, 2026092206, 03, WNV3,  66, 166N, 1248W,  82,  973, XX,  50, NEQ,   43,   43,   32,   31,     ,     ,  19,
EP, 16, 2026092206, 03, WNV3,  66, 166N, 1248W,  82,  973, XX,  64, NEQ,   18,   18,   14,   14,     ,     ,  19,
EP, 16, 2026092206, 03, WNV3,  72, 169N, 1242W,  80,  976, XX,  34, NEQ,   92,   91,   72,   81,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  72, 169N, 1242W,  80,  976, XX,  50, NEQ,   41,   41,   32,   33,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  72, 169N, 1242W,  80,  976, XX,  64, NEQ,   19,   18,   14,   15,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  78, 174N, 1238W,  77,  978, XX,  34, NEQ,   94,   93,   71,   80,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  78, 174N, 1238W,  77,  978, XX,  50, NEQ,   43,   41,   31,   33,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  78, 174N, 1238W,  77,  978, XX,  64, NEQ,   19,   18,   14,   15,     ,     ,  20,
EP, 16, 2026092206, 03, WNV3,  84, 177N, 1235W,  70,  982, XX,  34, NEQ,   86,   82,   67,   77,     ,     ,  24,
EP, 16, 2026092206, 03, WNV3,  84, 177N, 1235W,  70,  982, XX,  50, NEQ,   38,   36,   27,   30,     ,     ,  24,
EP, 16, 2026092206, 03, WNV3,  84, 177N, 1235W,  70,  982, XX,  64, NEQ,   16,   14,   11,   12,     ,     ,  24,
EP, 16, 2026092206, 03, WNV3,  90, 180N, 1234W,  67,  983, XX,  34, NEQ,   94,   87,   71,   82,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  90, 180N, 1234W,  67,  983, XX,  50, NEQ,   37,   35,   26,   31,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  90, 180N, 1234W,  67,  983, XX,  64, NEQ,   14,   12,    9,   10,     ,     ,  22,
EP, 16, 2026092206, 03, WNV3,  96, 183N, 1234W,  61,  988, XX,  34, NEQ,   84,   70,   60,   75,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3,  96, 183N, 1234W,  61,  988, XX,  50, NEQ,   32,   26,   20,   25,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3,  96, 183N, 1234W,  61,  988, XX,  64, NEQ,    9,    8,    6,    7,     ,     ,  25,
EP, 16, 2026092206, 03, WNV3, 102, 185N, 1235W,  58,  990, XX,  34, NEQ,   84,   69,   56,   72,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3, 102, 185N, 1235W,  58,  990, XX,  50, NEQ,   27,   23,   17,   22,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3, 102, 185N, 1235W,  58,  990, XX,  64, NEQ,    7,    6,    4,    5,     ,     ,  27,
EP, 16, 2026092206, 03, WNV3, 108, 189N, 1237W,  52,  994, XX,  34, NEQ,   78,   61,   47,   65,     ,     ,  30,
EP, 16, 2026092206, 03, WNV3, 108, 189N, 1237W,  52,  994, XX,  50, NEQ,   16,   12,    9,   12,     ,     ,  30,
EP, 16, 2026092206, 03, WNV3, 108, 189N, 1237W,  52,  994, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  30,
EP, 16, 2026092206, 03, WNV3, 114, 192N, 1239W,  47,  997, XX,  34, NEQ,   80,   60,   45,   65,     ,     ,  34,
EP, 16, 2026092206, 03, WNV3, 114, 192N, 1239W,  47,  997, XX,  50, NEQ,   10,    7,    4,    7,     ,     ,  34,
EP, 16, 2026092206, 03, WNV3, 120, 196N, 1240W,  42, 1000, XX,  34, NEQ,   54,   41,   28,   38,     ,     ,  38,
EP, 16, 2026092206, 03, WNV3, 120, 196N, 1240W,  42, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  38,
EP, 16, 2026092206, 03, WNV3, 120, 196N, 1240W,  42, 1000, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  38,
EP, 16, 2026092206, 03, WNV3, 126, 199N, 1241W,  37, 1001, XX,  34, NEQ,   37,   26,   16,   24,     ,     ,  41,
EP, 16, 2026092206, 03, WNV3, 126, 199N, 1241W,  37, 1001, XX,  50, NEQ,    3,    2,    1,    1,     ,     ,  41,
EP, 16, 2026092206, 03, WNV3, 132, 202N, 1241W,  35, 1002, XX,  34, NEQ,   26,   23,   15,   19,     ,     ,  43,
EP, 16, 2026092206, 03, WNV3, 138, 203N, 1240W,  33, 1002, XX,  34, NEQ,   18,   11,    8,   11,     ,     ,  48,
EP, 16, 2026092206, 03, WNV3, 144, 203N, 1238W,  30, 1003, XX,  34, NEQ,    7,    6,    5,    5,     ,     ,  43,
EP, 16, 2026092206, 03, WNV3, 150, 204N, 1236W,  29, 1004, XX,  34, NEQ,    6,    4,    4,    3,     ,     ,  45,
EP, 16, 2026092206, 03, WNV3, 156, 202N, 1232W,  27, 1004, XX,  34, NEQ,    2,    3,    2,    2,     ,     ,  48,
EP, 16, 2026092206, 03, WNV3, 162, 200N, 1229W,  25, 1005, XX,  34, NEQ,    1,    2,    0,    0,     ,     ,  49,
EP, 16, 2026092206, 03, WNV3, 168, 196N, 1225W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
EP, 16, 2026092206, 03, WNV3, 174, 193N, 1222W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
EP, 16, 2026092206, 03, WNV3, 180, 192N, 1217W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 16, 2026092206, 03, WNV3, 186, 190N, 1219W,  21, 1006, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  53,
EP, 16, 2026092206, 03, WNV3, 192, 188N, 1219W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  51,
EP, 16, 2026092206, 03, WNV3, 198, 190N, 1217W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 16, 2026092206, 03, WNV3, 204, 188N, 1203W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
EP, 17, 2026092206, 03, WNV3,   0, 147N, 1020W, 121,  945, XX,  34, NEQ,   70,   80,   80,   70,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,   0, 147N, 1020W, 121,  945, XX,  50, NEQ,   40,   50,   50,   40,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,   0, 147N, 1020W, 121,  945, XX,  64, NEQ,   25,   30,   30,   25,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,   6, 146N, 1016W, 121,  944, XX,  34, NEQ,   74,   96,   72,   67,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,   6, 146N, 1016W, 121,  944, XX,  50, NEQ,   37,   45,   40,   33,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,   6, 146N, 1016W, 121,  944, XX,  64, NEQ,   23,   26,   23,   21,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  12, 145N, 1016W, 126,  941, XX,  34, NEQ,   82,   93,   75,   75,     ,     ,  11,
EP, 17, 2026092206, 03, WNV3,  12, 145N, 1016W, 126,  941, XX,  50, NEQ,   38,   42,   38,   34,     ,     ,  11,
EP, 17, 2026092206, 03, WNV3,  12, 145N, 1016W, 126,  941, XX,  64, NEQ,   24,   24,   21,   21,     ,     ,  11,
EP, 17, 2026092206, 03, WNV3,  18, 147N, 1015W, 122,  943, XX,  34, NEQ,   94,  103,   81,   83,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  18, 147N, 1015W, 122,  943, XX,  50, NEQ,   45,   48,   42,   40,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  18, 147N, 1015W, 122,  943, XX,  64, NEQ,   28,   27,   24,   25,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  24, 148N, 1017W, 121,  944, XX,  34, NEQ,   92,  100,   84,   83,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  24, 148N, 1017W, 121,  944, XX,  50, NEQ,   49,   48,   42,   43,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  24, 148N, 1017W, 121,  944, XX,  64, NEQ,   30,   27,   23,   26,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  30, 151N, 1019W, 118,  944, XX,  34, NEQ,  107,  106,   90,   97,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  30, 151N, 1019W, 118,  944, XX,  50, NEQ,   58,   54,   46,   51,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  30, 151N, 1019W, 118,  944, XX,  64, NEQ,   34,   30,   25,   30,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3,  36, 154N, 1023W, 115,  948, XX,  34, NEQ,  103,   99,   81,   91,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  36, 154N, 1023W, 115,  948, XX,  50, NEQ,   56,   50,   41,   50,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  36, 154N, 1023W, 115,  948, XX,  64, NEQ,   34,   29,   24,   29,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  42, 159N, 1028W, 112,  949, XX,  34, NEQ,  103,  104,   86,   92,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3,  42, 159N, 1028W, 112,  949, XX,  50, NEQ,   58,   53,   45,   51,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3,  42, 159N, 1028W, 112,  949, XX,  64, NEQ,   34,   29,   24,   30,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3,  48, 161N, 1035W, 114,  950, XX,  34, NEQ,   92,   94,   81,   87,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  48, 161N, 1035W, 114,  950, XX,  50, NEQ,   52,   48,   43,   49,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  48, 161N, 1035W, 114,  950, XX,  64, NEQ,   34,   29,   25,   31,     ,     ,  15,
EP, 17, 2026092206, 03, WNV3,  54, 163N, 1043W, 122,  944, XX,  34, NEQ,   91,   87,   80,   86,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  54, 163N, 1043W, 122,  944, XX,  50, NEQ,   51,   46,   43,   49,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  54, 163N, 1043W, 122,  944, XX,  64, NEQ,   33,   28,   24,   31,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  60, 164N, 1052W, 124,  942, XX,  34, NEQ,   91,   83,   75,   86,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  60, 164N, 1052W, 124,  942, XX,  50, NEQ,   51,   43,   40,   48,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  60, 164N, 1052W, 124,  942, XX,  64, NEQ,   32,   27,   23,   29,     ,     ,  13,
EP, 17, 2026092206, 03, WNV3,  66, 164N, 1061W, 128,  938, XX,  34, NEQ,   91,   89,   82,   86,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  66, 164N, 1061W, 128,  938, XX,  50, NEQ,   50,   44,   41,   47,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  66, 164N, 1061W, 128,  938, XX,  64, NEQ,   31,   26,   23,   29,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  72, 164N, 1071W, 130,  936, XX,  34, NEQ,   91,   87,   80,   90,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  72, 164N, 1071W, 130,  936, XX,  50, NEQ,   50,   44,   41,   49,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  72, 164N, 1071W, 130,  936, XX,  64, NEQ,   33,   27,   24,   30,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  78, 163N, 1081W, 126,  939, XX,  34, NEQ,   94,   89,   84,   91,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  78, 163N, 1081W, 126,  939, XX,  50, NEQ,   51,   45,   42,   49,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  78, 163N, 1081W, 126,  939, XX,  64, NEQ,   32,   27,   23,   29,     ,     ,  10,
EP, 17, 2026092206, 03, WNV3,  84, 163N, 1091W, 125,  941, XX,  34, NEQ,   96,   88,   81,   93,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  84, 163N, 1091W, 125,  941, XX,  50, NEQ,   50,   42,   39,   48,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  84, 163N, 1091W, 125,  941, XX,  64, NEQ,   32,   26,   22,   29,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  90, 164N, 1100W, 120,  943, XX,  34, NEQ,   97,   92,   86,   95,     ,     ,   8,
EP, 17, 2026092206, 03, WNV3,  90, 164N, 1100W, 120,  943, XX,  50, NEQ,   52,   45,   42,   49,     ,     ,   8,
EP, 17, 2026092206, 03, WNV3,  90, 164N, 1100W, 120,  943, XX,  64, NEQ,   31,   26,   22,   29,     ,     ,   8,
EP, 17, 2026092206, 03, WNV3,  96, 165N, 1109W, 114,  948, XX,  34, NEQ,   98,   93,   86,   97,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  96, 165N, 1109W, 114,  948, XX,  50, NEQ,   51,   44,   40,   48,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3,  96, 165N, 1109W, 114,  948, XX,  64, NEQ,   30,   25,   21,   27,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3, 102, 167N, 1116W, 113,  949, XX,  34, NEQ,  102,  103,   91,   96,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3, 102, 167N, 1116W, 113,  949, XX,  50, NEQ,   53,   48,   42,   48,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3, 102, 167N, 1116W, 113,  949, XX,  64, NEQ,   31,   27,   22,   28,     ,     ,  12,
EP, 17, 2026092206, 03, WNV3, 108, 171N, 1123W, 110,  951, XX,  34, NEQ,  104,  102,   85,   93,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 108, 171N, 1123W, 110,  951, XX,  50, NEQ,   53,   46,   38,   46,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 108, 171N, 1123W, 110,  951, XX,  64, NEQ,   31,   27,   22,   27,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 114, 177N, 1128W, 110,  950, XX,  34, NEQ,  111,  117,   90,   91,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 114, 177N, 1128W, 110,  950, XX,  50, NEQ,   57,   52,   40,   46,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 114, 177N, 1128W, 110,  950, XX,  64, NEQ,   33,   29,   23,   27,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 120, 184N, 1132W, 106,  953, XX,  34, NEQ,  111,  122,   91,   88,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 120, 184N, 1132W, 106,  953, XX,  50, NEQ,   57,   55,   40,   45,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 120, 184N, 1132W, 106,  953, XX,  64, NEQ,   33,   29,   23,   27,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 126, 193N, 1135W, 107,  952, XX,  34, NEQ,  113,  126,   91,   86,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 126, 193N, 1135W, 107,  952, XX,  50, NEQ,   56,   56,   40,   42,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 126, 193N, 1135W, 107,  952, XX,  64, NEQ,   32,   29,   23,   26,     ,     ,  14,
EP, 17, 2026092206, 03, WNV3, 132, 201N, 1137W, 100,  957, XX,  34, NEQ,  114,  122,   88,   89,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 132, 201N, 1137W, 100,  957, XX,  50, NEQ,   57,   55,   39,   44,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 132, 201N, 1137W, 100,  957, XX,  64, NEQ,   33,   29,   23,   27,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 138, 210N, 1138W,  99,  958, XX,  34, NEQ,  120,  129,   90,   91,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 138, 210N, 1138W,  99,  958, XX,  50, NEQ,   58,   57,   41,   44,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 138, 210N, 1138W,  99,  958, XX,  64, NEQ,   33,   30,   23,   26,     ,     ,  16,
EP, 17, 2026092206, 03, WNV3, 144, 218N, 1140W,  97,  960, XX,  34, NEQ,  119,  127,   91,   91,     ,     ,  18,
EP, 17, 2026092206, 03, WNV3, 144, 218N, 1140W,  97,  960, XX,  50, NEQ,   59,   57,   41,   46,     ,     ,  18,
EP, 17, 2026092206, 03, WNV3, 144, 218N, 1140W,  97,  960, XX,  64, NEQ,   33,   29,   23,   26,     ,     ,  18,
EP, 17, 2026092206, 03, WNV3, 150, 225N, 1139W,  88,  964, XX,  34, NEQ,  111,  120,   89,   86,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 150, 225N, 1139W,  88,  964, XX,  50, NEQ,   55,   56,   43,   43,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 150, 225N, 1139W,  88,  964, XX,  64, NEQ,   29,   28,   22,   24,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 156, 229N, 1139W,  84,  969, XX,  34, NEQ,  115,  119,   89,   89,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 156, 229N, 1139W,  84,  969, XX,  50, NEQ,   57,   56,   42,   45,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 156, 229N, 1139W,  84,  969, XX,  64, NEQ,   30,   28,   22,   24,     ,     ,  20,
EP, 17, 2026092206, 03, WNV3, 162, 235N, 1137W,  76,  972, XX,  34, NEQ,  110,  118,   84,   88,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 162, 235N, 1137W,  76,  972, XX,  50, NEQ,   55,   54,   39,   42,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 162, 235N, 1137W,  76,  972, XX,  64, NEQ,   25,   23,   18,   20,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 168, 239N, 1136W,  72,  976, XX,  34, NEQ,  103,  106,   79,   82,     ,     ,  24,
EP, 17, 2026092206, 03, WNV3, 168, 239N, 1136W,  72,  976, XX,  50, NEQ,   47,   48,   35,   37,     ,     ,  24,
EP, 17, 2026092206, 03, WNV3, 168, 239N, 1136W,  72,  976, XX,  64, NEQ,   20,   19,   15,   16,     ,     ,  24,
EP, 17, 2026092206, 03, WNV3, 174, 241N, 1135W,  68,  978, XX,  34, NEQ,   93,   95,   74,   76,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 174, 241N, 1135W,  68,  978, XX,  50, NEQ,   40,   41,   31,   32,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 174, 241N, 1135W,  68,  978, XX,  64, NEQ,   18,   16,   13,   14,     ,     ,  23,
EP, 17, 2026092206, 03, WNV3, 180, 242N, 1134W,  63,  982, XX,  34, NEQ,   87,   88,   69,   71,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 180, 242N, 1134W,  63,  982, XX,  50, NEQ,   36,   35,   26,   29,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 180, 242N, 1134W,  63,  982, XX,  64, NEQ,   13,   13,   10,   10,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 186, 246N, 1134W,  56,  985, XX,  34, NEQ,   84,   82,   61,   68,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 186, 246N, 1134W,  56,  985, XX,  50, NEQ,   29,   29,   21,   23,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 186, 246N, 1134W,  56,  985, XX,  64, NEQ,   11,    9,    8,    8,     ,     ,  28,
EP, 17, 2026092206, 03, WNV3, 192, 244N, 1137W,  54,  988, XX,  34, NEQ,   91,   89,   69,   75,     ,     ,  29,
EP, 17, 2026092206, 03, WNV3, 192, 244N, 1137W,  54,  988, XX,  50, NEQ,   26,   24,   18,   20,     ,     ,  29,
