# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 06, 2026072806, 03, FNV3,   0, 218N, 1497W,  54,  999, XX,  34, NEQ,  120,   80,     ,   90,     ,     ,  35,
EP, 07, 2026072806, 03, FNV3,  36, 189N, 1197W,  76,  977, XX,  64, NEQ,   24,   17,   14,   17,     ,     ,  22,
EP, 07, 2026072806, 03, FNV3,  42, 192N, 1206W,  72,  981, XX,  34, NEQ,  134,  109,   81,  113,     ,     ,  25,
EP, 07, 2026072806, 03, FNV3,  42, 192N, 1206W,  72,  981, XX,  50, NEQ,   56,   44,   32,   45,     ,     ,  25,
EP, 07, 2026072806, 03, FNV3,  42, 192N, 1206W,  72,  981, XX,  64, NEQ,   22,   14,   11,   14,     ,     ,  25,
EP, 07, 2026072806, 03, FNV3,  48, 195N, 1218W,  60,  989, XX,  34, NEQ,  136,  110,   84,  115,     ,     ,  31,
EP, 07, 2026072806, 03, FNV3,  48, 195N, 1218W,  60,  989, XX,  50, NEQ,   48,   35,   25,   36,     ,     ,  31,
EP, 07, 2026072806, 03, FNV3,  48, 195N, 1218W,  60,  989, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  31,
EP, 07, 2026072806, 03, FNV3,  54, 199N, 1230W,  55,  992, XX,  34, NEQ,  118,   95,   73,  100,     ,     ,  30,
EP, 07, 2026072806, 03, FNV3,  54, 199N, 1230W,  55,  992, XX,  50, NEQ,   33,   23,   16,   23,     ,     ,  30,
EP, 07, 2026072806, 03, FNV3,  54, 199N, 1230W,  55,  992, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  30,
EP, 07, 2026072806, 03, FNV3,  60, 202N, 1242W,  50,  996, XX,  34, NEQ,  110,   91,   72,   93,     ,     ,  40,
EP, 07, 2026072806, 03, FNV3,  60, 202N, 1242W,  50,  996, XX,  50, NEQ,   16,   10,    7,   11,     ,     ,  40,
EP, 07, 2026072806, 03, FNV3,  66, 206N, 1254W,  48,  998, XX,  34, NEQ,  100,   82,   65,   86,     ,     ,  38,
EP, 07, 2026072806, 03, FNV3,  66, 206N, 1254W,  48,  998, XX,  50, NEQ,   13,    9,    7,   10,     ,     ,  38,
EP, 07, 2026072806, 03, FNV3,  72, 208N, 1267W,  45, 1000, XX,  34, NEQ,   82,   61,   49,   65,     ,     ,  37,
EP, 07, 2026072806, 03, FNV3,  72, 208N, 1267W,  45, 1000, XX,  50, NEQ,    6,    3,    2,    3,     ,     ,  37,
EP, 07, 2026072806, 03, FNV3,  78, 211N, 1278W,  41, 1002, XX,  34, NEQ,   66,   47,   36,   53,     ,     ,  40,
EP, 07, 2026072806, 03, FNV3,  78, 211N, 1278W,  41, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  40,
EP, 07, 2026072806, 03, FNV3,  84, 214N, 1291W,  37, 1004, XX,  34, NEQ,   54,   35,   26,   39,     ,     ,  45,
EP, 07, 2026072806, 03, FNV3,  84, 214N, 1291W,  37, 1004, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  45,
EP, 07, 2026072806, 03, FNV3,  90, 217N, 1303W,  37, 1004, XX,  34, NEQ,   42,   27,   19,   31,     ,     ,  41,
EP, 07, 2026072806, 03, FNV3,  96, 220N, 1316W,  37, 1005, XX,  34, NEQ,   43,   27,   19,   28,     ,     ,  45,
EP, 07, 2026072806, 03, FNV3,  96, 220N, 1316W,  37, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  45,
EP, 07, 2026072806, 03, FNV3, 102, 224N, 1330W,  35, 1005, XX,  34, NEQ,   39,   25,   18,   27,     ,     ,  44,
EP, 07, 2026072806, 03, FNV3, 108, 228N, 1345W,  34, 1006, XX,  34, NEQ,   20,    9,    5,   11,     ,     ,  44,
EP, 07, 2026072806, 03, FNV3, 114, 231N, 1359W,  34, 1005, XX,  34, NEQ,   26,   14,    9,   16,     ,     ,  50,
EP, 07, 2026072806, 03, FNV3, 120, 236N, 1374W,  32, 1006, XX,  34, NEQ,   19,    8,    6,   10,     ,     ,  49,
EP, 07, 2026072806, 03, FNV3, 126, 241N, 1387W,  32, 1005, XX,  34, NEQ,   15,    6,    5,    6,     ,     ,  47,
EP, 07, 2026072806, 03, FNV3, 132, 247N, 1400W,  31, 1006, XX,  34, NEQ,    7,    2,    4,    4,     ,     ,  56,
EP, 07, 2026072806, 03, FNV3, 138, 253N, 1411W,  31, 1006, XX,  34, NEQ,    8,    0,    0,    0,     ,     ,  58,
EP, 07, 2026072806, 03, FNV3, 144, 258N, 1422W,  30, 1007, XX,  34, NEQ,   10,   11,    7,   10,     ,     ,  59,
EP, 07, 2026072806, 03, FNV3, 150, 266N, 1431W,  31, 1004, XX,  34, NEQ,   11,    1,    2,    1,     ,     ,  49,
EP, 07, 2026072806, 03, FNV3, 156, 269N, 1438W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  58,
EP, 07, 2026072806, 03, FNV3, 162, 276N, 1440W,  29, 1005, XX,  34, NEQ,    0,    1,    5,    0,     ,     ,  61,
WP, 12, 2026072806, 03, FNV3,   0, 133N, 1717E,  74,  980, XX,  34, NEQ,   70,   45,   50,   70,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,   6, 135N, 1707E,  83,  972, XX,  34, NEQ,   83,   66,   54,   72,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,   6, 135N, 1707E,  83,  972, XX,  50, NEQ,   32,   25,   19,   27,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,   6, 135N, 1707E,  83,  972, XX,  64, NEQ,   15,   11,    9,   11,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,  12, 138N, 1700E,  97,  959, XX,  34, NEQ,  102,   83,   70,   91,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  12, 138N, 1700E,  97,  959, XX,  50, NEQ,   49,   39,   31,   42,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  12, 138N, 1700E,  97,  959, XX,  64, NEQ,   24,   21,   16,   21,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  18, 142N, 1691E, 110,  949, XX,  34, NEQ,   97,   80,   73,   90,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  18, 142N, 1691E, 110,  949, XX,  50, NEQ,   46,   38,   32,   41,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  18, 142N, 1691E, 110,  949, XX,  64, NEQ,   25,   21,   18,   22,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  24, 147N, 1683E, 112,  946, XX,  34, NEQ,  111,   93,   82,  100,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,  24, 147N, 1683E, 112,  946, XX,  50, NEQ,   52,   43,   35,   45,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,  24, 147N, 1683E, 112,  946, XX,  64, NEQ,   28,   23,   19,   24,     ,     ,   8,
WP, 12, 2026072806, 03, FNV3,  30, 152N, 1675E, 112,  945, XX,  34, NEQ,  114,   94,   81,  104,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  30, 152N, 1675E, 112,  945, XX,  50, NEQ,   58,   48,   39,   50,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  30, 152N, 1675E, 112,  945, XX,  64, NEQ,   32,   27,   22,   27,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  36, 156N, 1667E, 123,  937, XX,  34, NEQ,  125,  105,   86,  111,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  36, 156N, 1667E, 123,  937, XX,  50, NEQ,   63,   53,   42,   55,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  36, 156N, 1667E, 123,  937, XX,  64, NEQ,   35,   30,   25,   31,     ,     ,   7,
WP, 12, 2026072806, 03, FNV3,  42, 162N, 1658E, 127,  933, XX,  34, NEQ,  129,  109,   92,  115,     ,     ,   9,
WP, 12, 2026072806, 03, FNV3,  42, 162N, 1658E, 127,  933, XX,  50, NEQ,   63,   53,   43,   55,     ,     ,   9,
WP, 12, 2026072806, 03, FNV3,  42, 162N, 1658E, 127,  933, XX,  64, NEQ,   35,   31,   25,   31,     ,     ,   9,
WP, 12, 2026072806, 03, FNV3,  48, 168N, 1649E, 126,  932, XX,  34, NEQ,  141,  118,   97,  125,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  48, 168N, 1649E, 126,  932, XX,  50, NEQ,   69,   58,   46,   59,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  48, 168N, 1649E, 126,  932, XX,  64, NEQ,   38,   33,   27,   33,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  54, 173N, 1640E, 129,  930, XX,  34, NEQ,  140,  116,   99,  126,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  54, 173N, 1640E, 129,  930, XX,  50, NEQ,   65,   53,   43,   56,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  54, 173N, 1640E, 129,  930, XX,  64, NEQ,   36,   31,   26,   31,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  60, 177N, 1631E, 131,  927, XX,  34, NEQ,  156,  130,  109,  139,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  60, 177N, 1631E, 131,  927, XX,  50, NEQ,   77,   65,   53,   68,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  60, 177N, 1631E, 131,  927, XX,  64, NEQ,   44,   39,   33,   39,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  66, 181N, 1621E, 129,  928, XX,  34, NEQ,  156,  131,  114,  141,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  66, 181N, 1621E, 129,  928, XX,  50, NEQ,   74,   63,   52,   66,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  66, 181N, 1621E, 129,  928, XX,  64, NEQ,   41,   37,   31,   37,     ,     ,  10,
WP, 12, 2026072806, 03, FNV3,  72, 186N, 1613E, 129,  927, XX,  34, NEQ,  169,  144,  120,  147,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  72, 186N, 1613E, 129,  927, XX,  50, NEQ,   81,   70,   57,   70,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  72, 186N, 1613E, 129,  927, XX,  64, NEQ,   45,   40,   33,   40,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  78, 191N, 1604E, 128,  928, XX,  34, NEQ,  171,  145,  124,  151,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  78, 191N, 1604E, 128,  928, XX,  50, NEQ,   85,   74,   61,   74,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  78, 191N, 1604E, 128,  928, XX,  64, NEQ,   47,   42,   35,   41,     ,     ,  11,
WP, 12, 2026072806, 03, FNV3,  84, 196N, 1596E, 128,  925, XX,  34, NEQ,  184,  156,  129,  160,     ,     ,  12,
WP, 12, 2026072806, 03, FNV3,  84, 196N, 1596E, 128,  925, XX,  50, NEQ,   93,   81,   66,   81,     ,     ,  12,
WP, 12, 2026072806, 03, FNV3,  84, 196N, 1596E, 128,  925, XX,  64, NEQ,   51,   46,   38,   45,     ,     ,  12,
WP, 12, 2026072806, 03, FNV3,  90, 203N, 1586E, 126,  927, XX,  34, NEQ,  178,  154,  128,  154,     ,     ,  13,
WP, 12, 2026072806, 03, FNV3,  90, 203N, 1586E, 126,  927, XX,  50, NEQ,   82,   72,   58,   71,     ,     ,  13,
WP, 12, 2026072806, 03, FNV3,  90, 203N, 1586E, 126,  927, XX,  64, NEQ,   45,   40,   33,   39,     ,     ,  13,
WP, 12, 2026072806, 03, FNV3,  96, 210N, 1577E, 126,  926, XX,  34, NEQ,  199,  176,  147,  172,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3,  96, 210N, 1577E, 126,  926, XX,  50, NEQ,   94,   85,   69,   81,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3,  96, 210N, 1577E, 126,  926, XX,  64, NEQ,   51,   48,   40,   45,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 102, 217N, 1567E, 122,  930, XX,  34, NEQ,  185,  164,  139,  162,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 102, 217N, 1567E, 122,  930, XX,  50, NEQ,   90,   80,   66,   79,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 102, 217N, 1567E, 122,  930, XX,  64, NEQ,   50,   46,   38,   44,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 108, 224N, 1556E, 118,  931, XX,  34, NEQ,  198,  175,  148,  172,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 108, 224N, 1556E, 118,  931, XX,  50, NEQ,   96,   86,   71,   83,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 108, 224N, 1556E, 118,  931, XX,  64, NEQ,   52,   48,   40,   45,     ,     ,  14,
WP, 12, 2026072806, 03, FNV3, 114, 230N, 1544E, 112,  937, XX,  34, NEQ,  196,  172,  146,  169,     ,     ,  17,
WP, 12, 2026072806, 03, FNV3, 114, 230N, 1544E, 112,  937, XX,  50, NEQ,   99,   89,   74,   86,     ,     ,  17,
WP, 12, 2026072806, 03, FNV3, 114, 230N, 1544E, 112,  937, XX,  64, NEQ,   54,   50,   41,   47,     ,     ,  17,
WP, 12, 2026072806, 03, FNV3, 120, 238N, 1533E, 113,  935, XX,  34, NEQ,  199,  176,  151,  174,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 120, 238N, 1533E, 113,  935, XX,  50, NEQ,   99,   89,   74,   86,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 120, 238N, 1533E, 113,  935, XX,  64, NEQ,   54,   50,   42,   48,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 126, 243N, 1520E, 111,  937, XX,  34, NEQ,  197,  171,  149,  173,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 126, 243N, 1520E, 111,  937, XX,  50, NEQ,  103,   93,   78,   91,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 126, 243N, 1520E, 111,  937, XX,  64, NEQ,   58,   53,   45,   51,     ,     ,  16,
WP, 12, 2026072806, 03, FNV3, 132, 248N, 1508E, 107,  940, XX,  34, NEQ,  201,  177,  153,  176,     ,     ,  21,
WP, 12, 2026072806, 03, FNV3, 132, 248N, 1508E, 107,  940, XX,  50, NEQ,   97,   86,   71,   84,     ,     ,  21,
WP, 12, 2026072806, 03, FNV3, 132, 248N, 1508E, 107,  940, XX,  64, NEQ,   53,   48,   40,   46,     ,     ,  21,
WP, 12, 2026072806, 03, FNV3, 138, 253N, 1497E, 105,  940, XX,  34, NEQ,  194,  172,  149,  170,     ,     ,  22,
WP, 12, 2026072806, 03, FNV3, 138, 253N, 1497E, 105,  940, XX,  50, NEQ,  100,   91,   76,   89,     ,     ,  22,
WP, 12, 2026072806, 03, FNV3, 138, 253N, 1497E, 105,  940, XX,  64, NEQ,   55,   51,   42,   49,     ,     ,  22,
WP, 12, 2026072806, 03, FNV3, 144, 258N, 1487E, 104,  940, XX,  34, NEQ,  203,  180,  157,  179,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 144, 258N, 1487E, 104,  940, XX,  50, NEQ,  106,   97,   82,   93,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 144, 258N, 1487E, 104,  940, XX,  64, NEQ,   57,   54,   45,   51,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 150, 261N, 1476E, 103,  941, XX,  34, NEQ,  197,  174,  156,  178,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 150, 261N, 1476E, 103,  941, XX,  50, NEQ,  103,   96,   82,   93,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 150, 261N, 1476E, 103,  941, XX,  64, NEQ,   58,   54,   46,   51,     ,     ,  20,
WP, 12, 2026072806, 03, FNV3, 156, 265N, 1466E, 100,  943, XX,  34, NEQ,  210,  188,  167,  188,     ,     ,  24,
WP, 12, 2026072806, 03, FNV3, 156, 265N, 1466E, 100,  943, XX,  50, NEQ,  105,   96,   82,   93,     ,     ,  24,
WP, 12, 2026072806, 03, FNV3, 156, 265N, 1466E, 100,  943, XX,  64, NEQ,   56,   52,   43,   48,     ,     ,  24,
WP, 12, 2026072806, 03, FNV3, 162, 268N, 1454E,  96,  946, XX,  34, NEQ,  212,  189,  169,  190,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 162, 268N, 1454E,  96,  946, XX,  50, NEQ,  106,   96,   83,   94,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 162, 268N, 1454E,  96,  946, XX,  64, NEQ,   56,   51,   43,   48,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 168, 271N, 1443E,  95,  945, XX,  34, NEQ,  216,  195,  174,  195,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 168, 271N, 1443E,  95,  945, XX,  50, NEQ,  111,  101,   87,   99,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 168, 271N, 1443E,  95,  945, XX,  64, NEQ,   57,   53,   44,   50,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 174, 273N, 1433E,  92,  948, XX,  34, NEQ,  213,  189,  172,  195,     ,     ,  29,
WP, 12, 2026072806, 03, FNV3, 174, 273N, 1433E,  92,  948, XX,  50, NEQ,  112,  103,   89,  102,     ,     ,  29,
WP, 12, 2026072806, 03, FNV3, 174, 273N, 1433E,  92,  948, XX,  64, NEQ,   57,   53,   44,   50,     ,     ,  29,
WP, 12, 2026072806, 03, FNV3, 180, 277N, 1421E,  87,  951, XX,  34, NEQ,  207,  182,  162,  183,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 180, 277N, 1421E,  87,  951, XX,  50, NEQ,  109,   98,   84,   96,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 180, 277N, 1421E,  87,  951, XX,  64, NEQ,   52,   47,   40,   45,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 186, 280N, 1408E,  84,  953, XX,  34, NEQ,  210,  192,  171,  188,     ,     ,  33,
WP, 12, 2026072806, 03, FNV3, 186, 280N, 1408E,  84,  953, XX,  50, NEQ,  101,   92,   78,   90,     ,     ,  33,
WP, 12, 2026072806, 03, FNV3, 186, 280N, 1408E,  84,  953, XX,  64, NEQ,   51,   44,   37,   43,     ,     ,  33,
WP, 12, 2026072806, 03, FNV3, 192, 279N, 1393E,  87,  949, XX,  34, NEQ,  216,  197,  177,  194,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 192, 279N, 1393E,  87,  949, XX,  50, NEQ,  107,   97,   83,   93,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 192, 279N, 1393E,  87,  949, XX,  64, NEQ,   54,   49,   41,   46,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 198, 282N, 1381E,  85,  952, XX,  34, NEQ,  210,  187,  168,  189,     ,     ,  32,
WP, 12, 2026072806, 03, FNV3, 198, 282N, 1381E,  85,  952, XX,  50, NEQ,  104,   94,   81,   91,     ,     ,  32,
WP, 12, 2026072806, 03, FNV3, 198, 282N, 1381E,  85,  952, XX,  64, NEQ,   51,   47,   39,   44,     ,     ,  32,
WP, 12, 2026072806, 03, FNV3, 204, 286N, 1369E,  83,  953, XX,  34, NEQ,  199,  179,  160,  179,     ,     ,  26,
WP, 12, 2026072806, 03, FNV3, 204, 286N, 1369E,  83,  953, XX,  50, NEQ,  101,   91,   78,   88,     ,     ,  26,
WP, 12, 2026072806, 03, FNV3, 204, 286N, 1369E,  83,  953, XX,  64, NEQ,   48,   43,   36,   40,     ,     ,  26,
WP, 12, 2026072806, 03, FNV3, 210, 290N, 1358E,  82,  953, XX,  34, NEQ,  202,  184,  165,  181,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 210, 290N, 1358E,  82,  953, XX,  50, NEQ,   99,   91,   78,   87,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 210, 290N, 1358E,  82,  953, XX,  64, NEQ,   50,   44,   37,   42,     ,     ,  30,
WP, 12, 2026072806, 03, FNV3, 216, 294N, 1346E,  82,  953, XX,  34, NEQ,  194,  177,  159,  174,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 216, 294N, 1346E,  82,  953, XX,  50, NEQ,   95,   88,   75,   84,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 216, 294N, 1346E,  82,  953, XX,  64, NEQ,   49,   44,   38,   41,     ,     ,  28,
WP, 12, 2026072806, 03, FNV3, 222, 298N, 1335E,  78,  957, XX,  34, NEQ,  190,  172,  155,  172,     ,     ,  31,
WP, 12, 2026072806, 03, FNV3, 222, 298N, 1335E,  78,  957, XX,  50, NEQ,   98,   90,   78,   87,     ,     ,  31,
WP, 12, 2026072806, 03, FNV3, 222, 298N, 1335E,  78,  957, XX,  64, NEQ,   48,   43,   36,   41,     ,     ,  31,
WP, 12, 2026072806, 03, FNV3, 228, 303N, 1325E,  74,  958, XX,  34, NEQ,  176,  161,  144,  157,     ,     ,  36,
WP, 12, 2026072806, 03, FNV3, 228, 303N, 1325E,  74,  958, XX,  50, NEQ,   80,   72,   60,   69,     ,     ,  36,
WP, 12, 2026072806, 03, FNV3, 228, 303N, 1325E,  74,  958, XX,  64, NEQ,   41,   32,   26,   30,     ,     ,  36,
WP, 12, 2026072806, 03, FNV3, 234, 308N, 1317E,  71,  960, XX,  34, NEQ,  172,  160,  144,  154,     ,     ,  35,
WP, 12, 2026072806, 03, FNV3, 234, 308N, 1317E,  71,  960, XX,  50, NEQ,   80,   74,   63,   70,     ,     ,  35,
WP, 12, 2026072806, 03, FNV3, 234, 308N, 1317E,  71,  960, XX,  64, NEQ,   37,   31,   24,   28,     ,     ,  35,
WP, 12, 2026072806, 03, FNV3, 240, 312N, 1308E,  71,  961, XX,  34, NEQ,  163,  151,  135,  146,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 240, 312N, 1308E,  71,  961, XX,  50, NEQ,   77,   71,   60,   66,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 240, 312N, 1308E,  71,  961, XX,  64, NEQ,   32,   28,   23,   26,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 246, 316N, 1302E,  67,  964, XX,  34, NEQ,  181,  167,  150,  164,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 246, 316N, 1302E,  67,  964, XX,  50, NEQ,   86,   80,   68,   75,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 246, 316N, 1302E,  67,  964, XX,  64, NEQ,   36,   31,   25,   28,     ,     ,  38,
WP, 12, 2026072806, 03, FNV3, 252, 322N, 1297E,  63,  966, XX,  34, NEQ,  179,  166,  148,  159,     ,     ,  41,
WP, 12, 2026072806, 03, FNV3, 252, 322N, 1297E,  63,  966, XX,  50, NEQ,   74,   67,   58,   64,     ,     ,  41,
