# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 98, 2025103118, 03, FNV3,   0,  88N, 1395E,  19, 1008, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  70,
WP, 98, 2025103118, 03, FNV3, 108, 122N, 1183E,  78,  973, XX,  34, NEQ,   99,   83,   76,   92,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 108, 122N, 1183E,  78,  973, XX,  50, NEQ,   50,   41,   35,   43,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 108, 122N, 1183E,  78,  973, XX,  64, NEQ,   23,   19,   16,   20,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 114, 125N, 1170E,  83,  969, XX,  34, NEQ,  109,   92,   85,  103,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3, 114, 125N, 1170E,  83,  969, XX,  50, NEQ,   50,   43,   36,   44,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3, 114, 125N, 1170E,  83,  969, XX,  64, NEQ,   25,   20,   17,   20,     ,     ,  16,
WP, 98, 2025103118, 03, FNV3, 120, 128N, 1157E,  92,  962, XX,  34, NEQ,  114,   96,   91,  108,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 120, 128N, 1157E,  92,  962, XX,  50, NEQ,   56,   47,   40,   49,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 120, 128N, 1157E,  92,  962, XX,  64, NEQ,   27,   24,   20,   24,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 126, 130N, 1142E,  94,  960, XX,  34, NEQ,  125,  104,   95,  119,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3, 126, 130N, 1142E,  94,  960, XX,  50, NEQ,   64,   55,   46,   57,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3, 126, 130N, 1142E,  94,  960, XX,  64, NEQ,   34,   30,   25,   29,     ,     ,  15,
WP, 98, 2025103118, 03, FNV3, 132, 132N, 1128E,  97,  958, XX,  34, NEQ,  133,  112,  104,  126,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 132, 132N, 1128E,  97,  958, XX,  50, NEQ,   70,   60,   51,   62,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 132, 132N, 1128E,  97,  958, XX,  64, NEQ,   35,   31,   26,   31,     ,     ,  14,
WP, 98, 2025103118, 03, FNV3, 138, 135N, 1115E,  97,  957, XX,  34, NEQ,  140,  118,  111,  135,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3, 138, 135N, 1115E,  97,  957, XX,  50, NEQ,   74,   63,   55,   67,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3, 138, 135N, 1115E,  97,  957, XX,  64, NEQ,   39,   35,   30,   35,     ,     ,  18,
WP, 98, 2025103118, 03, FNV3, 144, 141N, 1102E,  87,  964, XX,  34, NEQ,  124,  105,   98,  117,     ,     ,  20,
WP, 98, 2025103118, 03, FNV3, 144, 141N, 1102E,  87,  964, XX,  50, NEQ,   66,   57,   49,   59,     ,     ,  20,
WP, 98, 2025103118, 03, FNV3, 144, 141N, 1102E,  87,  964, XX,  64, NEQ,   34,   31,   26,   30,     ,     ,  20,
WP, 98, 2025103118, 03, FNV3, 150, 146N, 1088E,  73,  974, XX,  34, NEQ,  107,   90,   81,   99,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3, 150, 146N, 1088E,  73,  974, XX,  50, NEQ,   52,   43,   36,   45,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3, 150, 146N, 1088E,  73,  974, XX,  64, NEQ,   21,   19,   16,   19,     ,     ,  23,
WP, 98, 2025103118, 03, FNV3, 156, 151N, 1074E,  54,  986, XX,  34, NEQ,   85,   74,   66,   75,     ,     ,  30,
WP, 98, 2025103118, 03, FNV3, 156, 151N, 1074E,  54,  986, XX,  50, NEQ,   37,   32,   28,   31,     ,     ,  30,
WP, 98, 2025103118, 03, FNV3, 156, 151N, 1074E,  54,  986, XX,  64, NEQ,   13,   11,   10,   11,     ,     ,  30,
WP, 98, 2025103118, 03, FNV3, 162, 155N, 1062E,  40,  994, XX,  34, NEQ,   56,   51,   44,   49,     ,     ,  36,
WP, 98, 2025103118, 03, FNV3, 162, 155N, 1062E,  40,  994, XX,  50, NEQ,   15,   14,   12,   13,     ,     ,  36,
WP, 98, 2025103118, 03, FNV3, 162, 155N, 1062E,  40,  994, XX,  64, NEQ,    4,    4,    4,    4,     ,     ,  36,
WP, 98, 2025103118, 03, FNV3, 168, 159N, 1052E,  29, 1000, XX,  34, NEQ,   25,   21,   19,   21,     ,     ,  39,
WP, 98, 2025103118, 03, FNV3, 168, 159N, 1052E,  29, 1000, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  39,
WP, 98, 2025103118, 03, FNV3, 174, 163N, 1043E,  25, 1003, XX,  34, NEQ,   15,   12,   11,   12,     ,     ,  41,
WP, 98, 2025103118, 03, FNV3, 174, 163N, 1043E,  25, 1003, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
WP, 98, 2025103118, 03, FNV3, 180, 167N, 1034E,  19, 1004, XX,  34, NEQ,    2,    2,    2,    2,     ,     ,  46,
WP, 98, 2025103118, 03, FNV3, 186, 169N, 1025E,  19, 1004, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  48,
WP, 98, 2025103118, 03, FNV3, 192, 172N, 1017E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
