# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 05, 2025112818, 03, FNV3,   0,  90N,  808E,  35, 1004, XX,  34, NEQ,  115,   90,   85,   95,     ,     ,  60,
WP, 33, 2025112818, 03, FNV3,  24, 141N, 1122E,  67,  983, XX,  64, NEQ,   12,   10,    8,    9,     ,     ,  15,
WP, 33, 2025112818, 03, FNV3,  30, 144N, 1124E,  74,  978, XX,  34, NEQ,   66,   69,   62,   59,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  30, 144N, 1124E,  74,  978, XX,  50, NEQ,   34,   33,   27,   29,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  30, 144N, 1124E,  74,  978, XX,  64, NEQ,   17,   16,   13,   15,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  36, 145N, 1125E,  75,  977, XX,  34, NEQ,   65,   69,   63,   59,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  36, 145N, 1125E,  75,  977, XX,  50, NEQ,   33,   32,   27,   28,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  36, 145N, 1125E,  75,  977, XX,  64, NEQ,   16,   14,   12,   13,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  42, 147N, 1125E,  69,  981, XX,  34, NEQ,   65,   68,   65,   61,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  42, 147N, 1125E,  69,  981, XX,  50, NEQ,   31,   30,   25,   26,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  42, 147N, 1125E,  69,  981, XX,  64, NEQ,   11,   10,    8,    9,     ,     ,  14,
WP, 33, 2025112818, 03, FNV3,  48, 148N, 1126E,  61,  986, XX,  34, NEQ,   70,   67,   62,   64,     ,     ,  18,
WP, 33, 2025112818, 03, FNV3,  48, 148N, 1126E,  61,  986, XX,  50, NEQ,   27,   25,   21,   23,     ,     ,  18,
WP, 33, 2025112818, 03, FNV3,  48, 148N, 1126E,  61,  986, XX,  64, NEQ,    8,    7,    6,    6,     ,     ,  18,
WP, 33, 2025112818, 03, FNV3,  54, 150N, 1125E,  53,  992, XX,  34, NEQ,   67,   62,   55,   61,     ,     ,  19,
WP, 33, 2025112818, 03, FNV3,  54, 150N, 1125E,  53,  992, XX,  50, NEQ,   21,   17,   14,   16,     ,     ,  19,
WP, 33, 2025112818, 03, FNV3,  54, 150N, 1125E,  53,  992, XX,  64, NEQ,    3,    3,    3,    3,     ,     ,  19,
WP, 33, 2025112818, 03, FNV3,  60, 152N, 1124E,  42,  998, XX,  34, NEQ,   49,   45,   38,   43,     ,     ,  31,
WP, 33, 2025112818, 03, FNV3,  60, 152N, 1124E,  42,  998, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  31,
WP, 33, 2025112818, 03, FNV3,  60, 152N, 1124E,  42,  998, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  31,
WP, 33, 2025112818, 03, FNV3,  66, 153N, 1125E,  35, 1001, XX,  34, NEQ,   32,   29,   24,   27,     ,     ,  34,
WP, 33, 2025112818, 03, FNV3,  66, 153N, 1125E,  35, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
WP, 33, 2025112818, 03, FNV3,  72, 155N, 1126E,  29, 1004, XX,  34, NEQ,   11,   10,    7,    8,     ,     ,  40,
WP, 33, 2025112818, 03, FNV3,  78, 156N, 1127E,  26, 1005, XX,  34, NEQ,    2,    2,    2,    2,     ,     ,  36,
WP, 33, 2025112818, 03, FNV3,  84, 156N, 1127E,  25, 1005, XX,  34, NEQ,    2,    1,    1,    1,     ,     ,  41,
WP, 33, 2025112818, 03, FNV3,  90, 155N, 1129E,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 33, 2025112818, 03, FNV3,  96, 153N, 1129E,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
WP, 33, 2025112818, 03, FNV3, 102, 148N, 1126E,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
WP, 33, 2025112818, 03, FNV3, 108, 142N, 1123E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
WP, 33, 2025112818, 03, FNV3, 114, 134N, 1117E,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  33,
WP, 33, 2025112818, 03, FNV3, 120, 126N, 1108E,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 33, 2025112818, 03, FNV3, 126, 120N, 1101E,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  37,
WP, 33, 2025112818, 03, FNV3, 132, 110N, 1096E,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  35,
WP, 34, 2025112818, 03, FNV3,   0,  45N, 1051E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  25,
