# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 98, 2025101918, 03, FNV3,   0, 127N,  614W,  29, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
IO, 04, 2025101918, 03, FNV3,  78, 112S,  599E,  52,  992, XX,  50, NEQ,   23,   26,   23,   19,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3,  78, 112S,  599E,  52,  992, XX,  64, NEQ,    2,    3,    3,    2,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3,  84, 113S,  591E,  51,  992, XX,  34, NEQ,   88,  100,   93,   81,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3,  84, 113S,  591E,  51,  992, XX,  50, NEQ,   19,   23,   20,   16,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3,  84, 113S,  591E,  51,  992, XX,  64, NEQ,    3,    3,    4,    2,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3,  90, 114S,  581E,  51,  992, XX,  34, NEQ,   79,   90,   84,   71,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3,  90, 114S,  581E,  51,  992, XX,  50, NEQ,   22,   27,   22,   19,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3,  90, 114S,  581E,  51,  992, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3,  96, 112S,  570E,  53,  992, XX,  34, NEQ,   77,   86,   81,   73,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3,  96, 112S,  570E,  53,  992, XX,  50, NEQ,   20,   22,   20,   17,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3,  96, 112S,  570E,  53,  992, XX,  64, NEQ,    5,    7,    5,    5,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3, 102, 112S,  558E,  51,  992, XX,  34, NEQ,   83,   96,   88,   76,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3, 102, 112S,  558E,  51,  992, XX,  50, NEQ,   18,   22,   20,   15,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3, 102, 112S,  558E,  51,  992, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  35,
IO, 04, 2025101918, 03, FNV3, 108, 111S,  546E,  50,  994, XX,  34, NEQ,   70,   78,   74,   63,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 108, 111S,  546E,  50,  994, XX,  50, NEQ,   16,   18,   17,   13,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 108, 111S,  546E,  50,  994, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 114, 111S,  536E,  54,  991, XX,  34, NEQ,   68,   79,   76,   64,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3, 114, 111S,  536E,  54,  991, XX,  50, NEQ,   17,   21,   18,   15,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3, 114, 111S,  536E,  54,  991, XX,  64, NEQ,    6,    7,    7,    5,     ,     ,  33,
IO, 04, 2025101918, 03, FNV3, 120, 110S,  524E,  50,  993, XX,  34, NEQ,   74,   79,   75,   69,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 120, 110S,  524E,  50,  993, XX,  50, NEQ,   18,   19,   17,   15,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 120, 110S,  524E,  50,  993, XX,  64, NEQ,    5,    6,    5,    5,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 126, 108S,  513E,  50,  994, XX,  34, NEQ,   64,   73,   67,   59,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 126, 108S,  513E,  50,  994, XX,  50, NEQ,   13,   15,   13,   10,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 126, 108S,  513E,  50,  994, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 132, 109S,  501E,  47,  996, XX,  34, NEQ,   45,   49,   44,   38,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3, 132, 109S,  501E,  47,  996, XX,  50, NEQ,   11,   15,   11,   11,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3, 132, 109S,  501E,  47,  996, XX,  64, NEQ,    3,    4,    3,    4,     ,     ,  31,
IO, 04, 2025101918, 03, FNV3, 138, 111S,  489E,  45,  996, XX,  34, NEQ,   41,   49,   43,   38,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 138, 111S,  489E,  45,  996, XX,  50, NEQ,   10,   11,    9,    9,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 138, 111S,  489E,  45,  996, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  30,
IO, 04, 2025101918, 03, FNV3, 144, 112S,  478E,  44,  997, XX,  34, NEQ,   39,   41,   34,   31,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 144, 112S,  478E,  44,  997, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 144, 112S,  478E,  44,  997, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 150, 113S,  465E,  41, 1000, XX,  34, NEQ,   32,   34,   29,   26,     ,     ,  26,
IO, 04, 2025101918, 03, FNV3, 150, 113S,  465E,  41, 1000, XX,  50, NEQ,    6,    6,    6,    5,     ,     ,  26,
IO, 04, 2025101918, 03, FNV3, 150, 113S,  465E,  41, 1000, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  26,
IO, 04, 2025101918, 03, FNV3, 156, 116S,  451E,  40,  999, XX,  34, NEQ,   27,   30,   27,   23,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 156, 116S,  451E,  40,  999, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 156, 116S,  451E,  40,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  28,
IO, 04, 2025101918, 03, FNV3, 162, 121S,  439E,  38, 1001, XX,  34, NEQ,   19,   24,   18,   15,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 162, 121S,  439E,  38, 1001, XX,  50, NEQ,    3,    3,    3,    2,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 162, 121S,  439E,  38, 1001, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  34,
IO, 04, 2025101918, 03, FNV3, 168, 127S,  427E,  38, 1001, XX,  34, NEQ,   26,   30,   25,   21,     ,     ,  32,
IO, 04, 2025101918, 03, FNV3, 168, 127S,  427E,  38, 1001, XX,  50, NEQ,    5,    5,    3,    3,     ,     ,  32,
IO, 04, 2025101918, 03, FNV3, 168, 127S,  427E,  38, 1001, XX,  64, NEQ,    1,    1,    1,    0,     ,     ,  32,
IO, 04, 2025101918, 03, FNV3, 174, 130S,  417E,  37, 1001, XX,  34, NEQ,   16,   20,   17,   13,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 174, 130S,  417E,  37, 1001, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 174, 130S,  417E,  37, 1001, XX,  64, NEQ,    0,    1,    1,    0,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 180, 140S,  406E,  37, 1002, XX,  34, NEQ,   20,   21,   17,   14,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 180, 140S,  406E,  37, 1002, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  29,
IO, 04, 2025101918, 03, FNV3, 180, 140S,  406E,  37, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
WP, 30, 2025101918, 03, FNV3,   0, 173N, 1175E,  39,  998, XX,  34, NEQ,   80,   85,   40,  125,     ,     ,  35,
WP, 30, 2025101918, 03, FNV3,   6, 175N, 1164E,  32, 1001, XX,  34, NEQ,   22,   10,    7,    9,     ,     ,  55,
WP, 30, 2025101918, 03, FNV3,  12, 179N, 1154E,  34,  999, XX,  34, NEQ,   39,   26,   19,   23,     ,     ,  50,
WP, 30, 2025101918, 03, FNV3,  18, 183N, 1145E,  41,  997, XX,  34, NEQ,   94,   71,   55,   66,     ,     ,  55,
WP, 30, 2025101918, 03, FNV3,  18, 183N, 1145E,  41,  997, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  55,
WP, 30, 2025101918, 03, FNV3,  24, 183N, 1137E,  44,  995, XX,  34, NEQ,  128,  107,   84,  105,     ,     ,  49,
WP, 30, 2025101918, 03, FNV3,  24, 183N, 1137E,  44,  995, XX,  50, NEQ,    3,    1,    0,    1,     ,     ,  49,
WP, 30, 2025101918, 03, FNV3,  30, 182N, 1131E,  49,  991, XX,  34, NEQ,  155,  133,  107,  132,     ,     ,  43,
WP, 30, 2025101918, 03, FNV3,  30, 182N, 1131E,  49,  991, XX,  50, NEQ,   27,   16,   13,   19,     ,     ,  43,
WP, 30, 2025101918, 03, FNV3,  36, 182N, 1126E,  53,  991, XX,  34, NEQ,  154,  129,  106,  135,     ,     ,  31,
WP, 30, 2025101918, 03, FNV3,  36, 182N, 1126E,  53,  991, XX,  50, NEQ,   37,   29,   22,   27,     ,     ,  31,
WP, 30, 2025101918, 03, FNV3,  36, 182N, 1126E,  53,  991, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
WP, 30, 2025101918, 03, FNV3,  42, 181N, 1122E,  58,  986, XX,  34, NEQ,  161,  134,  117,  147,     ,     ,  28,
WP, 30, 2025101918, 03, FNV3,  42, 181N, 1122E,  58,  986, XX,  50, NEQ,   51,   42,   33,   41,     ,     ,  28,
WP, 30, 2025101918, 03, FNV3,  42, 181N, 1122E,  58,  986, XX,  64, NEQ,    5,    3,    2,    3,     ,     ,  28,
WP, 30, 2025101918, 03, FNV3,  48, 178N, 1117E,  58,  987, XX,  34, NEQ,  147,  119,  105,  138,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  48, 178N, 1117E,  58,  987, XX,  50, NEQ,   48,   39,   32,   41,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  48, 178N, 1117E,  58,  987, XX,  64, NEQ,    7,    5,    4,    6,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  54, 176N, 1113E,  54,  990, XX,  34, NEQ,  143,  115,  103,  134,     ,     ,  25,
WP, 30, 2025101918, 03, FNV3,  54, 176N, 1113E,  54,  990, XX,  50, NEQ,   39,   32,   26,   33,     ,     ,  25,
WP, 30, 2025101918, 03, FNV3,  54, 176N, 1113E,  54,  990, XX,  64, NEQ,    4,    3,    3,    3,     ,     ,  25,
WP, 30, 2025101918, 03, FNV3,  60, 173N, 1106E,  49,  994, XX,  34, NEQ,  103,   81,   71,   96,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  60, 173N, 1106E,  49,  994, XX,  50, NEQ,   19,   15,   11,   16,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  60, 173N, 1106E,  49,  994, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  66, 171N, 1100E,  45,  996, XX,  34, NEQ,   85,   67,   60,   79,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  66, 171N, 1100E,  45,  996, XX,  50, NEQ,   13,   10,    8,   11,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  66, 171N, 1100E,  45,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  23,
WP, 30, 2025101918, 03, FNV3,  72, 169N, 1093E,  37, 1000, XX,  34, NEQ,   46,   34,   30,   43,     ,     ,  25,
WP, 30, 2025101918, 03, FNV3,  72, 169N, 1093E,  37, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  25,
WP, 30, 2025101918, 03, FNV3,  78, 166N, 1087E,  32, 1002, XX,  34, NEQ,   19,   15,   13,   18,     ,     ,  27,
WP, 30, 2025101918, 03, FNV3,  84, 165N, 1082E,  30, 1003, XX,  34, NEQ,    7,    4,    4,    7,     ,     ,  29,
WP, 30, 2025101918, 03, FNV3,  84, 165N, 1082E,  30, 1003, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  29,
WP, 30, 2025101918, 03, FNV3,  90, 165N, 1079E,  28, 1005, XX,  34, NEQ,    1,    0,    0,    2,     ,     ,  26,
