# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 03, 2026081212, 03, FNV3,   0, 368N,  439W,  41, 1008, XX,  34, NEQ,     ,   80,     ,     ,     ,     ,  80,
CP, 01, 2026081212, 03, FNV3,  48, 169N, 1486W,  55,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  42,
CP, 01, 2026081212, 03, FNV3,  54, 173N, 1498W,  59,  990, XX,  34, NEQ,  136,  113,   84,  112,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3,  54, 173N, 1498W,  59,  990, XX,  50, NEQ,   32,   17,   11,   17,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3,  54, 173N, 1498W,  59,  990, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3,  60, 178N, 1512W,  66,  984, XX,  34, NEQ,  142,  112,   79,  117,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  60, 178N, 1512W,  66,  984, XX,  50, NEQ,   52,   36,   26,   37,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  60, 178N, 1512W,  66,  984, XX,  64, NEQ,   13,    8,    6,    8,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  66, 182N, 1525W,  68,  983, XX,  34, NEQ,  138,  111,   82,  117,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  66, 182N, 1525W,  68,  983, XX,  50, NEQ,   55,   40,   29,   41,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  66, 182N, 1525W,  68,  983, XX,  64, NEQ,   13,    8,    6,    9,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  72, 185N, 1537W,  74,  979, XX,  34, NEQ,  137,  109,   78,  116,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3,  72, 185N, 1537W,  74,  979, XX,  50, NEQ,   60,   49,   35,   49,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3,  72, 185N, 1537W,  74,  979, XX,  64, NEQ,   20,   16,   12,   16,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3,  78, 190N, 1547W,  75,  979, XX,  34, NEQ,  130,  107,   83,  114,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3,  78, 190N, 1547W,  75,  979, XX,  50, NEQ,   56,   47,   36,   47,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3,  78, 190N, 1547W,  75,  979, XX,  64, NEQ,   19,   11,    9,   11,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3,  84, 196N, 1561W,  73,  978, XX,  34, NEQ,  140,  123,   95,  121,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3,  84, 196N, 1561W,  73,  978, XX,  50, NEQ,   47,   41,   30,   39,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3,  84, 196N, 1561W,  73,  978, XX,  64, NEQ,   18,   11,    7,    9,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3,  90, 202N, 1576W,  62,  988, XX,  34, NEQ,  144,  121,   87,  118,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  90, 202N, 1576W,  62,  988, XX,  50, NEQ,   44,   31,   22,   32,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  90, 202N, 1576W,  62,  988, XX,  64, NEQ,    9,    3,    2,    5,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3,  96, 207N, 1594W,  57,  991, XX,  34, NEQ,  132,  109,   79,  109,     ,     ,  30,
CP, 01, 2026081212, 03, FNV3,  96, 207N, 1594W,  57,  991, XX,  50, NEQ,   32,   21,   13,   23,     ,     ,  30,
CP, 01, 2026081212, 03, FNV3,  96, 207N, 1594W,  57,  991, XX,  64, NEQ,    3,    1,    1,    4,     ,     ,  30,
CP, 01, 2026081212, 03, FNV3, 102, 212N, 1611W,  59,  989, XX,  34, NEQ,  124,  100,   74,  101,     ,     ,  35,
CP, 01, 2026081212, 03, FNV3, 102, 212N, 1611W,  59,  989, XX,  50, NEQ,   31,   19,   12,   22,     ,     ,  35,
CP, 01, 2026081212, 03, FNV3, 102, 212N, 1611W,  59,  989, XX,  64, NEQ,    5,    1,    1,    7,     ,     ,  35,
CP, 01, 2026081212, 03, FNV3, 108, 216N, 1625W,  60,  989, XX,  34, NEQ,  109,   88,   65,   89,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 108, 216N, 1625W,  60,  989, XX,  50, NEQ,   38,   23,   16,   24,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 108, 216N, 1625W,  60,  989, XX,  64, NEQ,    4,    2,    2,    5,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 114, 220N, 1640W,  60,  991, XX,  34, NEQ,  103,   82,   56,   83,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 114, 220N, 1640W,  60,  991, XX,  50, NEQ,   35,   20,   13,   21,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 114, 220N, 1640W,  60,  991, XX,  64, NEQ,    4,    2,    2,    4,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 120, 225N, 1653W,  60,  990, XX,  34, NEQ,  112,   88,   63,   91,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 120, 225N, 1653W,  60,  990, XX,  50, NEQ,   30,   18,   13,   21,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 120, 225N, 1653W,  60,  990, XX,  64, NEQ,    6,    3,    2,    3,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 126, 229N, 1666W,  60,  989, XX,  34, NEQ,  107,   85,   59,   88,     ,     ,  25,
CP, 01, 2026081212, 03, FNV3, 126, 229N, 1666W,  60,  989, XX,  50, NEQ,   32,   20,   13,   20,     ,     ,  25,
CP, 01, 2026081212, 03, FNV3, 126, 229N, 1666W,  60,  989, XX,  64, NEQ,    7,    2,    2,    3,     ,     ,  25,
CP, 01, 2026081212, 03, FNV3, 132, 233N, 1678W,  62,  987, XX,  34, NEQ,  116,   92,   64,   96,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 132, 233N, 1678W,  62,  987, XX,  50, NEQ,   35,   24,   17,   26,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 132, 233N, 1678W,  62,  987, XX,  64, NEQ,    7,    5,    4,    8,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 138, 238N, 1691W,  62,  986, XX,  34, NEQ,  116,   96,   71,   95,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 138, 238N, 1691W,  62,  986, XX,  50, NEQ,   42,   28,   21,   28,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 138, 238N, 1691W,  62,  986, XX,  64, NEQ,    9,    5,    4,    5,     ,     ,  27,
CP, 01, 2026081212, 03, FNV3, 144, 242N, 1702W,  67,  983, XX,  34, NEQ,  113,   92,   66,   94,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 144, 242N, 1702W,  67,  983, XX,  50, NEQ,   37,   29,   20,   30,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 144, 242N, 1702W,  67,  983, XX,  64, NEQ,    9,    6,    4,    8,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 150, 246N, 1712W,  68,  982, XX,  34, NEQ,  118,   97,   71,   96,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3, 150, 246N, 1712W,  68,  982, XX,  50, NEQ,   40,   29,   21,   31,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3, 150, 246N, 1712W,  68,  982, XX,  64, NEQ,   10,    6,    5,    6,     ,     ,  22,
CP, 01, 2026081212, 03, FNV3, 156, 251N, 1723W,  68,  981, XX,  34, NEQ,  109,   86,   61,   89,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 156, 251N, 1723W,  68,  981, XX,  50, NEQ,   41,   28,   20,   29,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 156, 251N, 1723W,  68,  981, XX,  64, NEQ,   12,    7,    5,    7,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 162, 255N, 1733W,  70,  980, XX,  34, NEQ,  118,  100,   73,   98,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 162, 255N, 1733W,  70,  980, XX,  50, NEQ,   43,   36,   26,   36,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 162, 255N, 1733W,  70,  980, XX,  64, NEQ,   15,    9,    6,   10,     ,     ,  20,
CP, 01, 2026081212, 03, FNV3, 168, 260N, 1742W,  72,  978, XX,  34, NEQ,  118,   93,   68,   97,     ,     ,  19,
CP, 01, 2026081212, 03, FNV3, 168, 260N, 1742W,  72,  978, XX,  50, NEQ,   53,   42,   30,   42,     ,     ,  19,
CP, 01, 2026081212, 03, FNV3, 168, 260N, 1742W,  72,  978, XX,  64, NEQ,   19,   14,   11,   14,     ,     ,  19,
CP, 01, 2026081212, 03, FNV3, 174, 264N, 1749W,  74,  977, XX,  34, NEQ,  115,   98,   72,   95,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3, 174, 264N, 1749W,  74,  977, XX,  50, NEQ,   47,   38,   29,   39,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3, 174, 264N, 1749W,  74,  977, XX,  64, NEQ,   21,   15,   12,   17,     ,     ,  18,
CP, 01, 2026081212, 03, FNV3, 180, 268N, 1757W,  72,  979, XX,  34, NEQ,  120,  100,   72,   98,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 180, 268N, 1757W,  72,  979, XX,  50, NEQ,   49,   40,   29,   39,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 180, 268N, 1757W,  72,  979, XX,  64, NEQ,   20,   13,   10,   13,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 186, 273N, 1763W,  70,  980, XX,  34, NEQ,  114,   98,   74,   95,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 186, 273N, 1763W,  70,  980, XX,  50, NEQ,   47,   36,   26,   38,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 186, 273N, 1763W,  70,  980, XX,  64, NEQ,   14,    8,    6,    9,     ,     ,  24,
CP, 01, 2026081212, 03, FNV3, 192, 277N, 1769W,  69,  980, XX,  34, NEQ,  113,   95,   71,   96,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 192, 277N, 1769W,  69,  980, XX,  50, NEQ,   44,   36,   26,   36,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 192, 277N, 1769W,  69,  980, XX,  64, NEQ,   15,   11,    8,   12,     ,     ,  21,
CP, 01, 2026081212, 03, FNV3, 198, 281N, 1773W,  63,  983, XX,  34, NEQ,  116,  103,   77,   95,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 198, 281N, 1773W,  63,  983, XX,  50, NEQ,   35,   28,   20,   28,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 198, 281N, 1773W,  63,  983, XX,  64, NEQ,   14,    8,    6,    7,     ,     ,  28,
CP, 01, 2026081212, 03, FNV3, 204, 285N, 1777W,  66,  979, XX,  34, NEQ,  106,   96,   72,   87,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3, 204, 285N, 1777W,  66,  979, XX,  50, NEQ,   33,   23,   17,   22,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3, 204, 285N, 1777W,  66,  979, XX,  64, NEQ,   12,    7,    5,    8,     ,     ,  26,
CP, 01, 2026081212, 03, FNV3, 210, 290N, 1780W,  61,  983, XX,  34, NEQ,   99,   91,   69,   81,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 210, 290N, 1780W,  61,  983, XX,  50, NEQ,   31,   25,   18,   25,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 210, 290N, 1780W,  61,  983, XX,  64, NEQ,    9,    6,    5,    6,     ,     ,  29,
CP, 01, 2026081212, 03, FNV3, 216, 295N, 1784W,  61,  985, XX,  34, NEQ,  105,   93,   69,   86,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3, 216, 295N, 1784W,  61,  985, XX,  50, NEQ,   35,   29,   21,   28,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3, 216, 295N, 1784W,  61,  985, XX,  64, NEQ,    8,    6,    3,    4,     ,     ,  36,
CP, 01, 2026081212, 03, FNV3, 222, 300N, 1787W,  57,  988, XX,  34, NEQ,  102,   94,   65,   78,     ,     ,  39,
CP, 01, 2026081212, 03, FNV3, 222, 300N, 1787W,  57,  988, XX,  50, NEQ,   30,   18,   12,   17,     ,     ,  39,
CP, 01, 2026081212, 03, FNV3, 222, 300N, 1787W,  57,  988, XX,  64, NEQ,    4,    1,    1,    1,     ,     ,  39,
CP, 01, 2026081212, 03, FNV3, 228, 306N, 1791W,  56,  987, XX,  34, NEQ,   96,   80,   61,   76,     ,     ,  45,
CP, 01, 2026081212, 03, FNV3, 228, 306N, 1791W,  56,  987, XX,  50, NEQ,   28,   18,   11,   14,     ,     ,  45,
CP, 01, 2026081212, 03, FNV3, 228, 306N, 1791W,  56,  987, XX,  64, NEQ,    6,    1,    1,    1,     ,     ,  45,
CP, 01, 2026081212, 03, FNV3, 234, 310N, 1794W,  53,  988, XX,  34, NEQ,   88,   81,   58,   68,     ,     ,  46,
CP, 01, 2026081212, 03, FNV3, 234, 310N, 1794W,  53,  988, XX,  50, NEQ,   20,   14,   10,   18,     ,     ,  46,
CP, 01, 2026081212, 03, FNV3, 234, 310N, 1794W,  53,  988, XX,  64, NEQ,    3,    2,    1,    5,     ,     ,  46,
CP, 01, 2026081212, 03, FNV3, 240, 314N, 1798W,  55,  987, XX,  34, NEQ,   86,   80,   56,   69,     ,     ,  42,
CP, 01, 2026081212, 03, FNV3, 240, 314N, 1798W,  55,  987, XX,  50, NEQ,   24,   12,    7,   13,     ,     ,  42,
CP, 01, 2026081212, 03, FNV3, 240, 314N, 1798W,  55,  987, XX,  64, NEQ,    1,    0,    0,    5,     ,     ,  42,
CP, 01, 2026081212, 03, FNV3, 246, 318N, 1799E,  48,  993, XX,  34, NEQ,   96,   87,   61,   75,     ,     ,  46,
CP, 01, 2026081212, 03, FNV3, 246, 318N, 1799E,  48,  993, XX,  50, NEQ,   19,    9,    6,   11,     ,     ,  46,
CP, 01, 2026081212, 03, FNV3, 246, 318N, 1799E,  48,  993, XX,  64, NEQ,    0,    0,    0,    3,     ,     ,  46,
EP, 99, 2026081212, 03, FNV3,   0, 174N, 1306W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  70,
WP, 13, 2026081212, 03, FNV3,   0, 303N, 1635E,  29,  995, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  25,
WP, 13, 2026081212, 03, FNV3,   6, 310N, 1652E,  26,  997, XX,  34, NEQ,    0,    0,    1,    0,     ,     ,  52,
WP, 13, 2026081212, 03, FNV3,  12, 315N, 1664E,  26,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  51,
WP, 13, 2026081212, 03, FNV3,  18, 323N, 1674E,  26,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  52,
WP, 16, 2026081212, 03, FNV3,   0, 230N, 1448E,  29,  998, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
WP, 16, 2026081212, 03, FNV3,   6, 248N, 1468E,  35,  994, XX,  34, NEQ,   14,   21,   13,    9,     ,     ,  43,
WP, 16, 2026081212, 03, FNV3,  12, 264N, 1485E,  36,  994, XX,  34, NEQ,   23,   25,   14,   15,     ,     ,  40,
WP, 16, 2026081212, 03, FNV3,  18, 272N, 1499E,  38,  993, XX,  34, NEQ,   40,   39,   27,   31,     ,     ,  40,
WP, 16, 2026081212, 03, FNV3,  24, 277N, 1513E,  35,  994, XX,  34, NEQ,   40,   39,   34,   34,     ,     ,  45,
WP, 16, 2026081212, 03, FNV3,  24, 277N, 1513E,  35,  994, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  45,
WP, 16, 2026081212, 03, FNV3,  30, 279N, 1526E,  33,  995, XX,  34, NEQ,   15,   12,   12,   10,     ,     ,  48,
WP, 16, 2026081212, 03, FNV3,  36, 279N, 1538E,  31,  995, XX,  34, NEQ,    9,    8,    8,    8,     ,     ,  49,
WP, 16, 2026081212, 03, FNV3,  42, 280N, 1548E,  29,  996, XX,  34, NEQ,   18,   16,   14,   15,     ,     ,  56,
WP, 16, 2026081212, 03, FNV3,  48, 280N, 1559E,  28,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  57,
WP, 16, 2026081212, 03, FNV3,  54, 283N, 1571E,  26,  998, XX,  34, NEQ,    0,    0,    0,    2,     ,     ,  55,
WP, 16, 2026081212, 03, FNV3,  60, 284N, 1582E,  24,  999, XX,  34, NEQ,    3,    0,    0,    0,     ,     ,  56,
WP, 16, 2026081212, 03, FNV3,  66, 286N, 1593E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  54,
