# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 95, 2025100712, 03, FNV3,   0, 113N,  438W,  41, 1006, XX,  34, NEQ,  120,   90,     ,     ,     ,     ,  20,
AL, 95, 2025100712, 03, FNV3,  66, 184N,  618W,  48, 1003, XX,  34, NEQ,  102,   81,   54,   75,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  66, 184N,  618W,  48, 1003, XX,  50, NEQ,   18,    8,    5,    6,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  66, 184N,  618W,  48, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  72, 192N,  627W,  49, 1003, XX,  34, NEQ,   89,   68,   41,   61,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  72, 192N,  627W,  49, 1003, XX,  50, NEQ,   19,    8,    4,    6,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  72, 192N,  627W,  49, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  51,
AL, 95, 2025100712, 03, FNV3,  78, 201N,  634W,  47, 1003, XX,  34, NEQ,   85,   70,   42,   60,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  78, 201N,  634W,  47, 1003, XX,  50, NEQ,   13,    7,    4,    6,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  78, 201N,  634W,  47, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  47,
AL, 95, 2025100712, 03, FNV3,  84, 210N,  640W,  46, 1003, XX,  34, NEQ,   77,   64,   36,   51,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  84, 210N,  640W,  46, 1003, XX,  50, NEQ,   12,    9,    6,    8,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  84, 210N,  640W,  46, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  49,
AL, 95, 2025100712, 03, FNV3,  90, 219N,  645W,  46, 1003, XX,  34, NEQ,   76,   63,   40,   53,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  90, 219N,  645W,  46, 1003, XX,  50, NEQ,    9,    7,    3,    5,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  90, 219N,  645W,  46, 1003, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3,  96, 226N,  649W,  45, 1002, XX,  34, NEQ,   63,   50,   31,   40,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3,  96, 226N,  649W,  45, 1002, XX,  50, NEQ,    8,    5,    3,    5,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3,  96, 226N,  649W,  45, 1002, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  45,
AL, 95, 2025100712, 03, FNV3, 102, 235N,  650W,  49, 1001, XX,  34, NEQ,   98,   85,   53,   69,     ,     ,  54,
AL, 95, 2025100712, 03, FNV3, 102, 235N,  650W,  49, 1001, XX,  50, NEQ,   16,    5,    3,    5,     ,     ,  54,
AL, 95, 2025100712, 03, FNV3, 102, 235N,  650W,  49, 1001, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  54,
AL, 95, 2025100712, 03, FNV3, 108, 237N,  655W,  50,  999, XX,  34, NEQ,   83,   75,   45,   60,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3, 108, 237N,  655W,  50,  999, XX,  50, NEQ,   16,    7,    4,    7,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3, 108, 237N,  655W,  50,  999, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  48,
AL, 95, 2025100712, 03, FNV3, 114, 245N,  655W,  52,  996, XX,  34, NEQ,   83,   65,   36,   50,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3, 114, 245N,  655W,  52,  996, XX,  50, NEQ,   16,   11,    7,   10,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3, 114, 245N,  655W,  52,  996, XX,  64, NEQ,    8,    5,    4,    5,     ,     ,  44,
AL, 95, 2025100712, 03, FNV3, 120, 256N,  655W,  54,  995, XX,  34, NEQ,   64,   61,   33,   43,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 120, 256N,  655W,  54,  995, XX,  50, NEQ,   20,   14,    9,   12,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 120, 256N,  655W,  54,  995, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 126, 264N,  655W,  58,  992, XX,  34, NEQ,   91,   87,   54,   65,     ,     ,  38,
AL, 95, 2025100712, 03, FNV3, 126, 264N,  655W,  58,  992, XX,  50, NEQ,   23,   15,    9,   13,     ,     ,  38,
AL, 95, 2025100712, 03, FNV3, 126, 264N,  655W,  58,  992, XX,  64, NEQ,    6,    4,    3,    4,     ,     ,  38,
AL, 95, 2025100712, 03, FNV3, 132, 275N,  651W,  57,  992, XX,  34, NEQ,   78,   70,   43,   52,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 132, 275N,  651W,  57,  992, XX,  50, NEQ,   21,   25,   13,   16,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 132, 275N,  651W,  57,  992, XX,  64, NEQ,    7,    6,    4,    5,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 138, 286N,  644W,  58,  992, XX,  34, NEQ,   87,   85,   54,   61,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 138, 286N,  644W,  58,  992, XX,  50, NEQ,   23,   17,   11,   15,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 138, 286N,  644W,  58,  992, XX,  64, NEQ,    8,    6,    4,    5,     ,     ,  35,
AL, 95, 2025100712, 03, FNV3, 144, 297N,  633W,  57,  991, XX,  34, NEQ,   76,   75,   45,   55,     ,     ,  31,
AL, 95, 2025100712, 03, FNV3, 144, 297N,  633W,  57,  991, XX,  50, NEQ,   27,   21,   12,   19,     ,     ,  31,
AL, 95, 2025100712, 03, FNV3, 144, 297N,  633W,  57,  991, XX,  64, NEQ,    6,    5,    3,    5,     ,     ,  31,
EP, 15, 2025100712, 03, FNV3,   0, 157N, 1194W,  45,  998, XX,  34, NEQ,   40,   40,   30,   40,     ,     ,  20,
EP, 15, 2025100712, 03, FNV3,   6, 155N, 1192W,  41, 1001, XX,  34, NEQ,   38,   33,   26,   32,     ,     ,  28,
EP, 15, 2025100712, 03, FNV3,  12, 152N, 1185W,  41, 1002, XX,  34, NEQ,   36,   36,   30,   30,     ,     ,  27,
EP, 15, 2025100712, 03, FNV3,  12, 152N, 1185W,  41, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  27,
EP, 15, 2025100712, 03, FNV3,  18, 152N, 1176W,  38, 1003, XX,  34, NEQ,   29,   25,   22,   24,     ,     ,  26,
EP, 15, 2025100712, 03, FNV3,  24, 153N, 1166W,  38, 1004, XX,  34, NEQ,   28,   28,   21,   22,     ,     ,  29,
EP, 15, 2025100712, 03, FNV3,  30, 155N, 1154W,  38, 1003, XX,  34, NEQ,   27,   22,   16,   21,     ,     ,  31,
EP, 15, 2025100712, 03, FNV3,  36, 160N, 1139W,  36, 1004, XX,  34, NEQ,   15,   13,   11,   11,     ,     ,  29,
EP, 15, 2025100712, 03, FNV3,  42, 165N, 1124W,  31, 1005, XX,  34, NEQ,    4,    3,    3,    4,     ,     ,  36,
EP, 15, 2025100712, 03, FNV3,  48, 169N, 1109W,  27, 1007, XX,  34, NEQ,    1,    3,    0,    0,     ,     ,  40,
EP, 16, 2025100712, 03, FNV3,   0, 196N, 1098W,  89,  963, XX,  34, NEQ,  160,  140,  130,  140,     ,     ,  30,
EP, 16, 2025100712, 03, FNV3,   0, 196N, 1098W,  89,  963, XX,  50, NEQ,   70,   60,   50,   50,     ,     ,  30,
EP, 16, 2025100712, 03, FNV3,   0, 196N, 1098W,  89,  963, XX,  64, NEQ,   40,   45,   25,   25,     ,     ,  30,
EP, 16, 2025100712, 03, FNV3,   6, 200N, 1107W, 110,  949, XX,  34, NEQ,  137,  121,  103,  127,     ,     ,  16,
EP, 16, 2025100712, 03, FNV3,   6, 200N, 1107W, 110,  949, XX,  50, NEQ,   72,   60,   50,   63,     ,     ,  16,
EP, 16, 2025100712, 03, FNV3,   6, 200N, 1107W, 110,  949, XX,  64, NEQ,   39,   34,   28,   35,     ,     ,  16,
EP, 16, 2025100712, 03, FNV3,  12, 204N, 1113W, 105,  954, XX,  34, NEQ,  137,  124,  107,  123,     ,     ,  20,
EP, 16, 2025100712, 03, FNV3,  12, 204N, 1113W, 105,  954, XX,  50, NEQ,   68,   57,   47,   59,     ,     ,  20,
EP, 16, 2025100712, 03, FNV3,  12, 204N, 1113W, 105,  954, XX,  64, NEQ,   38,   33,   27,   33,     ,     ,  20,
EP, 16, 2025100712, 03, FNV3,  18, 208N, 1119W,  94,  963, XX,  34, NEQ,  140,  123,  107,  128,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  18, 208N, 1119W,  94,  963, XX,  50, NEQ,   71,   61,   51,   63,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  18, 208N, 1119W,  94,  963, XX,  64, NEQ,   40,   36,   29,   35,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  24, 213N, 1125W,  86,  969, XX,  34, NEQ,  134,  117,   98,  119,     ,     ,  25,
EP, 16, 2025100712, 03, FNV3,  24, 213N, 1125W,  86,  969, XX,  50, NEQ,   72,   61,   49,   62,     ,     ,  25,
EP, 16, 2025100712, 03, FNV3,  24, 213N, 1125W,  86,  969, XX,  64, NEQ,   39,   33,   27,   33,     ,     ,  25,
EP, 16, 2025100712, 03, FNV3,  30, 219N, 1131W,  81,  973, XX,  34, NEQ,  125,  109,   90,  110,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  30, 219N, 1131W,  81,  973, XX,  50, NEQ,   64,   55,   43,   54,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  30, 219N, 1131W,  81,  973, XX,  64, NEQ,   34,   27,   21,   26,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  36, 226N, 1137W,  80,  974, XX,  34, NEQ,  125,  110,   89,  107,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  36, 226N, 1137W,  80,  974, XX,  50, NEQ,   62,   54,   43,   53,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  36, 226N, 1137W,  80,  974, XX,  64, NEQ,   32,   28,   22,   27,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  42, 231N, 1143W,  72,  980, XX,  34, NEQ,  115,   99,   80,   98,     ,     ,  24,
EP, 16, 2025100712, 03, FNV3,  42, 231N, 1143W,  72,  980, XX,  50, NEQ,   54,   46,   35,   45,     ,     ,  24,
EP, 16, 2025100712, 03, FNV3,  42, 231N, 1143W,  72,  980, XX,  64, NEQ,   24,   18,   15,   18,     ,     ,  24,
EP, 16, 2025100712, 03, FNV3,  48, 237N, 1147W,  65,  985, XX,  34, NEQ,  112,   99,   78,   95,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  48, 237N, 1147W,  65,  985, XX,  50, NEQ,   52,   45,   34,   43,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  48, 237N, 1147W,  65,  985, XX,  64, NEQ,   15,   13,   11,   13,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  54, 243N, 1150W,  61,  988, XX,  34, NEQ,  107,   97,   74,   89,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  54, 243N, 1150W,  61,  988, XX,  50, NEQ,   48,   41,   30,   38,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  54, 243N, 1150W,  61,  988, XX,  64, NEQ,   10,    7,    6,    7,     ,     ,  22,
EP, 16, 2025100712, 03, FNV3,  60, 250N, 1151W,  58,  989, XX,  34, NEQ,   99,   92,   66,   79,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  60, 250N, 1151W,  58,  989, XX,  50, NEQ,   35,   30,   21,   25,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  60, 250N, 1151W,  58,  989, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  23,
EP, 16, 2025100712, 03, FNV3,  66, 257N, 1151W,  50,  995, XX,  34, NEQ,   81,   76,   54,   64,     ,     ,  26,
EP, 16, 2025100712, 03, FNV3,  66, 257N, 1151W,  50,  995, XX,  50, NEQ,   15,   12,    8,   10,     ,     ,  26,
EP, 16, 2025100712, 03, FNV3,  72, 264N, 1150W,  39,  999, XX,  34, NEQ,   47,   41,   29,   35,     ,     ,  38,
EP, 16, 2025100712, 03, FNV3,  72, 264N, 1150W,  39,  999, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  38,
EP, 16, 2025100712, 03, FNV3,  78, 268N, 1150W,  30, 1004, XX,  34, NEQ,   16,   13,   10,   12,     ,     ,  43,
EP, 16, 2025100712, 03, FNV3,  84, 271N, 1150W,  26, 1004, XX,  34, NEQ,    3,    2,    1,    1,     ,     ,  44,
EP, 16, 2025100712, 03, FNV3,  90, 274N, 1150W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  38,
EP, 90, 2025100712, 03, FNV3,   0, 129N,  918W,  25, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  50,
EP, 90, 2025100712, 03, FNV3,   6, 137N,  924W,  27, 1006, XX,  34, NEQ,    4,    5,    0,    1,     ,     ,  56,
WP, 28, 2025100712, 03, FNV3,   0, 281N, 1373E, 115,  942, XX,  34, NEQ,  120,  120,   70,   65,     ,     ,  15,
WP, 28, 2025100712, 03, FNV3,   6, 288N, 1369E, 114,  941, XX,  34, NEQ,  121,  116,   89,  100,     ,     ,  11,
WP, 28, 2025100712, 03, FNV3,   6, 288N, 1369E, 114,  941, XX,  50, NEQ,   59,   52,   39,   48,     ,     ,  11,
WP, 28, 2025100712, 03, FNV3,   6, 288N, 1369E, 114,  941, XX,  64, NEQ,   36,   31,   24,   29,     ,     ,  11,
WP, 28, 2025100712, 03, FNV3,  12, 296N, 1370E, 117,  937, XX,  34, NEQ,  125,  131,   98,  101,     ,     ,  10,
WP, 28, 2025100712, 03, FNV3,  12, 296N, 1370E, 117,  937, XX,  50, NEQ,   65,   61,   47,   53,     ,     ,  10,
WP, 28, 2025100712, 03, FNV3,  12, 296N, 1370E, 117,  937, XX,  64, NEQ,   36,   34,   27,   31,     ,     ,  10,
WP, 28, 2025100712, 03, FNV3,  18, 305N, 1375E, 118,  936, XX,  34, NEQ,  133,  147,  113,  108,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  18, 305N, 1375E, 118,  936, XX,  50, NEQ,   69,   70,   55,   58,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  18, 305N, 1375E, 118,  936, XX,  64, NEQ,   41,   40,   33,   36,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  24, 315N, 1383E, 116,  938, XX,  34, NEQ,  136,  152,  119,  111,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  24, 315N, 1383E, 116,  938, XX,  50, NEQ,   72,   75,   61,   61,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  24, 315N, 1383E, 116,  938, XX,  64, NEQ,   43,   42,   35,   38,     ,     ,  12,
WP, 28, 2025100712, 03, FNV3,  30, 324N, 1393E, 111,  944, XX,  34, NEQ,  139,  159,  125,  115,     ,     ,  15,
WP, 28, 2025100712, 03, FNV3,  30, 324N, 1393E, 111,  944, XX,  50, NEQ,   78,   82,   68,   67,     ,     ,  15,
WP, 28, 2025100712, 03, FNV3,  30, 324N, 1393E, 111,  944, XX,  64, NEQ,   48,   47,   39,   42,     ,     ,  15,
WP, 28, 2025100712, 03, FNV3,  36, 331N, 1409E, 102,  953, XX,  34, NEQ,  146,  166,  134,  124,     ,     ,  17,
WP, 28, 2025100712, 03, FNV3,  36, 331N, 1409E, 102,  953, XX,  50, NEQ,   82,   87,   74,   71,     ,     ,  17,
WP, 28, 2025100712, 03, FNV3,  36, 331N, 1409E, 102,  953, XX,  64, NEQ,   49,   50,   41,   43,     ,     ,  17,
WP, 28, 2025100712, 03, FNV3,  42, 338N, 1432E,  88,  963, XX,  34, NEQ,  154,  172,  142,  132,     ,     ,  19,
WP, 28, 2025100712, 03, FNV3,  42, 338N, 1432E,  88,  963, XX,  50, NEQ,   89,   94,   80,   78,     ,     ,  19,
WP, 28, 2025100712, 03, FNV3,  42, 338N, 1432E,  88,  963, XX,  64, NEQ,   49,   50,   42,   44,     ,     ,  19,
WP, 28, 2025100712, 03, FNV3,  48, 342N, 1464E,  79,  970, XX,  34, NEQ,  166,  177,  146,  143,     ,     ,  20,
WP, 28, 2025100712, 03, FNV3,  48, 342N, 1464E,  79,  970, XX,  50, NEQ,   97,  101,   85,   85,     ,     ,  20,
WP, 28, 2025100712, 03, FNV3,  48, 342N, 1464E,  79,  970, XX,  64, NEQ,   48,   48,   41,   42,     ,     ,  20,
WP, 28, 2025100712, 03, FNV3,  54, 345N, 1500E,  73,  974, XX,  34, NEQ,  181,  192,  159,  158,     ,     ,  22,
WP, 28, 2025100712, 03, FNV3,  54, 345N, 1500E,  73,  974, XX,  50, NEQ,   99,  102,   85,   85,     ,     ,  22,
WP, 28, 2025100712, 03, FNV3,  54, 345N, 1500E,  73,  974, XX,  64, NEQ,   34,   36,   29,   30,     ,     ,  22,
WP, 28, 2025100712, 03, FNV3,  60, 347N, 1541E,  68,  976, XX,  34, NEQ,  180,  191,  162,  160,     ,     ,  27,
WP, 28, 2025100712, 03, FNV3,  60, 347N, 1541E,  68,  976, XX,  50, NEQ,   92,   94,   78,   77,     ,     ,  27,
WP, 28, 2025100712, 03, FNV3,  60, 347N, 1541E,  68,  976, XX,  64, NEQ,   20,   23,   17,   17,     ,     ,  27,
WP, 28, 2025100712, 03, FNV3,  66, 347N, 1583E,  64,  977, XX,  34, NEQ,  189,  203,  172,  166,     ,     ,  33,
WP, 28, 2025100712, 03, FNV3,  66, 347N, 1583E,  64,  977, XX,  50, NEQ,   85,   89,   72,   70,     ,     ,  33,
WP, 28, 2025100712, 03, FNV3,  66, 347N, 1583E,  64,  977, XX,  64, NEQ,   14,   19,   11,   11,     ,     ,  33,
WP, 28, 2025100712, 03, FNV3,  72, 349N, 1625E,  62,  979, XX,  34, NEQ,  174,  182,  154,  152,     ,     ,  43,
WP, 28, 2025100712, 03, FNV3,  72, 349N, 1625E,  62,  979, XX,  50, NEQ,   75,   81,   63,   62,     ,     ,  43,
WP, 28, 2025100712, 03, FNV3,  72, 349N, 1625E,  62,  979, XX,  64, NEQ,   11,   10,    8,    8,     ,     ,  43,
WP, 28, 2025100712, 03, FNV3,  78, 356N, 1665E,  58,  980, XX,  34, NEQ,  176,  187,  156,  152,     ,     ,  45,
WP, 28, 2025100712, 03, FNV3,  78, 356N, 1665E,  58,  980, XX,  50, NEQ,   60,   67,   49,   49,     ,     ,  45,
WP, 28, 2025100712, 03, FNV3,  78, 356N, 1665E,  58,  980, XX,  64, NEQ,    6,    9,    5,    4,     ,     ,  45,
WP, 28, 2025100712, 03, FNV3,  84, 372N, 1708E,  57,  980, XX,  34, NEQ,  156,  166,  137,  133,     ,     ,  48,
WP, 28, 2025100712, 03, FNV3,  84, 372N, 1708E,  57,  980, XX,  50, NEQ,   50,   56,   40,   39,     ,     ,  48,
WP, 28, 2025100712, 03, FNV3,  84, 372N, 1708E,  57,  980, XX,  64, NEQ,    6,    6,    4,    5,     ,     ,  48,
WP, 28, 2025100712, 03, FNV3,  90, 397N, 1756E,  52,  981, XX,  34, NEQ,  143,  151,  121,  119,     ,     ,  55,
WP, 28, 2025100712, 03, FNV3,  90, 397N, 1756E,  52,  981, XX,  50, NEQ,   38,   43,   28,   28,     ,     ,  55,
WP, 28, 2025100712, 03, FNV3,  90, 397N, 1756E,  52,  981, XX,  64, NEQ,    1,    2,    0,    0,     ,     ,  55,
WP, 28, 2025100712, 03, FNV3,  96, 434N, 1799W,  48,  981, XX,  34, NEQ,   76,   85,   58,   53,     ,     ,  60,
WP, 28, 2025100712, 03, FNV3,  96, 434N, 1799W,  48,  981, XX,  50, NEQ,   20,   25,   16,   13,     ,     ,  60,
WP, 28, 2025100712, 03, FNV3, 102, 487N, 1763W,  45,  980, XX,  34, NEQ,   18,   48,   30,   12,     ,     ,  83,
WP, 28, 2025100712, 03, FNV3, 102, 487N, 1763W,  45,  980, XX,  50, NEQ,    1,    3,    4,    0,     ,     ,  83,
WP, 28, 2025100712, 03, FNV3, 108, 543N, 1748W,  47,  974, XX,  34, NEQ,   12,   50,   36,    4,     ,     ,  79,
WP, 28, 2025100712, 03, FNV3, 108, 543N, 1748W,  47,  974, XX,  50, NEQ,   11,   16,    4,    0,     ,     ,  79,
