# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 07, 2025121618, 03, FNV3,   0, 116S,  932E,  45,  995, XX,  34, NEQ,     ,   80,   60,   20,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 156, 131S, 1011E,  77,  975, XX,  50, NEQ,   28,   33,   31,   25,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 156, 131S, 1011E,  77,  975, XX,  64, NEQ,   13,   15,   12,   11,     ,     ,  15,
IO, 93, 2025121618, 03, FNV3, 162, 131S, 1008E,  70,  978, XX,  34, NEQ,   50,   60,   61,   49,     ,     ,  14,
IO, 93, 2025121618, 03, FNV3, 162, 131S, 1008E,  70,  978, XX,  50, NEQ,   20,   23,   22,   18,     ,     ,  14,
IO, 93, 2025121618, 03, FNV3, 162, 131S, 1008E,  70,  978, XX,  64, NEQ,   10,   11,   10,    9,     ,     ,  14,
IO, 93, 2025121618, 03, FNV3, 168, 130S, 1005E,  66,  981, XX,  34, NEQ,   53,   61,   61,   52,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 168, 130S, 1005E,  66,  981, XX,  50, NEQ,   21,   23,   21,   18,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 168, 130S, 1005E,  66,  981, XX,  64, NEQ,    9,   10,    9,    8,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 174, 131S,  999E,  68,  981, XX,  34, NEQ,   46,   56,   59,   45,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 174, 131S,  999E,  68,  981, XX,  50, NEQ,   20,   23,   21,   18,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 174, 131S,  999E,  68,  981, XX,  64, NEQ,   11,   11,   10,    9,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 180, 132S,  997E,  65,  981, XX,  34, NEQ,   49,   57,   58,   46,     ,     ,  16,
IO, 93, 2025121618, 03, FNV3, 180, 132S,  997E,  65,  981, XX,  50, NEQ,   16,   19,   18,   15,     ,     ,  16,
IO, 93, 2025121618, 03, FNV3, 180, 132S,  997E,  65,  981, XX,  64, NEQ,    9,   10,    9,    8,     ,     ,  16,
IO, 93, 2025121618, 03, FNV3, 186, 133S,  994E,  64,  982, XX,  34, NEQ,   41,   51,   50,   39,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 186, 133S,  994E,  64,  982, XX,  50, NEQ,   17,   19,   18,   15,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 186, 133S,  994E,  64,  982, XX,  64, NEQ,    9,   10,    8,    8,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 192, 134S,  991E,  62,  981, XX,  34, NEQ,   42,   51,   53,   42,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 192, 134S,  991E,  62,  981, XX,  50, NEQ,   16,   19,   20,   15,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 192, 134S,  991E,  62,  981, XX,  64, NEQ,    8,   10,    8,    8,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 198, 135S,  988E,  62,  982, XX,  34, NEQ,   44,   49,   48,   40,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 198, 135S,  988E,  62,  982, XX,  50, NEQ,   16,   18,   17,   15,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 198, 135S,  988E,  62,  982, XX,  64, NEQ,    8,    9,    8,    8,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 204, 137S,  983E,  62,  982, XX,  34, NEQ,   39,   46,   49,   38,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 204, 137S,  983E,  62,  982, XX,  50, NEQ,   17,   19,   19,   16,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 204, 137S,  983E,  62,  982, XX,  64, NEQ,    9,   10,    9,    9,     ,     ,  19,
IO, 93, 2025121618, 03, FNV3, 210, 140S,  980E,  59,  983, XX,  34, NEQ,   40,   47,   46,   36,     ,     ,  20,
IO, 93, 2025121618, 03, FNV3, 210, 140S,  980E,  59,  983, XX,  50, NEQ,   15,   17,   17,   14,     ,     ,  20,
IO, 93, 2025121618, 03, FNV3, 210, 140S,  980E,  59,  983, XX,  64, NEQ,    8,    8,    8,    7,     ,     ,  20,
IO, 93, 2025121618, 03, FNV3, 216, 141S,  976E,  59,  985, XX,  34, NEQ,   34,   44,   45,   33,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 216, 141S,  976E,  59,  985, XX,  50, NEQ,   13,   16,   16,   12,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 216, 141S,  976E,  59,  985, XX,  64, NEQ,    9,    9,    8,    8,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 222, 144S,  972E,  58,  985, XX,  34, NEQ,   38,   46,   44,   35,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 222, 144S,  972E,  58,  985, XX,  50, NEQ,   15,   17,   16,   14,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 222, 144S,  972E,  58,  985, XX,  64, NEQ,    8,    9,    8,    7,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 228, 146S,  968E,  54,  987, XX,  34, NEQ,   34,   46,   45,   32,     ,     ,  24,
IO, 93, 2025121618, 03, FNV3, 228, 146S,  968E,  54,  987, XX,  50, NEQ,   11,   14,   13,   10,     ,     ,  24,
IO, 93, 2025121618, 03, FNV3, 228, 146S,  968E,  54,  987, XX,  64, NEQ,    8,    8,    7,    7,     ,     ,  24,
IO, 93, 2025121618, 03, FNV3, 234, 148S,  963E,  58,  984, XX,  34, NEQ,   30,   39,   39,   27,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 234, 148S,  963E,  58,  984, XX,  50, NEQ,   15,   17,   16,   13,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 234, 148S,  963E,  58,  984, XX,  64, NEQ,    9,   10,    9,    8,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 240, 149S,  952E,  57,  985, XX,  34, NEQ,   31,   44,   46,   31,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 240, 149S,  952E,  57,  985, XX,  50, NEQ,   16,   20,   20,   15,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 240, 149S,  952E,  57,  985, XX,  64, NEQ,    9,   10,    9,    9,     ,     ,  25,
IO, 93, 2025121618, 03, FNV3, 246, 150S,  943E,  60,  983, XX,  34, NEQ,   32,   45,   46,   32,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 246, 150S,  943E,  60,  983, XX,  50, NEQ,   15,   18,   17,   14,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 246, 150S,  943E,  60,  983, XX,  64, NEQ,    8,    9,    8,    8,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 252, 152S,  936E,  61,  982, XX,  34, NEQ,   34,   45,   46,   32,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 252, 152S,  936E,  61,  982, XX,  50, NEQ,   16,   19,   18,   14,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 252, 152S,  936E,  61,  982, XX,  64, NEQ,   10,   10,    9,    9,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 258, 153S,  930E,  55,  987, XX,  34, NEQ,   32,   40,   41,   31,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 258, 153S,  930E,  55,  987, XX,  50, NEQ,   16,   19,   18,   15,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 258, 153S,  930E,  55,  987, XX,  64, NEQ,   10,   11,    9,    9,     ,     ,  21,
IO, 93, 2025121618, 03, FNV3, 264, 153S,  921E,  54,  988, XX,  34, NEQ,   32,   42,   41,   31,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 264, 153S,  921E,  54,  988, XX,  50, NEQ,   13,   15,   15,   12,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 264, 153S,  921E,  54,  988, XX,  64, NEQ,    7,    8,    7,    7,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 270, 153S,  915E,  58,  985, XX,  34, NEQ,   40,   49,   46,   36,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 270, 153S,  915E,  58,  985, XX,  50, NEQ,   18,   20,   19,   16,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 270, 153S,  915E,  58,  985, XX,  64, NEQ,    9,   10,    9,    9,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 276, 153S,  904E,  58,  985, XX,  34, NEQ,   33,   43,   43,   31,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 276, 153S,  904E,  58,  985, XX,  50, NEQ,   14,   17,   16,   12,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 276, 153S,  904E,  58,  985, XX,  64, NEQ,    9,   10,    9,    8,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 282, 151S,  891E,  61,  984, XX,  34, NEQ,   38,   47,   44,   33,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 282, 151S,  891E,  61,  984, XX,  50, NEQ,   16,   19,   18,   14,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 282, 151S,  891E,  61,  984, XX,  64, NEQ,    9,   10,    9,    9,     ,     ,  26,
IO, 93, 2025121618, 03, FNV3, 288, 151S,  880E,  59,  984, XX,  34, NEQ,   34,   45,   43,   32,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 288, 151S,  880E,  59,  984, XX,  50, NEQ,   15,   17,   17,   13,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 288, 151S,  880E,  59,  984, XX,  64, NEQ,    8,    9,    8,    8,     ,     ,  22,
IO, 93, 2025121618, 03, FNV3, 294, 151S,  870E,  64,  981, XX,  34, NEQ,   38,   53,   51,   36,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 294, 151S,  870E,  64,  981, XX,  50, NEQ,   17,   22,   21,   16,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 294, 151S,  870E,  64,  981, XX,  64, NEQ,   11,   13,   11,   10,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 300, 152S,  860E,  61,  983, XX,  34, NEQ,   43,   55,   52,   38,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 300, 152S,  860E,  61,  983, XX,  50, NEQ,   19,   22,   21,   17,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 300, 152S,  860E,  61,  983, XX,  64, NEQ,   12,   12,   11,   11,     ,     ,  23,
IO, 93, 2025121618, 03, FNV3, 306, 154S,  849E,  67,  979, XX,  34, NEQ,   35,   48,   47,   32,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 306, 154S,  849E,  67,  979, XX,  50, NEQ,   16,   20,   19,   15,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 306, 154S,  849E,  67,  979, XX,  64, NEQ,   11,   12,   10,   10,     ,     ,  17,
IO, 93, 2025121618, 03, FNV3, 312, 155S,  840E,  63,  981, XX,  34, NEQ,   35,   47,   48,   33,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 312, 155S,  840E,  63,  981, XX,  50, NEQ,   15,   19,   19,   14,     ,     ,  18,
IO, 93, 2025121618, 03, FNV3, 312, 155S,  840E,  63,  981, XX,  64, NEQ,   11,   12,   11,   10,     ,     ,  18,
