# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 98, 2025110100, 03, FNV3,   0,  94N, 1389E,  19, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  55,
WP, 98, 2025110100, 03, FNV3,  84, 117N, 1211E,  76,  974, XX,  50, NEQ,   51,   43,   37,   46,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  84, 117N, 1211E,  76,  974, XX,  64, NEQ,   22,   19,   16,   20,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  90, 119N, 1198E,  82,  971, XX,  34, NEQ,  110,   92,   91,  106,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  90, 119N, 1198E,  82,  971, XX,  50, NEQ,   57,   49,   43,   51,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  90, 119N, 1198E,  82,  971, XX,  64, NEQ,   27,   23,   20,   23,     ,     ,  15,
WP, 98, 2025110100, 03, FNV3,  96, 122N, 1185E,  87,  967, XX,  34, NEQ,  110,   90,   86,  106,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3,  96, 122N, 1185E,  87,  967, XX,  50, NEQ,   57,   48,   40,   50,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3,  96, 122N, 1185E,  87,  967, XX,  64, NEQ,   26,   23,   19,   24,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3, 102, 125N, 1172E,  90,  964, XX,  34, NEQ,  113,   94,   89,  107,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 102, 125N, 1172E,  90,  964, XX,  50, NEQ,   58,   49,   41,   52,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 102, 125N, 1172E,  90,  964, XX,  64, NEQ,   29,   26,   22,   26,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 108, 128N, 1157E,  97,  959, XX,  34, NEQ,  123,  100,   92,  116,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3, 108, 128N, 1157E,  97,  959, XX,  50, NEQ,   65,   54,   45,   57,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3, 108, 128N, 1157E,  97,  959, XX,  64, NEQ,   33,   28,   23,   28,     ,     ,  13,
WP, 98, 2025110100, 03, FNV3, 114, 130N, 1143E, 105,  952, XX,  34, NEQ,  132,  111,  105,  126,     ,     ,   9,
WP, 98, 2025110100, 03, FNV3, 114, 130N, 1143E, 105,  952, XX,  50, NEQ,   71,   60,   51,   63,     ,     ,   9,
WP, 98, 2025110100, 03, FNV3, 114, 130N, 1143E, 105,  952, XX,  64, NEQ,   37,   33,   28,   33,     ,     ,   9,
WP, 98, 2025110100, 03, FNV3, 120, 133N, 1127E, 107,  950, XX,  34, NEQ,  142,  118,  111,  137,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 120, 133N, 1127E, 107,  950, XX,  50, NEQ,   79,   67,   58,   71,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 120, 133N, 1127E, 107,  950, XX,  64, NEQ,   42,   37,   31,   37,     ,     ,  12,
WP, 98, 2025110100, 03, FNV3, 126, 136N, 1114E, 101,  955, XX,  34, NEQ,  138,  117,  109,  132,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3, 126, 136N, 1114E, 101,  955, XX,  50, NEQ,   78,   67,   58,   71,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3, 126, 136N, 1114E, 101,  955, XX,  64, NEQ,   41,   37,   31,   37,     ,     ,  14,
WP, 98, 2025110100, 03, FNV3, 132, 141N, 1101E,  92,  962, XX,  34, NEQ,  143,  120,  111,  135,     ,     ,  18,
WP, 98, 2025110100, 03, FNV3, 132, 141N, 1101E,  92,  962, XX,  50, NEQ,   77,   66,   57,   69,     ,     ,  18,
WP, 98, 2025110100, 03, FNV3, 132, 141N, 1101E,  92,  962, XX,  64, NEQ,   39,   34,   29,   34,     ,     ,  18,
WP, 98, 2025110100, 03, FNV3, 138, 148N, 1087E,  78,  971, XX,  34, NEQ,  116,   99,   90,  106,     ,     ,  19,
WP, 98, 2025110100, 03, FNV3, 138, 148N, 1087E,  78,  971, XX,  50, NEQ,   56,   49,   42,   50,     ,     ,  19,
WP, 98, 2025110100, 03, FNV3, 138, 148N, 1087E,  78,  971, XX,  64, NEQ,   25,   23,   20,   23,     ,     ,  19,
WP, 98, 2025110100, 03, FNV3, 144, 153N, 1074E,  58,  983, XX,  34, NEQ,   86,   77,   69,   77,     ,     ,  28,
WP, 98, 2025110100, 03, FNV3, 144, 153N, 1074E,  58,  983, XX,  50, NEQ,   35,   31,   26,   30,     ,     ,  28,
WP, 98, 2025110100, 03, FNV3, 144, 153N, 1074E,  58,  983, XX,  64, NEQ,   14,   12,   10,   11,     ,     ,  28,
WP, 98, 2025110100, 03, FNV3, 150, 159N, 1064E,  42,  994, XX,  34, NEQ,   54,   46,   41,   46,     ,     ,  34,
WP, 98, 2025110100, 03, FNV3, 150, 159N, 1064E,  42,  994, XX,  50, NEQ,   19,   17,   14,   16,     ,     ,  34,
WP, 98, 2025110100, 03, FNV3, 150, 159N, 1064E,  42,  994, XX,  64, NEQ,    6,    5,    4,    5,     ,     ,  34,
WP, 98, 2025110100, 03, FNV3, 156, 163N, 1054E,  32,  999, XX,  34, NEQ,   27,   25,   21,   23,     ,     ,  45,
WP, 98, 2025110100, 03, FNV3, 156, 163N, 1054E,  32,  999, XX,  50, NEQ,    4,    4,    3,    4,     ,     ,  45,
WP, 98, 2025110100, 03, FNV3, 156, 163N, 1054E,  32,  999, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  45,
WP, 98, 2025110100, 03, FNV3, 162, 168N, 1044E,  25, 1003, XX,  34, NEQ,    9,    8,    6,    7,     ,     ,  42,
WP, 98, 2025110100, 03, FNV3, 168, 173N, 1037E,  21, 1005, XX,  34, NEQ,    3,    1,    1,    1,     ,     ,  47,
WP, 98, 2025110100, 03, FNV3, 174, 177N, 1028E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  43,
WP, 98, 2025110100, 03, FNV3, 180, 179N, 1020E,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
