# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 98, 2025102000, 03, FNV3,   0, 127N,  629W,  29, 1009, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  60,
IO, 04, 2025102000, 03, FNV3,  48, 102S,  629E,  48,  991, XX,  34, NEQ,   86,   97,   85,   77,     ,     ,  42,
IO, 04, 2025102000, 03, FNV3,  48, 102S,  629E,  48,  991, XX,  50, NEQ,   14,   16,   13,   11,     ,     ,  42,
IO, 04, 2025102000, 03, FNV3,  48, 102S,  629E,  48,  991, XX,  64, NEQ,    2,    2,    3,    2,     ,     ,  42,
IO, 04, 2025102000, 03, FNV3,  54, 104S,  621E,  51,  991, XX,  34, NEQ,  100,  112,  102,   92,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  54, 104S,  621E,  51,  991, XX,  50, NEQ,   17,   17,   15,   13,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  54, 104S,  621E,  51,  991, XX,  64, NEQ,    3,    6,    3,    3,     ,     ,  44,
IO, 04, 2025102000, 03, FNV3,  60, 106S,  614E,  51,  991, XX,  34, NEQ,   94,  109,   98,   85,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  60, 106S,  614E,  51,  991, XX,  50, NEQ,   20,   25,   18,   16,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  60, 106S,  614E,  51,  991, XX,  64, NEQ,    3,    3,    3,    2,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  66, 107S,  606E,  51,  991, XX,  34, NEQ,   90,   97,   93,   81,     ,     ,  38,
IO, 04, 2025102000, 03, FNV3,  66, 107S,  606E,  51,  991, XX,  50, NEQ,   19,   20,   18,   15,     ,     ,  38,
IO, 04, 2025102000, 03, FNV3,  66, 107S,  606E,  51,  991, XX,  64, NEQ,    3,    4,    4,    3,     ,     ,  38,
IO, 04, 2025102000, 03, FNV3,  72, 107S,  598E,  51,  991, XX,  34, NEQ,   90,  101,   93,   82,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  72, 107S,  598E,  51,  991, XX,  50, NEQ,   22,   26,   21,   19,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  72, 107S,  598E,  51,  991, XX,  64, NEQ,    2,    3,    2,    1,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3,  78, 107S,  590E,  51,  991, XX,  34, NEQ,   88,   96,   92,   81,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  78, 107S,  590E,  51,  991, XX,  50, NEQ,   17,   19,   16,   14,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  78, 107S,  590E,  51,  991, XX,  64, NEQ,    1,    3,    2,    1,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  84, 107S,  581E,  53,  990, XX,  34, NEQ,   95,  106,  101,   87,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  84, 107S,  581E,  53,  990, XX,  50, NEQ,   23,   27,   23,   20,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  84, 107S,  581E,  53,  990, XX,  64, NEQ,    3,    5,    4,    3,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  90, 106S,  570E,  50,  992, XX,  34, NEQ,   79,   85,   79,   74,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  90, 106S,  570E,  50,  992, XX,  50, NEQ,   17,   18,   17,   14,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  90, 106S,  570E,  50,  992, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  96, 103S,  560E,  50,  993, XX,  34, NEQ,   77,   88,   80,   72,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  96, 103S,  560E,  50,  993, XX,  50, NEQ,   19,   22,   20,   17,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3,  96, 103S,  560E,  50,  993, XX,  64, NEQ,    6,    6,    6,    5,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 102, 101S,  546E,  50,  994, XX,  34, NEQ,   75,   82,   77,   70,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 102, 101S,  546E,  50,  994, XX,  50, NEQ,   14,   16,   14,   12,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 102, 101S,  546E,  50,  994, XX,  64, NEQ,    4,    5,    4,    4,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 108, 100S,  536E,  52,  991, XX,  34, NEQ,   73,   84,   78,   65,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3, 108, 100S,  536E,  52,  991, XX,  50, NEQ,   19,   22,   21,   17,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3, 108, 100S,  536E,  52,  991, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  35,
IO, 04, 2025102000, 03, FNV3, 114,  98S,  524E,  51,  992, XX,  34, NEQ,   72,   80,   73,   66,     ,     ,  34,
IO, 04, 2025102000, 03, FNV3, 114,  98S,  524E,  51,  992, XX,  50, NEQ,   13,   16,   13,   11,     ,     ,  34,
IO, 04, 2025102000, 03, FNV3, 114,  98S,  524E,  51,  992, XX,  64, NEQ,    5,    6,    5,    5,     ,     ,  34,
IO, 04, 2025102000, 03, FNV3, 120,  97S,  515E,  50,  994, XX,  34, NEQ,   65,   74,   69,   61,     ,     ,  31,
IO, 04, 2025102000, 03, FNV3, 120,  97S,  515E,  50,  994, XX,  50, NEQ,   19,   20,   18,   15,     ,     ,  31,
IO, 04, 2025102000, 03, FNV3, 120,  97S,  515E,  50,  994, XX,  64, NEQ,    3,    4,    4,    3,     ,     ,  31,
IO, 04, 2025102000, 03, FNV3, 126,  97S,  502E,  47,  996, XX,  34, NEQ,   62,   68,   64,   60,     ,     ,  30,
IO, 04, 2025102000, 03, FNV3, 126,  97S,  502E,  47,  996, XX,  50, NEQ,   12,   14,   12,   11,     ,     ,  30,
IO, 04, 2025102000, 03, FNV3, 126,  97S,  502E,  47,  996, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  30,
IO, 04, 2025102000, 03, FNV3, 132,  98S,  491E,  46,  996, XX,  34, NEQ,   55,   66,   54,   48,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 132,  98S,  491E,  46,  996, XX,  50, NEQ,    7,    9,    7,    6,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 132,  98S,  491E,  46,  996, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 138, 100S,  479E,  43,  998, XX,  34, NEQ,   42,   45,   40,   40,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 138, 100S,  479E,  43,  998, XX,  50, NEQ,    6,    7,    6,    6,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 138, 100S,  479E,  43,  998, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  32,
IO, 04, 2025102000, 03, FNV3, 144,  99S,  465E,  44,  997, XX,  34, NEQ,   44,   47,   42,   38,     ,     ,  25,
IO, 04, 2025102000, 03, FNV3, 144,  99S,  465E,  44,  997, XX,  50, NEQ,   10,   12,    9,    8,     ,     ,  25,
IO, 04, 2025102000, 03, FNV3, 144,  99S,  465E,  44,  997, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  25,
IO, 04, 2025102000, 03, FNV3, 150, 100S,  451E,  43,  998, XX,  34, NEQ,   32,   35,   32,   27,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 150, 100S,  451E,  43,  998, XX,  50, NEQ,    6,    7,    6,    5,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 150, 100S,  451E,  43,  998, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 156, 104S,  439E,  46,  997, XX,  34, NEQ,   36,   41,   35,   30,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 156, 104S,  439E,  46,  997, XX,  50, NEQ,    7,    8,    7,    5,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 156, 104S,  439E,  46,  997, XX,  64, NEQ,    3,    2,    3,    2,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 162, 106S,  426E,  45,  996, XX,  34, NEQ,   31,   36,   34,   28,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 162, 106S,  426E,  45,  996, XX,  50, NEQ,    7,    8,    8,    6,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 162, 106S,  426E,  45,  996, XX,  64, NEQ,    3,    4,    3,    3,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 168, 106S,  415E,  41,  999, XX,  34, NEQ,   22,   26,   24,   19,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 168, 106S,  415E,  41,  999, XX,  50, NEQ,    4,    5,    6,    3,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 168, 106S,  415E,  41,  999, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  29,
IO, 04, 2025102000, 03, FNV3, 174, 109S,  402E,  35, 1002, XX,  34, NEQ,   16,   18,   16,   13,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 174, 109S,  402E,  35, 1002, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  27,
IO, 04, 2025102000, 03, FNV3, 180, 110S,  393E,  30, 1004, XX,  34, NEQ,   11,   13,   11,    9,     ,     ,  33,
WP, 30, 2025102000, 03, FNV3,   0, 180N, 1167E,  45,  996, XX,  34, NEQ,   95,   95,   60,  100,     ,     ,  35,
WP, 30, 2025102000, 03, FNV3,   6, 180N, 1153E,  34,  999, XX,  34, NEQ,   32,   21,   15,   18,     ,     ,  54,
WP, 30, 2025102000, 03, FNV3,  12, 182N, 1142E,  39,  998, XX,  34, NEQ,   76,   55,   42,   53,     ,     ,  57,
WP, 30, 2025102000, 03, FNV3,  18, 182N, 1134E,  42,  996, XX,  34, NEQ,  123,  103,   83,  101,     ,     ,  52,
WP, 30, 2025102000, 03, FNV3,  18, 182N, 1134E,  42,  996, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  52,
WP, 30, 2025102000, 03, FNV3,  24, 181N, 1127E,  46,  994, XX,  34, NEQ,  152,  129,  104,  128,     ,     ,  49,
WP, 30, 2025102000, 03, FNV3,  24, 181N, 1127E,  46,  994, XX,  50, NEQ,    9,    6,    4,    6,     ,     ,  49,
WP, 30, 2025102000, 03, FNV3,  30, 180N, 1122E,  51,  991, XX,  34, NEQ,  147,  124,  102,  128,     ,     ,  37,
WP, 30, 2025102000, 03, FNV3,  30, 180N, 1122E,  51,  991, XX,  50, NEQ,   24,   17,   13,   18,     ,     ,  37,
WP, 30, 2025102000, 03, FNV3,  30, 180N, 1122E,  51,  991, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  37,
WP, 30, 2025102000, 03, FNV3,  36, 178N, 1118E,  55,  988, XX,  34, NEQ,  164,  140,  122,  150,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  36, 178N, 1118E,  55,  988, XX,  50, NEQ,   48,   38,   31,   37,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  36, 178N, 1118E,  55,  988, XX,  64, NEQ,    4,    2,    2,    2,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  42, 176N, 1113E,  56,  988, XX,  34, NEQ,  148,  117,  103,  136,     ,     ,  28,
WP, 30, 2025102000, 03, FNV3,  42, 176N, 1113E,  56,  988, XX,  50, NEQ,   43,   35,   28,   37,     ,     ,  28,
WP, 30, 2025102000, 03, FNV3,  42, 176N, 1113E,  56,  988, XX,  64, NEQ,    6,    5,    4,    6,     ,     ,  28,
WP, 30, 2025102000, 03, FNV3,  48, 175N, 1108E,  53,  990, XX,  34, NEQ,  123,   99,   88,  115,     ,     ,  27,
WP, 30, 2025102000, 03, FNV3,  48, 175N, 1108E,  53,  990, XX,  50, NEQ,   24,   19,   16,   21,     ,     ,  27,
WP, 30, 2025102000, 03, FNV3,  48, 175N, 1108E,  53,  990, XX,  64, NEQ,    4,    3,    3,    4,     ,     ,  27,
WP, 30, 2025102000, 03, FNV3,  54, 172N, 1102E,  47,  995, XX,  34, NEQ,  104,   83,   74,   94,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  54, 172N, 1102E,  47,  995, XX,  50, NEQ,   14,   10,    7,   11,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  54, 172N, 1102E,  47,  995, XX,  64, NEQ,    2,    2,    1,    2,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  60, 169N, 1097E,  41,  998, XX,  34, NEQ,   67,   52,   45,   62,     ,     ,  26,
WP, 30, 2025102000, 03, FNV3,  60, 169N, 1097E,  41,  998, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  26,
WP, 30, 2025102000, 03, FNV3,  66, 166N, 1091E,  36, 1001, XX,  34, NEQ,   40,   30,   27,   38,     ,     ,  28,
WP, 30, 2025102000, 03, FNV3,  66, 166N, 1091E,  36, 1001, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  28,
WP, 30, 2025102000, 03, FNV3,  72, 164N, 1085E,  32, 1003, XX,  34, NEQ,   18,   14,   13,   15,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  78, 163N, 1079E,  28, 1004, XX,  34, NEQ,    5,    3,    2,    4,     ,     ,  31,
WP, 30, 2025102000, 03, FNV3,  84, 164N, 1078E,  28, 1005, XX,  34, NEQ,    4,    2,    3,    5,     ,     ,  27,
