# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 22, 2026022018, 03, FNV3,   0, 156S,  753E,  35, 1001, XX,  34, NEQ,     ,  100,   90,     ,     ,     ,  50,
IO, 22, 2026022018, 03, FNV3,  36, 169S,  703E,  63,  986, XX,  64, NEQ,    6,    7,    6,    5,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  42, 173S,  693E,  68,  982, XX,  34, NEQ,   59,   81,   75,   52,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  42, 173S,  693E,  68,  982, XX,  50, NEQ,   30,   35,   30,   25,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  42, 173S,  693E,  68,  982, XX,  64, NEQ,    9,   11,   10,    8,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  48, 178S,  683E,  76,  978, XX,  34, NEQ,   56,   78,   78,   52,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  48, 178S,  683E,  76,  978, XX,  50, NEQ,   33,   38,   35,   28,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  48, 178S,  683E,  76,  978, XX,  64, NEQ,   16,   17,   15,   14,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  54, 183S,  674E,  90,  967, XX,  34, NEQ,   62,   88,   84,   55,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  54, 183S,  674E,  90,  967, XX,  50, NEQ,   35,   43,   39,   31,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  54, 183S,  674E,  90,  967, XX,  64, NEQ,   20,   22,   20,   18,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  60, 189S,  665E,  97,  962, XX,  34, NEQ,   57,   85,   84,   51,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  60, 189S,  665E,  97,  962, XX,  50, NEQ,   33,   40,   38,   29,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  60, 189S,  665E,  97,  962, XX,  64, NEQ,   20,   22,   19,   18,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  66, 196S,  659E, 104,  956, XX,  34, NEQ,   72,  102,   93,   61,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  66, 196S,  659E, 104,  956, XX,  50, NEQ,   41,   48,   44,   36,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  66, 196S,  659E, 104,  956, XX,  64, NEQ,   26,   27,   23,   22,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  72, 203S,  652E, 105,  955, XX,  34, NEQ,   68,   95,   86,   57,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  72, 203S,  652E, 105,  955, XX,  50, NEQ,   39,   45,   41,   34,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  72, 203S,  652E, 105,  955, XX,  64, NEQ,   25,   26,   23,   22,     ,     ,  10,
IO, 22, 2026022018, 03, FNV3,  78, 212S,  647E, 100,  960, XX,  34, NEQ,   77,  100,   86,   60,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  78, 212S,  647E, 100,  960, XX,  50, NEQ,   42,   47,   42,   36,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  78, 212S,  647E, 100,  960, XX,  64, NEQ,   27,   28,   24,   24,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  84, 222S,  645E,  93,  964, XX,  34, NEQ,   76,   96,   82,   59,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  84, 222S,  645E,  93,  964, XX,  50, NEQ,   41,   44,   39,   34,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  84, 222S,  645E,  93,  964, XX,  64, NEQ,   24,   24,   20,   20,     ,     ,  11,
IO, 22, 2026022018, 03, FNV3,  90, 232S,  645E,  91,  964, XX,  34, NEQ,   87,   99,   82,   67,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  90, 232S,  645E,  91,  964, XX,  50, NEQ,   46,   46,   39,   38,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  90, 232S,  645E,  91,  964, XX,  64, NEQ,   27,   26,   22,   23,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  96, 244S,  648E,  80,  974, XX,  34, NEQ,   89,   96,   79,   69,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  96, 244S,  648E,  80,  974, XX,  50, NEQ,   46,   45,   39,   38,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  96, 244S,  648E,  80,  974, XX,  64, NEQ,   25,   22,   19,   20,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3, 102, 256S,  653E,  71,  981, XX,  34, NEQ,   91,   98,   80,   71,     ,     ,  16,
IO, 22, 2026022018, 03, FNV3, 102, 256S,  653E,  71,  981, XX,  50, NEQ,   45,   43,   36,   37,     ,     ,  16,
IO, 22, 2026022018, 03, FNV3, 102, 256S,  653E,  71,  981, XX,  64, NEQ,   19,   17,   14,   15,     ,     ,  16,
IO, 22, 2026022018, 03, FNV3, 108, 269S,  662E,  62,  987, XX,  34, NEQ,   94,   94,   78,   74,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3, 108, 269S,  662E,  62,  987, XX,  50, NEQ,   39,   36,   28,   29,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3, 108, 269S,  662E,  62,  987, XX,  64, NEQ,   10,    7,    6,    7,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3, 114, 280S,  671E,  58,  989, XX,  34, NEQ,   87,   85,   69,   67,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3, 114, 280S,  671E,  58,  989, XX,  50, NEQ,   30,   29,   22,   23,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3, 114, 280S,  671E,  58,  989, XX,  64, NEQ,    7,    7,    6,    6,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3, 120, 290S,  678E,  48,  996, XX,  34, NEQ,   71,   65,   53,   53,     ,     ,  30,
IO, 22, 2026022018, 03, FNV3, 120, 290S,  678E,  48,  996, XX,  50, NEQ,   13,   11,    8,    8,     ,     ,  30,
IO, 22, 2026022018, 03, FNV3, 120, 290S,  678E,  48,  996, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  30,
IO, 22, 2026022018, 03, FNV3, 126, 297S,  683E,  42,  998, XX,  34, NEQ,   59,   52,   41,   40,     ,     ,  35,
IO, 22, 2026022018, 03, FNV3, 126, 297S,  683E,  42,  998, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  35,
IO, 22, 2026022018, 03, FNV3, 132, 301S,  687E,  37, 1000, XX,  34, NEQ,   30,   25,   23,   20,     ,     ,  41,
IO, 22, 2026022018, 03, FNV3, 132, 301S,  687E,  37, 1000, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  41,
IO, 22, 2026022018, 03, FNV3, 138, 303S,  686E,  36, 1001, XX,  34, NEQ,   24,   24,   22,   18,     ,     ,  43,
IO, 22, 2026022018, 03, FNV3, 138, 303S,  686E,  36, 1001, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  43,
IO, 22, 2026022018, 03, FNV3, 144, 304S,  679E,  37, 1001, XX,  34, NEQ,   12,   17,   15,   14,     ,     ,  44,
IO, 22, 2026022018, 03, FNV3, 144, 304S,  679E,  37, 1001, XX,  50, NEQ,    1,    1,    2,    1,     ,     ,  44,
IO, 22, 2026022018, 03, FNV3, 150, 308S,  668E,  35, 1002, XX,  34, NEQ,   12,   17,   12,    8,     ,     ,  41,
IO, 22, 2026022018, 03, FNV3, 156, 314S,  658E,  34, 1002, XX,  34, NEQ,   15,   23,   15,   11,     ,     ,  46,
IO, 22, 2026022018, 03, FNV3, 156, 314S,  658E,  34, 1002, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  46,
IO, 22, 2026022018, 03, FNV3, 162, 320S,  653E,  34, 1003, XX,  34, NEQ,   16,   20,   15,   10,     ,     ,  47,
IO, 22, 2026022018, 03, FNV3, 168, 324S,  648E,  33, 1003, XX,  34, NEQ,   15,   10,    4,    2,     ,     ,  46,
IO, 22, 2026022018, 03, FNV3, 174, 331S,  643E,  32, 1003, XX,  34, NEQ,    5,    7,    3,    1,     ,     ,  51,
IO, 22, 2026022018, 03, FNV3, 180, 341S,  647E,  31, 1004, XX,  34, NEQ,    5,    0,    4,    0,     ,     ,  44,
IO, 22, 2026022018, 03, FNV3, 186, 347S,  658E,  29, 1005, XX,  34, NEQ,    7,    0,    2,    0,     ,     ,  48,
